"County","pop_2019","pop_2018","pop_2017","FIPS"
"Alachua County",269043,268851,266309,"12001"
"Baker County",29210,28353,28254,"12003"
"Bay County",174705,186240,184736,"12005"
"Bradford County",28201,27752,27142,"12007"
"Brevard County",601942,595203,587769,"12009"
"Broward County",1952778,1946107,1934516,"12011"
"Calhoun County",14105,14543,14428,"12013"
"Charlotte County",188910,184849,181522,"12015"
"Citrus County",149657,147682,145415,"12017"
"Clay County",219252,215908,212228,"12019"
"Collier County",384902,378201,372678,"12021"
"Columbia County",71686,70668,69999,"12023"
"DeSoto County",38001,37368,37241,"12027"
"Dixie County",16826,16685,16615,"12029"
"Duval County",957755,948652,937933,"12031"
"Escambia County",318316,315104,313249,"12033"
"Flagler County",115081,112085,109999,"12035"
"Franklin County",12125,11676,11724,"12037"
"Gadsden County",45660,45927,45993,"12039"
"Gilchrist County",18582,18284,17900,"12041"
"Glades County",13811,13686,13580,"12043"
"Gulf County",13639,16146,16105,"12045"
"Hamilton County",14428,14262,14364,"12047"
"Hardee County",26937,27168,27154,"12049"
"Hendry County",42022,41336,41018,"12051"
"Hernando County",193920,190582,186704,"12053"
"Highlands County",106221,104933,103852,"12055"
"Hillsborough County",1471968,1451919,1426736,"12057"
"Holmes County",19617,19443,19427,"12059"
"Indian River County",159923,157187,154241,"12061"
"Jackson County",46414,48112,48289,"12063"
"Jefferson County",14246,14321,14165,"12065"
"Lafayette County",8422,8691,8602,"12067"
"Lake County",367118,356720,345432,"12069"
"Lee County",770577,754470,740000,"12071"
"Leon County",293582,291657,290965,"12073"
"Levy County",41503,40798,40276,"12075"
"Liberty County",8354,8427,8236,"12077"
"Madison County",18493,18540,18474,"12079"
"Manatee County",403253,394387,385506,"12081"
"Marion County",365579,359062,353339,"12083"
"Martin County",161000,160742,159701,"12085"
"Miami-Dade County",2716940,2714854,2713295,"12086"
"Monroe County",74228,74757,76483,"12087"
"Nassau County",88625,85936,82925,"12089"
"Okaloosa County",210738,206934,203478,"12091"
"Okeechobee County",42168,41654,41275,"12093"
"Orange County",1393452,1381540,1355921,"12095"
"Osceola County",375751,368456,353623,"12097"
"Palm Beach County",1496770,1482876,1470344,"12099"
"Pasco County",553947,539090,525141,"12101"
"Pinellas County",974996,973058,968341,"12103"
"Polk County",724777,706597,685368,"12105"
"Putnam County",74521,74043,73384,"12107"
"St. Johns County",264672,253814,243693,"12109"
"St. Lucie County",328297,320425,313163,"12111"
"Santa Rosa County",184313,179295,174049,"12113"
"Sarasota County",433742,426329,419680,"12115"
"Seminole County",471826,468122,462801,"12117"
"Sumter County",132420,128719,124995,"12119"
"Suwannee County",44417,44179,44124,"12121"
"Taylor County",21569,21545,21781,"12123"
"Union County",15237,15328,15448,"12125"
"Volusia County",553284,546101,537868,"12127"
"Wakulla County",33739,32413,32050,"12129"
"Walton County",74071,70732,68021,"12131"
"Washington County",25473,24793,24546,"12133"
