time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970343.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,1.0,0.0,971950.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,1.0,1.0,978234.0,1.0,1.0
2020-03-09,4.0,1.0,0.0,2.0,2.0,985209.0,2.0,1.0
2020-03-10,1.0,3.0,0.0,1.0,1.0,992132.0,4.0,2.0
2020-03-11,4.0,2.0,1.0,0.0,1.0,997854.0,4.0,0.0
2020-03-12,3.0,1.0,0.0,1.0,1.0,1001564.0,5.0,1.0
2020-03-13,2.0,1.0,0.0,1.0,1.0,1002565.0,7.0,2.0
2020-03-14,7.0,1.0,0.0,1.0,2.0,1004595.0,7.0,0.0
2020-03-15,8.0,0.0,1.0,0.0,4.0,1006090.0,7.0,0.0
2020-03-16,6.0,1.0,0.0,0.0,4.0,1006512.0,8.0,1.0
2020-03-17,6.0,0.0,0.0,1.0,4.0,1008479.0,8.0,0.0
2020-03-18,4.0,1.0,0.0,0.0,4.0,1009863.0,9.0,1.0
2020-03-19,8.0,1.0,1.0,0.0,4.0,1010694.0,9.0,0.0
2020-03-20,11.0,1.0,1.0,1.0,3.0,1010555.0,9.0,0.0
2020-03-21,8.0,3.0,0.0,0.0,2.0,1011318.0,12.0,3.0
2020-03-22,6.0,1.0,3.0,2.0,2.0,1012403.0,13.0,1.0
2020-03-23,13.0,1.0,3.0,0.0,3.0,1012786.0,13.0,0.0
2020-03-24,12.0,3.0,2.0,0.0,4.0,1014587.0,16.0,3.0
2020-03-25,10.0,4.0,2.0,0.0,4.0,1015739.0,20.0,4.0
2020-03-26,9.0,4.0,2.0,1.0,5.0,1015115.0,23.0,3.0
2020-03-27,14.0,2.0,2.0,4.0,8.0,1015706.0,24.0,1.0
2020-03-28,20.0,6.0,2.0,6.0,5.0,1016896.0,28.0,4.0
2020-03-29,24.0,3.0,4.0,5.0,10.0,1016020.0,32.0,4.0
2020-03-30,24.0,3.0,7.0,5.0,15.0,1015802.0,38.0,6.0
2020-03-31,41.0,4.0,10.0,6.0,15.0,1016322.0,44.0,6.0
2020-04-01,48.0,8.0,7.0,7.0,18.0,1015683.0,51.0,7.0
2020-04-02,43.0,10.0,7.0,7.0,21.0,1015194.0,61.0,10.0
2020-04-03,60.0,16.0,10.0,6.0,32.0,1016945.0,77.0,16.0
2020-04-04,74.0,10.0,10.0,10.0,33.0,1016827.0,86.0,9.0
2020-04-05,90.0,17.0,8.0,12.0,45.0,1018525.0,99.0,13.0
2020-04-06,126.0,26.0,19.0,15.0,67.0,1017992.0,115.0,16.0
2020-04-07,153.0,45.0,24.0,15.0,76.0,1018098.0,150.0,35.0
2020-04-08,189.0,45.0,40.0,18.0,78.0,1017837.0,194.0,44.0
2020-04-09,231.0,52.0,41.0,29.0,92.0,1018921.0,238.0,44.0
2020-04-10,289.0,72.0,42.0,33.0,99.0,1018743.0,289.0,51.0
2020-04-11,345.0,83.0,65.0,41.0,118.0,1018288.0,352.0,63.0
2020-04-12,416.0,84.0,82.0,50.0,167.0,1018601.0,420.0,68.0
2020-04-13,487.0,104.0,83.0,64.0,201.0,1017403.0,498.0,78.0
2020-04-14,607.0,140.0,103.0,65.0,226.0,1018728.0,611.0,113.0
2020-04-15,752.0,152.0,117.0,79.0,273.0,1019091.0,739.0,128.0
2020-04-16,888.0,169.0,157.0,99.0,336.0,1018995.0,873.0,134.0
2020-04-17,1044.0,232.0,175.0,139.0,410.0,1017162.0,1059.0,186.0
2020-04-18,1292.0,260.0,215.0,166.0,535.0,1016791.0,1262.0,203.0
2020-04-19,1453.0,323.0,269.0,192.0,634.0,1017954.0,1541.0,279.0
2020-04-20,1755.0,379.0,316.0,243.0,784.0,1016818.0,1849.0,308.0
2020-04-21,2120.0,446.0,349.0,281.0,917.0,1017099.0,2197.0,348.0
2020-04-22,2581.0,532.0,411.0,327.0,1098.0,1015408.0,2616.0,419.0
2020-04-23,3017.0,639.0,480.0,390.0,1303.0,1013307.0,3134.0,518.0
2020-04-24,3705.0,772.0,610.0,474.0,1644.0,1014212.0,3727.0,593.0
2020-04-25,4554.0,915.0,755.0,580.0,1941.0,1012397.0,4452.0,725.0
2020-04-26,5355.0,1122.0,917.0,700.0,2312.0,1010184.0,5371.0,919.0
2020-04-27,6511.0,1390.0,1104.0,838.0,2721.0,1008721.0,6500.0,1129.0
2020-04-28,7897.0,1735.0,1272.0,1013.0,3358.0,1005922.0,7801.0,1301.0
2020-04-29,9669.0,2112.0,1553.0,1199.0,4063.0,1002917.0,9409.0,1608.0
2020-04-30,11660.0,2483.0,1870.0,1539.0,4991.0,998991.0,11353.0,1944.0
2020-05-01,13903.0,2924.0,2180.0,1804.0,6098.0,995466.0,13573.0,2220.0
2020-05-02,16670.0,3626.0,2723.0,2122.0,7308.0,989926.0,16444.0,2871.0
2020-05-03,20091.0,4258.0,3381.0,2523.0,8845.0,981714.0,19838.0,3394.0
2020-05-04,23839.0,5067.0,4071.0,3024.0,10603.0,974937.0,23820.0,3982.0
2020-05-05,28445.0,6039.0,4818.0,3720.0,12685.0,966128.0,28585.0,4765.0
2020-05-06,33948.0,7137.0,5758.0,4421.0,15280.0,955729.0,34263.0,5678.0
2020-05-07,40301.0,8633.0,6695.0,5220.0,18434.0,944979.0,41011.0,6748.0
2020-05-08,47375.0,10339.0,8043.0,6305.0,22007.0,929814.0,49174.0,8163.0
2020-05-09,56231.0,12121.0,9624.0,7525.0,26164.0,912277.0,58590.0,9416.0
2020-05-10,66479.0,14450.0,11277.0,8746.0,31581.0,890377.0,69640.0,11050.0
2020-05-11,77587.0,16844.0,13504.0,10390.0,37844.0,866508.0,82737.0,13097.0
2020-05-12,90054.0,19713.0,16096.0,12437.0,45298.0,839637.0,98229.0,15492.0
2020-05-13,103499.0,23091.0,18418.0,14843.0,53986.0,808913.0,116034.0,17805.0
2020-05-14,118328.0,26777.0,21560.0,17223.0,64041.0,774634.0,136561.0,20527.0
2020-05-15,134843.0,30319.0,24892.0,20191.0,76243.0,737408.0,159801.0,23240.0
2020-05-16,151085.0,34851.0,28428.0,23297.0,89991.0,695793.0,186397.0,26596.0
2020-05-17,167777.0,38814.0,32365.0,26913.0,106323.0,652202.0,215550.0,29153.0
2020-05-18,183342.0,43441.0,36452.0,30562.0,124908.0,606333.0,248151.0,32601.0
2020-05-19,198182.0,47465.0,40740.0,34732.0,145324.0,557978.0,283490.0,35339.0
2020-05-20,210427.0,51673.0,44912.0,38637.0,169126.0,508962.0,321632.0,38142.0
2020-05-21,221077.0,55273.0,49276.0,42650.0,194741.0,461176.0,362072.0,40440.0
2020-05-22,228538.0,58534.0,52799.0,46997.0,223796.0,413929.0,404366.0,42294.0
2020-05-23,233353.0,60829.0,55962.0,50522.0,255052.0,370166.0,447531.0,43165.0
2020-05-24,234178.0,62390.0,58420.0,53972.0,288674.0,328914.0,491608.0,44077.0
2020-05-25,231485.0,63396.0,60214.0,56171.0,324625.0,289981.0,535861.0,44253.0
2020-05-26,225130.0,63075.0,61228.0,58778.0,361472.0,255951.0,579120.0,43259.0
2020-05-27,217524.0,61323.0,61402.0,60472.0,400196.0,225140.0,620453.0,41333.0
2020-05-28,207033.0,59661.0,61332.0,60514.0,438987.0,198987.0,660564.0,40111.0
2020-05-29,194641.0,56928.0,60058.0,60311.0,477145.0,175537.0,698388.0,37824.0
2020-05-30,181838.0,53959.0,57930.0,59532.0,516019.0,156392.0,733849.0,35461.0
2020-05-31,168453.0,51370.0,55054.0,58084.0,553641.0,139566.0,767197.0,33348.0
2020-06-01,153857.0,47850.0,52505.0,55833.0,590719.0,125221.0,797980.0,30783.0
2020-06-02,140341.0,44097.0,49198.0,53337.0,626468.0,113363.0,825976.0,27996.0
2020-06-03,127288.0,40418.0,45677.0,50331.0,659720.0,103429.0,851373.0,25397.0
2020-06-04,115215.0,37091.0,42224.0,47118.0,690487.0,94787.0,874546.0,23173.0
2020-06-05,103356.0,33429.0,38756.0,44195.0,720104.0,87341.0,895449.0,20903.0
2020-06-06,92679.0,30260.0,35231.0,40283.0,747977.0,81094.0,914159.0,18710.0
2020-06-07,82891.0,27151.0,32012.0,37014.0,773373.0,76004.0,930904.0,16745.0
2020-06-08,73648.0,24553.0,28979.0,33906.0,795444.0,71720.0,945944.0,15040.0
2020-06-09,65289.0,21802.0,26019.0,30748.0,815558.0,67826.0,959189.0,13245.0
2020-06-10,57626.0,19521.0,23338.0,27698.0,834106.0,64863.0,971026.0,11837.0
2020-06-11,50953.0,16974.0,20898.0,24812.0,850415.0,62429.0,981369.0,10343.0
2020-06-12,45147.0,15216.0,18521.0,22316.0,866123.0,59571.0,990514.0,9145.0
2020-06-13,39458.0,13724.0,16327.0,19879.0,880423.0,57450.0,998715.0,8201.0
2020-06-14,35179.0,11930.0,14585.0,17612.0,892992.0,55733.0,1005817.0,7102.0
2020-06-15,31033.0,10507.0,12986.0,15606.0,904112.0,54501.0,1012161.0,6344.0
2020-06-16,27496.0,9200.0,11501.0,14165.0,913236.0,53046.0,1017684.0,5523.0
2020-06-17,24008.0,8296.0,9965.0,12478.0,921576.0,51541.0,1022662.0,4978.0
2020-06-18,21148.0,7377.0,8799.0,10857.0,929327.0,50836.0,1026914.0,4252.0
2020-06-19,18559.0,6423.0,7891.0,9651.0,935462.0,49917.0,1030731.0,3817.0
2020-06-20,16141.0,5647.0,7012.0,8475.0,939239.0,49605.0,1034104.0,3373.0
2020-06-21,14108.0,4900.0,6086.0,7489.0,944505.0,48689.0,1036963.0,2859.0
2020-06-22,12451.0,4232.0,5269.0,6617.0,948436.0,48243.0,1039486.0,2523.0
2020-06-23,10949.0,3722.0,4579.0,5696.0,954091.0,47991.0,1041731.0,2245.0
2020-06-24,9540.0,3232.0,4135.0,5152.0,957156.0,47445.0,1043658.0,1927.0
2020-06-25,8371.0,2846.0,3647.0,4480.0,959508.0,47284.0,1045392.0,1734.0
2020-06-26,7326.0,2447.0,3287.0,3869.0,964162.0,46880.0,1046857.0,1465.0
2020-06-27,6413.0,2216.0,2858.0,3487.0,966837.0,46789.0,1048232.0,1375.0
