time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970537.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,2.0,0.0,972793.0,0.0,0.0
2020-03-08,4.0,0.0,0.0,1.0,0.0,979140.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,985609.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,992723.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,997598.0,0.0,0.0
2020-03-12,5.0,1.0,0.0,1.0,1.0,999780.0,0.0,0.0
2020-03-13,4.0,1.0,0.0,0.0,2.0,1002663.0,0.0,0.0
2020-03-14,4.0,0.0,2.0,1.0,2.0,1005422.0,1.0,1.0
2020-03-15,4.0,1.0,1.0,1.0,1.0,1006626.0,2.0,1.0
2020-03-16,4.0,1.0,2.0,0.0,1.0,1007252.0,3.0,1.0
2020-03-17,4.0,0.0,1.0,0.0,1.0,1008106.0,3.0,0.0
2020-03-18,5.0,0.0,0.0,0.0,2.0,1009193.0,3.0,0.0
2020-03-19,4.0,1.0,0.0,0.0,2.0,1010543.0,4.0,1.0
2020-03-20,4.0,1.0,1.0,0.0,3.0,1011273.0,5.0,1.0
2020-03-21,4.0,0.0,0.0,0.0,3.0,1012654.0,5.0,0.0
2020-03-22,3.0,1.0,0.0,0.0,2.0,1013766.0,6.0,1.0
2020-03-23,4.0,0.0,1.0,0.0,2.0,1013590.0,6.0,0.0
2020-03-24,3.0,0.0,1.0,0.0,1.0,1013899.0,6.0,0.0
2020-03-25,3.0,1.0,3.0,0.0,1.0,1013052.0,7.0,1.0
2020-03-26,6.0,0.0,3.0,1.0,1.0,1013098.0,8.0,1.0
2020-03-27,7.0,1.0,1.0,2.0,1.0,1015510.0,9.0,1.0
2020-03-28,11.0,1.0,1.0,3.0,3.0,1015747.0,11.0,2.0
2020-03-29,10.0,1.0,2.0,2.0,0.0,1015235.0,14.0,3.0
2020-03-30,13.0,3.0,4.0,4.0,2.0,1016191.0,18.0,4.0
2020-03-31,12.0,2.0,5.0,3.0,8.0,1015619.0,21.0,3.0
2020-04-01,17.0,2.0,2.0,2.0,15.0,1017708.0,21.0,0.0
2020-04-02,18.0,1.0,4.0,4.0,11.0,1018394.0,23.0,2.0
2020-04-03,28.0,4.0,3.0,4.0,12.0,1017227.0,28.0,5.0
2020-04-04,28.0,7.0,2.0,7.0,14.0,1016369.0,33.0,5.0
2020-04-05,38.0,5.0,6.0,7.0,18.0,1016250.0,37.0,4.0
2020-04-06,52.0,14.0,7.0,7.0,24.0,1016503.0,49.0,12.0
2020-04-07,60.0,10.0,12.0,4.0,27.0,1016944.0,56.0,7.0
2020-04-08,81.0,20.0,18.0,10.0,31.0,1018076.0,71.0,15.0
2020-04-09,90.0,19.0,10.0,12.0,40.0,1018235.0,87.0,16.0
2020-04-10,86.0,25.0,9.0,8.0,44.0,1018638.0,105.0,18.0
2020-04-11,118.0,17.0,17.0,10.0,50.0,1017758.0,116.0,11.0
2020-04-12,133.0,30.0,11.0,23.0,51.0,1017153.0,135.0,19.0
2020-04-13,173.0,33.0,19.0,13.0,74.0,1017997.0,159.0,24.0
2020-04-14,184.0,44.0,23.0,19.0,80.0,1018081.0,192.0,33.0
2020-04-15,232.0,52.0,47.0,25.0,98.0,1018600.0,236.0,44.0
2020-04-16,290.0,61.0,53.0,41.0,97.0,1017771.0,285.0,49.0
2020-04-17,376.0,72.0,57.0,45.0,133.0,1017670.0,342.0,57.0
2020-04-18,449.0,76.0,77.0,53.0,180.0,1018365.0,414.0,72.0
2020-04-19,522.0,107.0,88.0,74.0,225.0,1019190.0,519.0,105.0
2020-04-20,644.0,124.0,102.0,90.0,250.0,1019893.0,625.0,106.0
2020-04-21,766.0,146.0,140.0,97.0,291.0,1021214.0,743.0,118.0
2020-04-22,904.0,197.0,158.0,121.0,357.0,1020237.0,904.0,161.0
2020-04-23,1081.0,241.0,214.0,121.0,439.0,1018941.0,1091.0,187.0
2020-04-24,1295.0,281.0,211.0,183.0,529.0,1019250.0,1298.0,207.0
2020-04-25,1533.0,333.0,249.0,200.0,638.0,1018487.0,1557.0,259.0
2020-04-26,1829.0,379.0,309.0,223.0,788.0,1018228.0,1849.0,292.0
2020-04-27,2138.0,486.0,374.0,266.0,958.0,1018149.0,2240.0,391.0
