time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,0.0,3.0,0.0,0.0,970752.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,972528.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,2.0,0.0,979521.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986397.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,993191.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,998348.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1002647.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1004896.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,2.0,1006757.0,0.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1008698.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0,1.0,1008204.0,1.0,1.0
2020-03-17,1.0,0.0,0.0,0.0,2.0,1009756.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010231.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1011342.0,1.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,1.0,1011464.0,1.0,0.0
2020-03-21,2.0,2.0,0.0,0.0,1.0,1011799.0,2.0,1.0
2020-03-22,5.0,0.0,1.0,0.0,1.0,1011843.0,2.0,0.0
2020-03-23,3.0,0.0,1.0,0.0,0.0,1012116.0,2.0,0.0
2020-03-24,4.0,0.0,1.0,0.0,0.0,1011303.0,2.0,0.0
2020-03-25,3.0,0.0,0.0,0.0,1.0,1013287.0,2.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,3.0,1013427.0,2.0,0.0
2020-03-27,4.0,0.0,0.0,0.0,3.0,1013949.0,2.0,0.0
2020-03-28,6.0,2.0,0.0,0.0,3.0,1014480.0,3.0,1.0
2020-03-29,6.0,3.0,1.0,0.0,4.0,1016135.0,4.0,1.0
2020-03-30,9.0,3.0,1.0,1.0,4.0,1016156.0,6.0,2.0
2020-03-31,10.0,5.0,2.0,2.0,5.0,1014966.0,11.0,5.0
2020-04-01,14.0,1.0,1.0,3.0,8.0,1015695.0,12.0,1.0
2020-04-02,15.0,4.0,4.0,2.0,8.0,1017574.0,16.0,4.0
2020-04-03,19.0,4.0,4.0,2.0,10.0,1018370.0,18.0,2.0
2020-04-04,25.0,5.0,4.0,3.0,12.0,1018431.0,21.0,3.0
2020-04-05,31.0,5.0,4.0,4.0,18.0,1017286.0,26.0,5.0
2020-04-06,36.0,6.0,7.0,6.0,15.0,1016878.0,35.0,9.0
2020-04-07,30.0,9.0,6.0,7.0,19.0,1016643.0,41.0,6.0
2020-04-08,41.0,5.0,6.0,7.0,18.0,1016522.0,43.0,2.0
2020-04-09,39.0,6.0,6.0,8.0,19.0,1016833.0,47.0,4.0
2020-04-10,58.0,10.0,6.0,8.0,23.0,1017522.0,56.0,9.0
2020-04-11,66.0,9.0,10.0,9.0,25.0,1018388.0,64.0,8.0
2020-04-12,77.0,14.0,13.0,13.0,34.0,1017084.0,76.0,12.0
2020-04-13,85.0,20.0,14.0,14.0,36.0,1017004.0,92.0,16.0
2020-04-14,105.0,22.0,14.0,20.0,46.0,1017438.0,109.0,17.0
2020-04-15,128.0,22.0,21.0,9.0,56.0,1018683.0,124.0,15.0
2020-04-16,147.0,34.0,33.0,15.0,56.0,1018694.0,152.0,28.0
2020-04-17,186.0,38.0,37.0,20.0,69.0,1020626.0,179.0,27.0
2020-04-18,239.0,39.0,40.0,29.0,85.0,1019719.0,208.0,29.0
2020-04-19,275.0,58.0,33.0,33.0,95.0,1020249.0,252.0,44.0
2020-04-20,330.0,74.0,39.0,40.0,132.0,1020455.0,302.0,50.0
2020-04-21,433.0,111.0,53.0,56.0,167.0,1020959.0,383.0,81.0
2020-04-22,531.0,111.0,89.0,65.0,224.0,1020925.0,470.0,87.0
2020-04-23,612.0,118.0,109.0,70.0,266.0,1020473.0,556.0,86.0
2020-04-24,731.0,153.0,105.0,97.0,307.0,1020247.0,684.0,128.0
2020-04-25,882.0,185.0,122.0,133.0,358.0,1021267.0,827.0,143.0
2020-04-26,1045.0,217.0,174.0,138.0,433.0,1021176.0,1004.0,177.0
2020-04-27,1244.0,263.0,200.0,138.0,528.0,1019423.0,1222.0,218.0
2020-04-28,1494.0,294.0,249.0,176.0,632.0,1020088.0,1453.0,231.0
2020-04-29,1831.0,393.0,290.0,218.0,735.0,1018994.0,1766.0,313.0
2020-04-30,2188.0,453.0,349.0,264.0,868.0,1018416.0,2113.0,347.0
2020-05-01,2560.0,538.0,406.0,326.0,1085.0,1018291.0,2533.0,420.0
2020-05-02,3058.0,656.0,507.0,357.0,1299.0,1017109.0,3054.0,521.0
2020-05-03,3785.0,784.0,619.0,427.0,1557.0,1014822.0,3644.0,590.0
2020-05-04,4514.0,922.0,822.0,554.0,1820.0,1015079.0,4399.0,755.0
2020-05-05,5595.0,1103.0,884.0,739.0,2259.0,1013872.0,5276.0,877.0
2020-05-06,6707.0,1363.0,1040.0,822.0,2725.0,1011091.0,6374.0,1098.0
2020-05-07,8006.0,1754.0,1215.0,1035.0,3303.0,1007974.0,7777.0,1403.0
2020-05-08,9751.0,1973.0,1547.0,1205.0,4148.0,1004743.0,9354.0,1577.0
2020-05-09,11674.0,2348.0,1841.0,1476.0,4870.0,1001558.0,11235.0,1881.0
2020-05-10,13734.0,2952.0,2296.0,1716.0,5920.0,997994.0,13557.0,2322.0
2020-05-11,16662.0,3478.0,2732.0,2081.0,7290.0,991714.0,16315.0,2758.0
2020-05-12,19922.0,4247.0,3347.0,2463.0,8682.0,985512.0,19630.0,3315.0
2020-05-13,23757.0,4925.0,3988.0,2973.0,10479.0,978500.0,23533.0,3903.0
2020-05-14,28436.0,5967.0,4813.0,3603.0,12797.0,968776.0,28281.0,4748.0
2020-05-15,33638.0,7293.0,5749.0,4429.0,15291.0,957853.0,33979.0,5698.0
2020-05-16,40578.0,8686.0,6741.0,5326.0,18534.0,944335.0,40739.0,6760.0
2020-05-17,47906.0,10473.0,8109.0,6285.0,22040.0,929119.0,48957.0,8218.0
2020-05-18,56831.0,12080.0,9606.0,7602.0,26554.0,912280.0,58347.0,9390.0
2020-05-19,66527.0,14295.0,11382.0,9107.0,31743.0,892684.0,69646.0,11299.0
2020-05-20,77548.0,16831.0,13522.0,10642.0,37929.0,869100.0,82747.0,13101.0
2020-05-21,90358.0,19739.0,15723.0,12599.0,45253.0,842201.0,98098.0,15351.0
2020-05-22,104128.0,23192.0,18387.0,15017.0,54127.0,811245.0,116049.0,17951.0
2020-05-23,119323.0,26920.0,21574.0,17537.0,64029.0,776801.0,136649.0,20600.0
2020-05-24,134922.0,30773.0,24924.0,20244.0,76253.0,739118.0,160334.0,23685.0
2020-05-25,151314.0,34517.0,28859.0,23361.0,90315.0,697931.0,186707.0,26373.0
2020-05-26,167299.0,39231.0,32458.0,26863.0,106569.0,652786.0,216415.0,29708.0
2020-05-27,183900.0,43633.0,36618.0,30609.0,124605.0,606132.0,249027.0,32612.0
2020-05-28,198372.0,47837.0,41165.0,34797.0,145311.0,558809.0,284945.0,35918.0
2020-05-29,211916.0,52070.0,45366.0,38585.0,168821.0,510565.0,323214.0,38269.0
2020-05-30,222210.0,55853.0,49338.0,42730.0,194962.0,461457.0,363890.0,40676.0
2020-05-31,230041.0,58898.0,53401.0,46874.0,224672.0,414641.0,406426.0,42536.0
2020-06-01,234248.0,60966.0,56022.0,50804.0,255933.0,368421.0,449807.0,43381.0
2020-06-02,234860.0,61961.0,59091.0,53839.0,289874.0,327067.0,493568.0,43761.0
2020-06-03,232788.0,63080.0,60865.0,56610.0,325160.0,289241.0,537421.0,43853.0
2020-06-04,226267.0,62889.0,61833.0,59073.0,361600.0,254698.0,580761.0,43340.0
2020-06-05,218156.0,61584.0,61906.0,60373.0,399956.0,224503.0,622356.0,41595.0
2020-06-06,207008.0,59911.0,61087.0,61363.0,439821.0,197813.0,662803.0,40447.0
2020-06-07,195037.0,57798.0,59712.0,60891.0,479309.0,174884.0,700969.0,38166.0
2020-06-08,181588.0,54981.0,58058.0,59888.0,518392.0,155022.0,736543.0,35574.0
2020-06-09,168128.0,51593.0,54753.0,58220.0,557502.0,137912.0,769550.0,33007.0
2020-06-10,154223.0,47695.0,52370.0,55856.0,592692.0,123875.0,800017.0,30467.0
2020-06-11,140591.0,44021.0,49085.0,53292.0,627783.0,112537.0,828151.0,28134.0
2020-06-12,127620.0,40483.0,45341.0,50279.0,661968.0,102020.0,853551.0,25400.0
2020-06-13,114866.0,36765.0,42194.0,46709.0,693811.0,94093.0,876591.0,23040.0
2020-06-14,102881.0,33567.0,38641.0,43572.0,720731.0,87198.0,897612.0,21021.0
2020-06-15,92447.0,29952.0,35375.0,40480.0,748670.0,80728.0,916162.0,18550.0
2020-06-16,82364.0,27270.0,32066.0,36991.0,773063.0,75532.0,932936.0,16774.0
2020-06-17,73420.0,24075.0,28996.0,33946.0,796106.0,71141.0,947760.0,14824.0
2020-06-18,65022.0,21494.0,25828.0,30658.0,816198.0,67353.0,960818.0,13058.0
2020-06-19,57298.0,19429.0,23266.0,27632.0,836189.0,64462.0,972567.0,11749.0
2020-06-20,50478.0,17247.0,20816.0,24654.0,852934.0,61802.0,982866.0,10299.0
2020-06-21,44715.0,15089.0,18394.0,22211.0,868625.0,59336.0,991883.0,9017.0
2020-06-22,39461.0,13480.0,16243.0,19954.0,881207.0,57363.0,1000014.0,8131.0
2020-06-23,34865.0,11698.0,14576.0,17891.0,891435.0,55718.0,1006986.0,6972.0
2020-06-24,31019.0,10480.0,13048.0,15672.0,903642.0,54223.0,1013335.0,6349.0
2020-06-25,27346.0,9344.0,11430.0,13932.0,913215.0,53268.0,1018933.0,5598.0
2020-06-26,23926.0,8143.0,10009.0,12423.0,922510.0,52014.0,1023753.0,4820.0
2020-06-27,20979.0,7320.0,8977.0,11047.0,929487.0,50984.0,1028156.0,4403.0
2020-06-28,18491.0,6262.0,7947.0,9667.0,935915.0,50121.0,1031768.0,3612.0
2020-06-29,16231.0,5551.0,6979.0,8762.0,941467.0,49686.0,1035074.0,3306.0
2020-06-30,14193.0,4934.0,6016.0,7584.0,946510.0,48989.0,1038006.0,2932.0
2020-07-01,12357.0,4339.0,5347.0,6630.0,950431.0,48313.0,1040597.0,2591.0
2020-07-02,10926.0,3758.0,4527.0,5867.0,956082.0,47868.0,1042826.0,2229.0
2020-07-03,9634.0,3302.0,4090.0,5040.0,960836.0,47546.0,1044789.0,1963.0
2020-07-04,8276.0,2892.0,3632.0,4444.0,962832.0,47154.0,1046482.0,1693.0
2020-07-05,7275.0,2485.0,3193.0,3919.0,965734.0,47009.0,1047990.0,1508.0
2020-07-06,6404.0,2172.0,2790.0,3420.0,967801.0,46817.0,1049254.0,1264.0
