time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970630.0,0.0,0.0
2020-03-07,2.0,3.0,0.0,0.0,0.0,973529.0,0.0,0.0
2020-03-08,2.0,2.0,0.0,0.0,0.0,980771.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,0.0,0.0,987509.0,0.0,0.0
2020-03-10,2.0,1.0,0.0,1.0,0.0,993032.0,1.0,1.0
2020-03-11,4.0,0.0,0.0,0.0,2.0,997849.0,1.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,2.0,1000221.0,1.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1003726.0,1.0,0.0
2020-03-14,1.0,1.0,0.0,0.0,1.0,1006855.0,2.0,1.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1008351.0,2.0,0.0
2020-03-16,0.0,0.0,1.0,0.0,0.0,1009686.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1009451.0,2.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1009544.0,2.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,1.0,1011106.0,2.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,1.0,1012392.0,2.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,1.0,1012577.0,2.0,0.0
2020-03-22,5.0,0.0,1.0,0.0,2.0,1012834.0,2.0,0.0
2020-03-23,4.0,0.0,1.0,1.0,1.0,1013264.0,2.0,0.0
2020-03-24,1.0,1.0,1.0,1.0,2.0,1013876.0,3.0,1.0
2020-03-25,4.0,3.0,1.0,0.0,3.0,1014404.0,3.0,0.0
2020-03-26,12.0,3.0,3.0,3.0,3.0,1013525.0,4.0,1.0
2020-03-27,20.0,5.0,5.0,2.0,2.0,1014007.0,7.0,3.0
2020-03-28,18.0,6.0,4.0,2.0,3.0,1015376.0,14.0,7.0
2020-03-29,20.0,5.0,6.0,0.0,7.0,1015837.0,19.0,5.0
2020-03-30,20.0,5.0,5.0,2.0,5.0,1015468.0,23.0,4.0
2020-03-31,28.0,6.0,3.0,6.0,7.0,1015578.0,27.0,4.0
2020-04-01,36.0,8.0,6.0,5.0,13.0,1014720.0,32.0,5.0
2020-04-02,40.0,11.0,4.0,5.0,21.0,1015417.0,41.0,9.0
2020-04-03,54.0,10.0,8.0,7.0,22.0,1016668.0,46.0,5.0
2020-04-04,72.0,11.0,12.0,4.0,31.0,1016960.0,55.0,9.0
2020-04-05,72.0,10.0,19.0,10.0,31.0,1017738.0,66.0,11.0
2020-04-06,96.0,14.0,25.0,13.0,32.0,1017701.0,81.0,15.0
2020-04-07,110.0,21.0,20.0,10.0,50.0,1018731.0,102.0,21.0
2020-04-08,112.0,32.0,25.0,13.0,47.0,1018236.0,130.0,28.0
2020-04-09,153.0,35.0,34.0,17.0,71.0,1018688.0,153.0,23.0
2020-04-10,189.0,36.0,26.0,29.0,87.0,1016796.0,175.0,22.0
2020-04-11,255.0,42.0,37.0,38.0,112.0,1016742.0,209.0,34.0
2020-04-12,299.0,64.0,37.0,31.0,138.0,1016878.0,254.0,45.0
2020-04-13,335.0,90.0,61.0,40.0,160.0,1017309.0,327.0,73.0
2020-04-14,412.0,100.0,73.0,49.0,172.0,1017098.0,404.0,77.0
2020-04-15,501.0,110.0,85.0,68.0,180.0,1016902.0,483.0,79.0
2020-04-16,609.0,127.0,135.0,77.0,253.0,1018416.0,596.0,113.0
2020-04-17,795.0,176.0,117.0,116.0,318.0,1018478.0,725.0,129.0
2020-04-18,952.0,209.0,162.0,109.0,390.0,1017496.0,885.0,160.0
2020-04-19,1126.0,245.0,191.0,146.0,481.0,1015742.0,1092.0,207.0
2020-04-20,1391.0,265.0,208.0,166.0,563.0,1016824.0,1290.0,198.0
2020-04-21,1574.0,327.0,254.0,201.0,683.0,1016277.0,1569.0,279.0
2020-04-22,1854.0,416.0,323.0,233.0,849.0,1016767.0,1932.0,363.0
2020-04-23,2311.0,475.0,377.0,281.0,1034.0,1015820.0,2311.0,379.0
2020-04-24,2840.0,575.0,474.0,346.0,1234.0,1016102.0,2792.0,481.0
2020-04-25,3332.0,713.0,561.0,447.0,1403.0,1015177.0,3370.0,578.0
2020-04-26,4109.0,891.0,682.0,508.0,1720.0,1013668.0,4075.0,705.0
2020-04-27,4857.0,1012.0,782.0,610.0,2124.0,1012215.0,4868.0,793.0
2020-04-28,5934.0,1252.0,954.0,722.0,2552.0,1010229.0,5865.0,997.0
2020-04-29,7137.0,1529.0,1195.0,855.0,3059.0,1008223.0,7080.0,1215.0
2020-04-30,8602.0,1796.0,1464.0,1089.0,3720.0,1005046.0,8523.0,1443.0
