time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,969980.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,1.0,0.0,972932.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,1.0,1.0,979425.0,1.0,1.0
2020-03-09,2.0,0.0,0.0,0.0,1.0,988309.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,993200.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996497.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000607.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003237.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,2.0,1003210.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,2.0,1006156.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1006808.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1008524.0,1.0,0.0
2020-03-18,1.0,0.0,1.0,0.0,0.0,1010456.0,2.0,1.0
2020-03-19,2.0,0.0,0.0,1.0,0.0,1010345.0,2.0,0.0
2020-03-20,3.0,0.0,1.0,0.0,1.0,1011931.0,2.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,2.0,1012015.0,2.0,0.0
2020-03-22,2.0,1.0,0.0,0.0,2.0,1012393.0,2.0,0.0
2020-03-23,3.0,3.0,0.0,0.0,2.0,1013949.0,3.0,1.0
2020-03-24,2.0,3.0,0.0,0.0,2.0,1014870.0,5.0,2.0
2020-03-25,2.0,3.0,1.0,0.0,4.0,1015601.0,6.0,1.0
2020-03-26,5.0,3.0,1.0,1.0,3.0,1015315.0,7.0,1.0
2020-03-27,8.0,2.0,2.0,1.0,2.0,1014880.0,8.0,1.0
2020-03-28,10.0,3.0,2.0,1.0,2.0,1016272.0,10.0,2.0
2020-03-29,15.0,2.0,3.0,4.0,3.0,1015939.0,12.0,2.0
