time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969604.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0,0.0,972169.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,978943.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,985508.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,991687.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,995402.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,999865.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1002341.0,0.0,0.0
2020-03-14,3.0,0.0,1.0,0.0,2.0,1005273.0,1.0,1.0
2020-03-15,1.0,1.0,0.0,0.0,2.0,1007646.0,2.0,1.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1008541.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1009647.0,2.0,0.0
2020-03-18,4.0,1.0,0.0,0.0,1.0,1009975.0,2.0,0.0
2020-03-19,3.0,1.0,0.0,0.0,1.0,1011153.0,2.0,0.0
2020-03-20,4.0,2.0,0.0,0.0,1.0,1010541.0,2.0,0.0
2020-03-21,3.0,1.0,1.0,1.0,1.0,1011265.0,2.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,1.0,1010625.0,2.0,0.0
2020-03-23,2.0,0.0,0.0,0.0,1.0,1011539.0,2.0,0.0
2020-03-24,3.0,0.0,0.0,0.0,1.0,1013081.0,2.0,0.0
2020-03-25,3.0,0.0,0.0,1.0,1.0,1014192.0,3.0,1.0
2020-03-26,3.0,2.0,0.0,0.0,1.0,1014956.0,4.0,1.0
2020-03-27,3.0,2.0,1.0,0.0,0.0,1015472.0,6.0,2.0
2020-03-28,5.0,0.0,1.0,1.0,1.0,1015623.0,7.0,1.0
2020-03-29,4.0,2.0,0.0,1.0,2.0,1015395.0,8.0,1.0
2020-03-30,5.0,1.0,0.0,0.0,3.0,1015801.0,8.0,0.0
2020-03-31,3.0,4.0,1.0,0.0,1.0,1015037.0,11.0,3.0
2020-04-01,5.0,1.0,0.0,0.0,4.0,1015010.0,11.0,0.0
2020-04-02,8.0,1.0,1.0,0.0,6.0,1015882.0,12.0,1.0
2020-04-03,11.0,2.0,1.0,1.0,5.0,1016623.0,15.0,3.0
2020-04-04,17.0,1.0,1.0,0.0,5.0,1016474.0,16.0,1.0
2020-04-05,23.0,3.0,4.0,2.0,5.0,1016270.0,21.0,5.0
2020-04-06,23.0,6.0,4.0,1.0,8.0,1016445.0,28.0,7.0
2020-04-07,29.0,9.0,3.0,1.0,12.0,1017313.0,33.0,5.0
2020-04-08,33.0,11.0,1.0,3.0,12.0,1018054.0,39.0,6.0
2020-04-09,63.0,11.0,6.0,5.0,14.0,1019115.0,46.0,7.0
2020-04-10,62.0,12.0,6.0,9.0,19.0,1018859.0,55.0,9.0
2020-04-11,75.0,9.0,14.0,15.0,26.0,1018241.0,67.0,12.0
2020-04-12,92.0,21.0,13.0,12.0,35.0,1019175.0,88.0,21.0
2020-04-13,98.0,32.0,20.0,7.0,41.0,1019116.0,112.0,24.0
2020-04-14,126.0,32.0,22.0,13.0,44.0,1018941.0,128.0,16.0
2020-04-15,142.0,33.0,28.0,16.0,49.0,1018569.0,163.0,35.0
2020-04-16,186.0,42.0,32.0,29.0,49.0,1019600.0,199.0,36.0
2020-04-17,226.0,42.0,38.0,36.0,70.0,1020785.0,230.0,31.0
2020-04-18,233.0,51.0,40.0,30.0,98.0,1019985.0,274.0,44.0
2020-04-19,293.0,71.0,43.0,29.0,120.0,1019159.0,321.0,47.0
2020-04-20,328.0,74.0,65.0,40.0,136.0,1020416.0,376.0,55.0
2020-04-21,404.0,97.0,62.0,59.0,161.0,1020298.0,456.0,80.0
2020-04-22,508.0,117.0,77.0,82.0,182.0,1019509.0,542.0,86.0
2020-04-23,603.0,117.0,103.0,79.0,239.0,1019126.0,629.0,87.0
2020-04-24,772.0,148.0,116.0,84.0,287.0,1021328.0,747.0,118.0
2020-04-25,945.0,185.0,143.0,119.0,351.0,1021046.0,897.0,150.0
2020-04-26,1125.0,209.0,172.0,139.0,430.0,1020141.0,1080.0,183.0
2020-04-27,1324.0,278.0,214.0,179.0,511.0,1020925.0,1310.0,230.0
2020-04-28,1612.0,307.0,253.0,207.0,610.0,1019857.0,1565.0,255.0
2020-04-29,1906.0,377.0,313.0,244.0,745.0,1018668.0,1879.0,314.0
2020-04-30,2254.0,501.0,337.0,274.0,927.0,1018479.0,2264.0,385.0
2020-05-01,2687.0,577.0,455.0,342.0,1147.0,1017840.0,2728.0,464.0
2020-05-02,3229.0,718.0,532.0,399.0,1343.0,1015573.0,3282.0,554.0
2020-05-03,3923.0,794.0,623.0,487.0,1587.0,1014806.0,3914.0,632.0
2020-05-04,4626.0,982.0,747.0,560.0,1972.0,1013803.0,4704.0,790.0
2020-05-05,5543.0,1161.0,889.0,675.0,2326.0,1011854.0,5604.0,900.0
2020-05-06,6636.0,1384.0,1064.0,800.0,2797.0,1010080.0,6683.0,1079.0
2020-05-07,7885.0,1725.0,1230.0,955.0,3393.0,1007933.0,8038.0,1355.0
2020-05-08,9462.0,2058.0,1535.0,1201.0,4158.0,1003964.0,9664.0,1626.0
2020-05-09,11526.0,2541.0,1879.0,1411.0,5025.0,1000669.0,11613.0,1949.0
2020-05-10,14110.0,3114.0,2371.0,1699.0,5913.0,994525.0,13990.0,2377.0
2020-05-11,17033.0,3586.0,2738.0,2082.0,7177.0,991136.0,16784.0,2794.0
2020-05-12,20187.0,4331.0,3379.0,2516.0,8642.0,984923.0,20174.0,3390.0
2020-05-13,24255.0,5004.0,4047.0,3122.0,10374.0,977229.0,24203.0,4029.0
2020-05-14,29162.0,6143.0,4728.0,3824.0,12632.0,967045.0,29021.0,4818.0
2020-05-15,34712.0,7437.0,5699.0,4541.0,15376.0,955690.0,34884.0,5863.0
2020-05-16,41385.0,8906.0,6950.0,5348.0,18540.0,943594.0,41870.0,6986.0
2020-05-17,48928.0,10444.0,8261.0,6523.0,22163.0,928360.0,50083.0,8213.0
2020-05-18,57715.0,12571.0,9750.0,7573.0,26953.0,910792.0,59876.0,9793.0
2020-05-19,67515.0,14920.0,11551.0,9040.0,32170.0,890045.0,71477.0,11601.0
2020-05-20,78725.0,17468.0,14027.0,10669.0,38324.0,866335.0,84997.0,13520.0
2020-05-21,91657.0,20304.0,16402.0,12742.0,45926.0,838637.0,100653.0,15656.0
2020-05-22,105846.0,23683.0,18890.0,15127.0,54960.0,806359.0,118832.0,18179.0
2020-05-23,121571.0,27008.0,22089.0,17981.0,65493.0,772428.0,139670.0,20838.0
2020-05-24,137617.0,31085.0,25403.0,20700.0,77557.0,733736.0,163521.0,23851.0
2020-05-25,154876.0,35372.0,29209.0,23827.0,91941.0,691239.0,190369.0,26848.0
2020-05-26,170902.0,39595.0,33550.0,27397.0,108313.0,646666.0,220385.0,30016.0
2020-05-27,186565.0,44464.0,37341.0,31174.0,126895.0,599321.0,253639.0,33254.0
2020-05-28,201614.0,48196.0,41916.0,35637.0,148076.0,551509.0,289601.0,35962.0
2020-05-29,214866.0,52603.0,46004.0,39446.0,172287.0,502505.0,328444.0,38843.0
2020-05-30,224439.0,56331.0,50037.0,43313.0,198771.0,453714.0,369584.0,41140.0
2020-05-31,231418.0,59319.0,53799.0,47411.0,227911.0,406741.0,412307.0,42723.0
2020-06-01,234713.0,61464.0,56890.0,50729.0,259703.0,363021.0,455990.0,43683.0
2020-06-02,234863.0,62693.0,58999.0,54566.0,293314.0,321549.0,499790.0,43800.0
2020-06-03,231990.0,63057.0,60839.0,57103.0,329752.0,283601.0,543551.0,43761.0
2020-06-04,225886.0,62612.0,61978.0,58817.0,368315.0,250223.0,586417.0,42866.0
2020-06-05,216759.0,61789.0,62097.0,60093.0,405600.0,221015.0,628667.0,42250.0
2020-06-06,206362.0,60122.0,61409.0,60841.0,444987.0,194362.0,668834.0,40167.0
2020-06-07,194189.0,56997.0,60274.0,60548.0,484313.0,172178.0,706641.0,37807.0
2020-06-08,180339.0,54150.0,58192.0,59606.0,522869.0,152778.0,742154.0,35513.0
2020-06-09,167290.0,50502.0,55026.0,57911.0,561284.0,136597.0,774870.0,32716.0
2020-06-10,152675.0,47147.0,52249.0,55728.0,597722.0,122609.0,805409.0,30539.0
2020-06-11,138985.0,43443.0,48855.0,53094.0,632144.0,111093.0,833013.0,27604.0
2020-06-12,125512.0,39957.0,45382.0,49925.0,665314.0,100813.0,858210.0,25197.0
2020-06-13,113113.0,36424.0,41591.0,46728.0,695901.0,92156.0,881076.0,22866.0
2020-06-14,101541.0,33032.0,37829.0,43246.0,725749.0,85292.0,901480.0,20404.0
2020-06-15,90278.0,29799.0,34591.0,39877.0,752048.0,79489.0,919891.0,18411.0
2020-06-16,80568.0,26953.0,31306.0,36531.0,776613.0,74700.0,936273.0,16382.0
2020-06-17,71516.0,23930.0,28177.0,33404.0,798660.0,70485.0,950847.0,14574.0
2020-06-18,63988.0,21286.0,25400.0,30283.0,820265.0,67068.0,963754.0,12907.0
2020-06-19,56827.0,19134.0,22776.0,27059.0,837656.0,63919.0,975223.0,11469.0
2020-06-20,50304.0,16963.0,20410.0,24260.0,855500.0,61120.0,985429.0,10206.0
2020-06-21,44387.0,14830.0,18396.0,21771.0,869414.0,58849.0,994422.0,8993.0
2020-06-22,39153.0,13159.0,16160.0,19541.0,882316.0,57139.0,1002419.0,7997.0
2020-06-23,34624.0,11432.0,14343.0,17382.0,894290.0,55626.0,1009412.0,6993.0
2020-06-24,30404.0,10280.0,12469.0,15611.0,904981.0,53969.0,1015604.0,6192.0
2020-06-25,26514.0,9212.0,11088.0,13679.0,914979.0,52973.0,1021168.0,5564.0
2020-06-26,23319.0,8012.0,9956.0,12164.0,922997.0,51870.0,1025959.0,4791.0
2020-06-27,20328.0,7039.0,8721.0,10788.0,929822.0,51044.0,1030062.0,4103.0
2020-06-28,17854.0,6179.0,7784.0,9304.0,936386.0,50146.0,1033748.0,3686.0
2020-06-29,15765.0,5473.0,6793.0,8405.0,941891.0,49283.0,1036936.0,3188.0
2020-06-30,13814.0,4918.0,5749.0,7313.0,947047.0,48701.0,1039766.0,2830.0
2020-07-01,12154.0,4252.0,5116.0,6427.0,950805.0,48278.0,1042228.0,2462.0
2020-07-02,10693.0,3737.0,4585.0,5659.0,955631.0,48084.0,1044353.0,2125.0
2020-07-03,9313.0,3162.0,4086.0,5018.0,959301.0,47567.0,1046260.0,1907.0
