time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970309.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,0.0,0.0,972911.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,0.0,980042.0,1.0,1.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,988150.0,1.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,0.0,992609.0,2.0,1.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,997124.0,2.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,1.0,999859.0,2.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1003620.0,2.0,0.0
2020-03-14,4.0,1.0,0.0,1.0,0.0,1005817.0,3.0,1.0
2020-03-15,8.0,1.0,2.0,0.0,0.0,1006906.0,3.0,0.0
2020-03-16,7.0,2.0,0.0,1.0,0.0,1008187.0,4.0,1.0
2020-03-17,6.0,2.0,3.0,2.0,0.0,1010066.0,7.0,3.0
2020-03-18,6.0,0.0,4.0,0.0,0.0,1011926.0,7.0,0.0
2020-03-19,7.0,0.0,0.0,1.0,3.0,1012987.0,8.0,1.0
2020-03-20,7.0,1.0,0.0,1.0,4.0,1012372.0,10.0,2.0
2020-03-21,10.0,1.0,3.0,1.0,3.0,1012393.0,11.0,1.0
2020-03-22,8.0,0.0,2.0,0.0,3.0,1011398.0,12.0,1.0
2020-03-23,10.0,0.0,0.0,2.0,3.0,1013377.0,13.0,1.0
2020-03-24,11.0,1.0,0.0,2.0,4.0,1013881.0,15.0,2.0
2020-03-25,16.0,2.0,1.0,1.0,4.0,1015124.0,17.0,2.0
2020-03-26,17.0,8.0,0.0,1.0,7.0,1014959.0,23.0,6.0
2020-03-27,22.0,8.0,1.0,2.0,9.0,1014386.0,27.0,4.0
2020-03-28,28.0,7.0,3.0,2.0,12.0,1013869.0,31.0,4.0
2020-03-29,38.0,9.0,4.0,2.0,12.0,1014100.0,36.0,5.0
2020-03-30,42.0,9.0,10.0,2.0,18.0,1014141.0,44.0,8.0
2020-03-31,50.0,11.0,9.0,6.0,17.0,1015896.0,50.0,6.0
2020-04-01,55.0,14.0,8.0,6.0,19.0,1016048.0,64.0,14.0
2020-04-02,62.0,15.0,8.0,1.0,29.0,1016009.0,71.0,7.0
2020-04-03,70.0,12.0,13.0,7.0,25.0,1016384.0,84.0,13.0
2020-04-04,75.0,19.0,13.0,8.0,28.0,1017181.0,98.0,14.0
2020-04-05,83.0,15.0,10.0,8.0,42.0,1017733.0,107.0,9.0
2020-04-06,99.0,17.0,15.0,16.0,56.0,1017404.0,124.0,17.0
2020-04-07,124.0,26.0,25.0,12.0,64.0,1017503.0,148.0,24.0
2020-04-08,125.0,32.0,33.0,21.0,67.0,1017374.0,180.0,32.0
2020-04-09,181.0,44.0,35.0,27.0,77.0,1018544.0,209.0,29.0
2020-04-10,222.0,34.0,43.0,26.0,89.0,1018825.0,240.0,31.0
2020-04-11,268.0,46.0,36.0,42.0,108.0,1018785.0,279.0,39.0
2020-04-12,321.0,56.0,45.0,38.0,145.0,1017895.0,330.0,51.0
2020-04-13,371.0,80.0,65.0,39.0,164.0,1018321.0,393.0,63.0
2020-04-14,428.0,93.0,66.0,60.0,192.0,1017624.0,468.0,75.0
2020-04-15,525.0,103.0,85.0,71.0,237.0,1017476.0,560.0,92.0
