time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970067.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,973410.0,0.0,0.0
2020-03-08,6.0,0.0,1.0,0.0,0.0,980701.0,0.0,0.0
2020-03-09,5.0,0.0,0.0,0.0,1.0,986196.0,0.0,0.0
2020-03-10,6.0,0.0,0.0,0.0,0.0,992475.0,0.0,0.0
2020-03-11,4.0,0.0,1.0,0.0,0.0,997485.0,1.0,1.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,1002766.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1004553.0,1.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,0.0,1005191.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1006589.0,3.0,2.0
2020-03-16,2.0,1.0,0.0,0.0,0.0,1007287.0,4.0,1.0
2020-03-17,3.0,0.0,3.0,0.0,0.0,1009288.0,6.0,2.0
2020-03-18,2.0,2.0,0.0,1.0,1.0,1008840.0,8.0,2.0
2020-03-19,7.0,4.0,0.0,1.0,1.0,1010177.0,10.0,2.0
2020-03-20,9.0,3.0,2.0,2.0,1.0,1012065.0,14.0,4.0
2020-03-21,12.0,2.0,1.0,2.0,1.0,1013386.0,14.0,0.0
2020-03-22,10.0,3.0,4.0,1.0,2.0,1014727.0,17.0,3.0
2020-03-23,13.0,4.0,4.0,1.0,2.0,1014274.0,19.0,2.0
2020-03-24,13.0,3.0,3.0,3.0,6.0,1015286.0,22.0,3.0
2020-03-25,17.0,2.0,1.0,5.0,8.0,1015518.0,22.0,0.0
2020-03-26,26.0,7.0,1.0,2.0,11.0,1014978.0,26.0,4.0
2020-03-27,31.0,9.0,5.0,3.0,12.0,1015087.0,35.0,9.0
2020-03-28,41.0,12.0,5.0,3.0,14.0,1015765.0,42.0,7.0
2020-03-29,46.0,5.0,12.0,3.0,18.0,1016069.0,47.0,5.0
2020-03-30,52.0,7.0,10.0,8.0,20.0,1015982.0,56.0,9.0
2020-03-31,59.0,12.0,10.0,10.0,22.0,1016178.0,70.0,14.0
2020-04-01,62.0,10.0,10.0,13.0,32.0,1014801.0,76.0,6.0
2020-04-02,68.0,19.0,9.0,13.0,42.0,1015620.0,94.0,18.0
2020-04-03,86.0,23.0,12.0,14.0,51.0,1017069.0,112.0,18.0
2020-04-04,110.0,22.0,16.0,19.0,53.0,1017773.0,134.0,22.0
2020-04-05,123.0,23.0,22.0,17.0,57.0,1017270.0,153.0,19.0
2020-04-06,154.0,29.0,27.0,23.0,54.0,1017820.0,173.0,20.0
2020-04-07,203.0,44.0,32.0,29.0,85.0,1017359.0,209.0,36.0
2020-04-08,255.0,49.0,47.0,28.0,90.0,1016527.0,245.0,36.0
2020-04-09,289.0,64.0,51.0,34.0,117.0,1018310.0,298.0,53.0
