time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970227.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,974336.0,0.0,0.0
2020-03-08,2.0,1.0,2.0,1.0,0.0,980370.0,2.0,2.0
2020-03-09,4.0,0.0,3.0,0.0,0.0,987009.0,2.0,0.0
2020-03-10,2.0,0.0,1.0,1.0,0.0,992478.0,2.0,0.0
2020-03-11,4.0,0.0,0.0,0.0,1.0,997282.0,2.0,0.0
2020-03-12,4.0,0.0,0.0,0.0,0.0,1001217.0,2.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,0.0,1004127.0,2.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,0.0,1006797.0,2.0,0.0
2020-03-15,5.0,0.0,0.0,0.0,1.0,1007298.0,2.0,0.0
2020-03-16,4.0,2.0,2.0,0.0,2.0,1007825.0,3.0,1.0
2020-03-17,6.0,0.0,2.0,1.0,1.0,1008310.0,3.0,0.0
2020-03-18,8.0,1.0,2.0,1.0,2.0,1009865.0,4.0,1.0
2020-03-19,9.0,1.0,0.0,2.0,3.0,1010556.0,4.0,0.0
2020-03-20,6.0,3.0,0.0,0.0,4.0,1010519.0,6.0,2.0
2020-03-21,9.0,3.0,1.0,1.0,5.0,1011921.0,9.0,3.0
2020-03-22,7.0,3.0,2.0,0.0,5.0,1012407.0,11.0,2.0
2020-03-23,9.0,3.0,2.0,1.0,4.0,1014361.0,13.0,2.0
2020-03-24,13.0,2.0,1.0,2.0,5.0,1014314.0,14.0,1.0
2020-03-25,14.0,2.0,2.0,0.0,6.0,1015241.0,15.0,1.0
2020-03-26,12.0,3.0,1.0,2.0,6.0,1014689.0,17.0,2.0
2020-03-27,19.0,3.0,3.0,0.0,7.0,1013747.0,18.0,1.0
2020-03-28,26.0,10.0,5.0,2.0,5.0,1013001.0,26.0,8.0
2020-03-29,34.0,7.0,4.0,7.0,4.0,1014316.0,30.0,4.0
2020-03-30,41.0,10.0,4.0,1.0,8.0,1013900.0,37.0,7.0
2020-03-31,36.0,11.0,5.0,3.0,10.0,1016497.0,44.0,7.0
2020-04-01,36.0,6.0,6.0,6.0,16.0,1015733.0,45.0,1.0
2020-04-02,47.0,14.0,4.0,7.0,23.0,1015349.0,54.0,9.0
2020-04-03,62.0,13.0,11.0,4.0,25.0,1017055.0,64.0,10.0
2020-04-04,81.0,16.0,17.0,10.0,27.0,1017153.0,76.0,12.0
2020-04-05,90.0,11.0,14.0,15.0,39.0,1018131.0,86.0,10.0
2020-04-06,98.0,16.0,17.0,14.0,44.0,1017460.0,103.0,17.0
2020-04-07,120.0,22.0,18.0,17.0,48.0,1016758.0,121.0,18.0
2020-04-08,143.0,31.0,18.0,22.0,55.0,1016201.0,148.0,27.0
2020-04-09,161.0,37.0,27.0,17.0,73.0,1017323.0,174.0,26.0
2020-04-10,193.0,41.0,28.0,30.0,95.0,1017907.0,208.0,34.0
2020-04-11,232.0,60.0,36.0,38.0,119.0,1015883.0,249.0,41.0
2020-04-12,303.0,60.0,48.0,41.0,142.0,1017555.0,290.0,41.0
2020-04-13,345.0,67.0,64.0,51.0,171.0,1018184.0,344.0,54.0
2020-04-14,459.0,91.0,83.0,52.0,202.0,1019338.0,409.0,65.0
2020-04-15,546.0,112.0,99.0,68.0,231.0,1020170.0,508.0,99.0
2020-04-16,675.0,147.0,113.0,84.0,293.0,1021315.0,622.0,114.0
2020-04-17,776.0,167.0,139.0,93.0,343.0,1019501.0,757.0,135.0
2020-04-18,979.0,215.0,172.0,107.0,416.0,1019241.0,921.0,164.0
2020-04-19,1206.0,273.0,171.0,140.0,479.0,1019453.0,1109.0,188.0
2020-04-20,1426.0,308.0,253.0,151.0,589.0,1019301.0,1342.0,233.0
2020-04-21,1726.0,373.0,299.0,196.0,692.0,1018794.0,1638.0,296.0
2020-04-22,2045.0,452.0,318.0,233.0,886.0,1018267.0,1970.0,332.0
