time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969730.0,0.0,0.0
2020-03-07,3.0,0.0,3.0,0.0,0.0,972438.0,0.0,0.0
2020-03-08,3.0,1.0,2.0,1.0,0.0,979768.0,1.0,1.0
2020-03-09,3.0,1.0,3.0,0.0,2.0,986682.0,3.0,2.0
2020-03-10,5.0,0.0,1.0,1.0,1.0,990674.0,3.0,0.0
2020-03-11,6.0,1.0,0.0,1.0,2.0,996919.0,4.0,1.0
2020-03-12,5.0,1.0,0.0,1.0,2.0,1000038.0,5.0,1.0
2020-03-13,7.0,1.0,0.0,1.0,2.0,1002752.0,5.0,0.0
2020-03-14,5.0,2.0,0.0,1.0,2.0,1005042.0,8.0,3.0
2020-03-15,2.0,4.0,1.0,1.0,2.0,1006353.0,10.0,2.0
2020-03-16,6.0,2.0,1.0,1.0,2.0,1006779.0,10.0,0.0
2020-03-17,9.0,1.0,2.0,1.0,2.0,1007599.0,11.0,1.0
2020-03-18,6.0,2.0,0.0,1.0,5.0,1008862.0,13.0,2.0
2020-03-19,9.0,3.0,0.0,2.0,4.0,1008966.0,14.0,1.0
2020-03-20,12.0,2.0,0.0,1.0,3.0,1010704.0,14.0,0.0
2020-03-21,14.0,3.0,2.0,0.0,3.0,1011895.0,16.0,2.0
2020-03-22,20.0,2.0,3.0,1.0,3.0,1011825.0,17.0,1.0
2020-03-23,19.0,1.0,4.0,2.0,8.0,1012717.0,19.0,2.0
2020-03-24,19.0,4.0,1.0,3.0,13.0,1013482.0,23.0,4.0
2020-03-25,20.0,3.0,4.0,4.0,12.0,1012813.0,28.0,5.0
2020-03-26,19.0,5.0,3.0,3.0,11.0,1013242.0,32.0,4.0
2020-03-27,30.0,5.0,4.0,2.0,13.0,1012904.0,34.0,2.0
2020-03-28,31.0,7.0,4.0,4.0,14.0,1014256.0,40.0,6.0
2020-03-29,44.0,5.0,8.0,5.0,18.0,1015401.0,45.0,5.0
2020-03-30,51.0,6.0,7.0,11.0,32.0,1014549.0,53.0,8.0
2020-03-31,63.0,10.0,7.0,5.0,35.0,1015460.0,59.0,6.0
2020-04-01,70.0,11.0,8.0,6.0,29.0,1016181.0,67.0,8.0
2020-04-02,75.0,25.0,12.0,8.0,25.0,1015552.0,90.0,23.0
2020-04-03,100.0,20.0,18.0,7.0,29.0,1016853.0,100.0,10.0
2020-04-04,116.0,24.0,17.0,11.0,38.0,1018469.0,117.0,17.0
