time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,969822.0,0.0,0.0
2020-03-07,1.0,3.0,1.0,0.0,0.0,972952.0,3.0,3.0
2020-03-08,0.0,1.0,1.0,0.0,0.0,978158.0,3.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,985196.0,3.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,992292.0,3.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,996419.0,3.0,0.0
2020-03-12,6.0,0.0,0.0,0.0,2.0,999920.0,3.0,0.0
2020-03-13,6.0,0.0,0.0,0.0,2.0,1002932.0,3.0,0.0
2020-03-14,6.0,2.0,0.0,0.0,1.0,1004421.0,3.0,0.0
2020-03-15,9.0,3.0,0.0,2.0,1.0,1007029.0,5.0,2.0
2020-03-16,5.0,3.0,2.0,0.0,5.0,1007898.0,8.0,3.0
2020-03-17,7.0,4.0,3.0,0.0,4.0,1009758.0,9.0,1.0
2020-03-18,6.0,3.0,2.0,2.0,4.0,1010890.0,10.0,1.0
2020-03-19,12.0,4.0,2.0,0.0,5.0,1012243.0,11.0,1.0
2020-03-20,13.0,4.0,3.0,1.0,8.0,1012663.0,13.0,2.0
2020-03-21,19.0,5.0,3.0,1.0,8.0,1012808.0,16.0,3.0
2020-03-22,17.0,0.0,3.0,2.0,9.0,1013156.0,16.0,0.0
2020-03-23,20.0,3.0,0.0,1.0,12.0,1013336.0,17.0,1.0
2020-03-24,19.0,4.0,5.0,3.0,14.0,1013771.0,24.0,7.0
2020-03-25,21.0,8.0,6.0,6.0,12.0,1013517.0,29.0,5.0
2020-03-26,37.0,9.0,3.0,7.0,13.0,1014525.0,35.0,6.0
2020-03-27,46.0,5.0,4.0,9.0,16.0,1015708.0,38.0,3.0
2020-03-28,57.0,13.0,5.0,4.0,17.0,1015652.0,49.0,11.0
2020-03-29,64.0,11.0,12.0,5.0,25.0,1015985.0,60.0,11.0
2020-03-30,70.0,17.0,9.0,11.0,32.0,1017453.0,76.0,16.0
2020-03-31,73.0,28.0,9.0,15.0,35.0,1017379.0,102.0,26.0
2020-04-01,102.0,31.0,18.0,16.0,46.0,1017203.0,122.0,20.0
2020-04-02,127.0,31.0,22.0,14.0,53.0,1016526.0,142.0,20.0
2020-04-03,168.0,40.0,18.0,16.0,64.0,1016317.0,167.0,25.0
2020-04-04,159.0,47.0,24.0,20.0,74.0,1017371.0,206.0,39.0
2020-04-05,202.0,40.0,33.0,27.0,95.0,1017068.0,235.0,29.0
2020-04-06,243.0,50.0,42.0,28.0,110.0,1016457.0,278.0,43.0
2020-04-07,284.0,60.0,41.0,29.0,132.0,1017174.0,327.0,49.0
2020-04-08,350.0,65.0,57.0,44.0,148.0,1016549.0,380.0,53.0
2020-04-09,381.0,86.0,46.0,59.0,162.0,1016850.0,441.0,61.0
2020-04-10,489.0,108.0,74.0,66.0,198.0,1016399.0,522.0,81.0
2020-04-11,596.0,145.0,95.0,63.0,230.0,1017308.0,627.0,105.0
2020-04-12,717.0,143.0,127.0,94.0,297.0,1018035.0,736.0,109.0
2020-04-13,894.0,176.0,130.0,114.0,375.0,1017367.0,882.0,146.0
2020-04-14,1044.0,225.0,160.0,126.0,438.0,1018080.0,1054.0,172.0
2020-04-15,1268.0,264.0,211.0,171.0,537.0,1018601.0,1258.0,204.0
2020-04-16,1548.0,321.0,264.0,199.0,649.0,1016367.0,1529.0,271.0
2020-04-17,1840.0,380.0,299.0,234.0,814.0,1016050.0,1821.0,292.0
2020-04-18,2196.0,479.0,367.0,269.0,1009.0,1015169.0,2204.0,383.0
2020-04-19,2694.0,534.0,467.0,339.0,1164.0,1013961.0,2619.0,415.0
2020-04-20,3157.0,692.0,540.0,416.0,1376.0,1012651.0,3181.0,562.0
2020-04-21,3944.0,802.0,634.0,515.0,1653.0,1011870.0,3805.0,624.0
2020-04-22,4704.0,938.0,769.0,596.0,2010.0,1011640.0,4561.0,756.0
2020-04-23,5758.0,1195.0,936.0,743.0,2406.0,1010024.0,5521.0,960.0
2020-04-24,6778.0,1477.0,1097.0,900.0,2874.0,1007848.0,6653.0,1132.0
2020-04-25,8311.0,1764.0,1393.0,1011.0,3457.0,1005676.0,8038.0,1385.0
2020-04-26,10035.0,2155.0,1605.0,1268.0,4220.0,1003098.0,9683.0,1645.0
2020-04-27,12017.0,2521.0,1984.0,1522.0,5097.0,998093.0,11643.0,1960.0
2020-04-28,14298.0,3022.0,2352.0,1773.0,6063.0,993495.0,14071.0,2428.0
2020-04-29,16896.0,3662.0,2731.0,2132.0,7397.0,988031.0,16922.0,2851.0
2020-04-30,20047.0,4337.0,3208.0,2598.0,8868.0,980015.0,20312.0,3390.0
2020-05-01,24060.0,5222.0,3954.0,3093.0,10782.0,974012.0,24338.0,4026.0
2020-05-02,28931.0,6149.0,4784.0,3709.0,12852.0,965239.0,29099.0,4761.0
