time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969442.0,0.0,0.0
2020-03-07,0.0,2.0,0.0,0.0,0.0,972262.0,0.0,0.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,980558.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987579.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992350.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,996994.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,1000631.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,1001220.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,2.0,0.0,1004547.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,2.0,1007287.0,0.0,0.0
2020-03-16,4.0,1.0,0.0,0.0,2.0,1008072.0,1.0,1.0
2020-03-17,3.0,2.0,0.0,0.0,1.0,1009738.0,3.0,2.0
2020-03-18,1.0,6.0,0.0,0.0,2.0,1011567.0,7.0,4.0
2020-03-19,4.0,1.0,5.0,0.0,3.0,1012323.0,8.0,1.0
2020-03-20,6.0,2.0,2.0,0.0,4.0,1013051.0,10.0,2.0
2020-03-21,15.0,1.0,3.0,0.0,8.0,1012447.0,12.0,2.0
2020-03-22,16.0,1.0,3.0,0.0,6.0,1012917.0,15.0,3.0
2020-03-23,25.0,7.0,5.0,3.0,6.0,1013388.0,21.0,6.0
2020-03-24,27.0,8.0,5.0,6.0,7.0,1013003.0,27.0,6.0
2020-03-25,41.0,9.0,9.0,6.0,7.0,1014563.0,30.0,3.0
2020-03-26,48.0,11.0,13.0,8.0,10.0,1015251.0,42.0,12.0
2020-03-27,49.0,16.0,5.0,10.0,16.0,1015152.0,54.0,12.0
2020-03-28,57.0,19.0,5.0,9.0,24.0,1015162.0,66.0,12.0
2020-03-29,72.0,13.0,13.0,5.0,36.0,1015023.0,73.0,7.0
