time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970664.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,0.0,0.0,972766.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,980029.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986761.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,0.0,992212.0,1.0,1.0
2020-03-11,2.0,1.0,1.0,0.0,0.0,997626.0,1.0,0.0
2020-03-12,3.0,1.0,0.0,0.0,2.0,999893.0,1.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1001627.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1003040.0,1.0,0.0
2020-03-15,2.0,1.0,0.0,0.0,0.0,1004727.0,2.0,1.0
2020-03-16,3.0,0.0,0.0,0.0,0.0,1006481.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,0.0,1009490.0,2.0,0.0
2020-03-18,4.0,0.0,0.0,0.0,0.0,1011701.0,2.0,0.0
2020-03-19,3.0,1.0,0.0,0.0,1.0,1012497.0,3.0,1.0
2020-03-20,0.0,1.0,1.0,0.0,1.0,1013958.0,4.0,1.0
2020-03-21,3.0,3.0,1.0,0.0,1.0,1013579.0,4.0,0.0
2020-03-22,4.0,3.0,4.0,0.0,1.0,1013495.0,6.0,2.0
2020-03-23,10.0,3.0,3.0,4.0,3.0,1014411.0,7.0,1.0
2020-03-24,11.0,2.0,4.0,1.0,2.0,1013358.0,8.0,1.0
2020-03-25,18.0,3.0,1.0,1.0,3.0,1014248.0,10.0,2.0
2020-03-26,23.0,5.0,1.0,0.0,7.0,1014953.0,14.0,4.0
2020-03-27,20.0,10.0,3.0,1.0,6.0,1014180.0,20.0,6.0
2020-03-28,22.0,3.0,10.0,6.0,6.0,1015432.0,25.0,5.0
2020-03-29,34.0,5.0,6.0,7.0,11.0,1014906.0,29.0,4.0
2020-03-30,39.0,5.0,12.0,3.0,23.0,1016249.0,36.0,7.0
2020-03-31,41.0,10.0,9.0,4.0,22.0,1015921.0,43.0,7.0
2020-04-01,56.0,10.0,14.0,7.0,20.0,1015498.0,53.0,10.0
2020-04-02,72.0,17.0,12.0,8.0,24.0,1016386.0,65.0,12.0
2020-04-03,78.0,12.0,10.0,14.0,22.0,1015905.0,76.0,11.0
2020-04-04,85.0,21.0,11.0,12.0,35.0,1016986.0,92.0,16.0
2020-04-05,111.0,23.0,15.0,13.0,46.0,1018077.0,106.0,14.0
2020-04-06,111.0,18.0,24.0,16.0,52.0,1018525.0,122.0,16.0
2020-04-07,137.0,23.0,30.0,22.0,73.0,1017652.0,140.0,18.0
2020-04-08,190.0,42.0,29.0,17.0,97.0,1017064.0,172.0,32.0
2020-04-09,229.0,45.0,34.0,19.0,98.0,1016738.0,211.0,39.0
2020-04-10,285.0,50.0,31.0,38.0,100.0,1016974.0,256.0,45.0
2020-04-11,326.0,60.0,49.0,38.0,129.0,1017628.0,311.0,55.0
2020-04-12,378.0,86.0,52.0,44.0,163.0,1017627.0,382.0,71.0
2020-04-13,442.0,109.0,68.0,55.0,192.0,1017773.0,457.0,75.0
2020-04-14,557.0,121.0,82.0,80.0,230.0,1017047.0,551.0,94.0
2020-04-15,659.0,155.0,90.0,99.0,271.0,1017637.0,672.0,121.0
2020-04-16,770.0,167.0,144.0,89.0,319.0,1017935.0,790.0,118.0
2020-04-17,965.0,186.0,164.0,129.0,376.0,1017236.0,945.0,155.0
2020-04-18,1137.0,231.0,192.0,154.0,466.0,1018586.0,1138.0,193.0
2020-04-19,1382.0,262.0,231.0,178.0,567.0,1016792.0,1346.0,208.0
2020-04-20,1658.0,354.0,244.0,224.0,696.0,1015489.0,1634.0,288.0
2020-04-21,1982.0,375.0,310.0,250.0,847.0,1015357.0,1924.0,290.0
2020-04-22,2308.0,457.0,366.0,264.0,1013.0,1014685.0,2314.0,390.0
2020-04-23,2780.0,595.0,453.0,350.0,1167.0,1014243.0,2829.0,515.0
2020-04-24,3348.0,714.0,550.0,436.0,1399.0,1013853.0,3413.0,584.0
2020-04-25,4161.0,861.0,626.0,550.0,1678.0,1012589.0,4077.0,664.0
2020-04-26,4874.0,1042.0,812.0,619.0,2067.0,1010887.0,4948.0,871.0
2020-04-27,5996.0,1255.0,991.0,746.0,2513.0,1009723.0,5915.0,967.0
2020-04-28,7169.0,1545.0,1178.0,920.0,2984.0,1008877.0,7132.0,1217.0
2020-04-29,8677.0,1883.0,1454.0,1087.0,3640.0,1005212.0,8596.0,1464.0
2020-04-30,10559.0,2204.0,1723.0,1290.0,4511.0,1002253.0,10318.0,1722.0
2020-05-01,12759.0,2703.0,2043.0,1582.0,5437.0,998945.0,12421.0,2103.0
2020-05-02,15111.0,3280.0,2429.0,1923.0,6433.0,994717.0,15040.0,2619.0
2020-05-03,18107.0,3939.0,2929.0,2305.0,7925.0,989188.0,18052.0,3012.0
2020-05-04,21539.0,4825.0,3581.0,2773.0,9491.0,982882.0,21856.0,3804.0
2020-05-05,25913.0,5493.0,4315.0,3378.0,11294.0,974381.0,26178.0,4322.0
2020-05-06,30825.0,6719.0,5103.0,3976.0,13634.0,963372.0,31451.0,5273.0
2020-05-07,36719.0,7990.0,6095.0,4728.0,16414.0,950677.0,37598.0,6147.0
2020-05-08,43750.0,9475.0,7359.0,5704.0,19511.0,936299.0,44946.0,7348.0
2020-05-09,51735.0,11259.0,8723.0,6690.0,23506.0,920440.0,53619.0,8673.0
2020-05-10,60970.0,13079.0,10391.0,8057.0,28263.0,900902.0,63834.0,10215.0
2020-05-11,71000.0,15466.0,12081.0,9596.0,34167.0,880364.0,75914.0,12080.0
2020-05-12,82397.0,18287.0,14244.0,11225.0,41129.0,856339.0,90025.0,14111.0
2020-05-13,95770.0,21113.0,16799.0,13379.0,48967.0,828728.0,106278.0,16253.0
2020-05-14,110269.0,24616.0,19496.0,15736.0,58438.0,797634.0,125203.0,18925.0
2020-05-15,125670.0,28257.0,22663.0,18263.0,69187.0,762451.0,146681.0,21478.0
2020-05-16,141415.0,32283.0,26204.0,21323.0,81657.0,722501.0,171295.0,24614.0
2020-05-17,157590.0,36602.0,30043.0,24602.0,96337.0,680655.0,199021.0,27726.0
2020-05-18,173951.0,40778.0,34181.0,28142.0,113128.0,635068.0,229734.0,30713.0
2020-05-19,189482.0,45003.0,38599.0,31971.0,132545.0,587849.0,263508.0,33774.0
2020-05-20,203782.0,49234.0,42722.0,36323.0,154044.0,539408.0,300059.0,36551.0
2020-05-21,214732.0,53272.0,46762.0,39909.0,179109.0,490985.0,339340.0,39281.0
2020-05-22,224052.0,56705.0,50628.0,44283.0,205751.0,443070.0,380408.0,41068.0
2020-05-23,230459.0,59265.0,54105.0,47546.0,235297.0,397754.0,423102.0,42694.0
2020-05-24,233175.0,61321.0,57117.0,51753.0,266496.0,354164.0,466730.0,43628.0
2020-05-25,232945.0,62716.0,59273.0,54589.0,300985.0,313545.0,510698.0,43968.0
2020-05-26,229034.0,63201.0,60644.0,57462.0,337677.0,277411.0,554271.0,43573.0
2020-05-27,222670.0,62321.0,61377.0,59099.0,375162.0,244456.0,597014.0,42743.0
2020-05-28,213621.0,60923.0,61524.0,60411.0,413502.0,216288.0,638380.0,41366.0
2020-05-29,202675.0,59137.0,60834.0,60982.0,451394.0,190838.0,677831.0,39451.0
2020-05-30,190934.0,56459.0,59091.0,60380.0,489888.0,168872.0,715120.0,37289.0
2020-05-31,177994.0,53887.0,56860.0,59171.0,528347.0,150326.0,750181.0,35061.0
2020-06-01,163864.0,50262.0,54785.0,57366.0,565739.0,134591.0,782734.0,32553.0
2020-06-02,150229.0,46398.0,51557.0,55604.0,601841.0,121637.0,812512.0,29778.0
2020-06-03,137042.0,42794.0,48148.0,52472.0,635999.0,110375.0,839737.0,27225.0
2020-06-04,124125.0,39259.0,44512.0,48935.0,668984.0,100613.0,864259.0,24522.0
2020-06-05,111569.0,35954.0,40969.0,45861.0,699723.0,92535.0,886778.0,22519.0
2020-06-06,100773.0,32618.0,37686.0,42827.0,728827.0,85957.0,907118.0,20340.0
2020-06-07,90096.0,29704.0,34210.0,39181.0,754503.0,80582.0,925407.0,18289.0
2020-06-08,80860.0,26399.0,31068.0,36209.0,777075.0,75729.0,941706.0,16299.0
2020-06-09,71877.0,23617.0,28159.0,33076.0,799098.0,71638.0,956251.0,14545.0
2020-06-10,63843.0,20948.0,25427.0,29873.0,820064.0,68088.0,969167.0,12916.0
