time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970504.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,973224.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979720.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987348.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993068.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997205.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,1000525.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,1003296.0,0.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,0.0,1004618.0,1.0,1.0
2020-03-15,3.0,0.0,0.0,0.0,2.0,1006032.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,3.0,1006393.0,1.0,0.0
2020-03-17,3.0,0.0,0.0,0.0,3.0,1007971.0,1.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,2.0,1010117.0,1.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,2.0,1011569.0,1.0,0.0
2020-03-20,4.0,1.0,0.0,0.0,2.0,1011855.0,2.0,1.0
2020-03-21,5.0,1.0,2.0,0.0,1.0,1012504.0,3.0,1.0
2020-03-22,3.0,2.0,2.0,0.0,1.0,1011951.0,4.0,1.0
2020-03-23,11.0,0.0,2.0,2.0,2.0,1011965.0,4.0,0.0
2020-03-24,12.0,0.0,1.0,0.0,6.0,1012500.0,4.0,0.0
2020-03-25,8.0,2.0,0.0,1.0,5.0,1012239.0,6.0,2.0
2020-03-26,12.0,1.0,1.0,1.0,5.0,1012324.0,7.0,1.0
2020-03-27,9.0,2.0,2.0,1.0,4.0,1014104.0,9.0,2.0
2020-03-28,13.0,3.0,1.0,1.0,4.0,1015002.0,10.0,1.0
2020-03-29,13.0,1.0,1.0,2.0,5.0,1016788.0,11.0,1.0
2020-03-30,10.0,2.0,2.0,0.0,4.0,1015980.0,15.0,4.0
2020-03-31,10.0,1.0,3.0,0.0,6.0,1015674.0,17.0,2.0
2020-04-01,18.0,4.0,2.0,2.0,8.0,1014427.0,19.0,2.0
2020-04-02,18.0,10.0,2.0,1.0,8.0,1014611.0,26.0,7.0
2020-04-03,22.0,7.0,6.0,2.0,9.0,1016483.0,29.0,3.0
2020-04-04,27.0,8.0,5.0,6.0,18.0,1017073.0,35.0,6.0
2020-04-05,29.0,5.0,6.0,3.0,15.0,1016601.0,38.0,3.0
2020-04-06,28.0,6.0,6.0,5.0,27.0,1017912.0,44.0,6.0
2020-04-07,45.0,9.0,12.0,7.0,36.0,1017722.0,52.0,8.0
2020-04-08,67.0,19.0,10.0,7.0,41.0,1016191.0,68.0,16.0
2020-04-09,89.0,21.0,18.0,13.0,41.0,1017586.0,82.0,14.0
2020-04-10,97.0,27.0,11.0,20.0,56.0,1017093.0,104.0,22.0
2020-04-11,145.0,16.0,23.0,14.0,58.0,1018629.0,115.0,11.0
2020-04-12,179.0,33.0,22.0,25.0,68.0,1017458.0,141.0,26.0
2020-04-13,197.0,47.0,27.0,22.0,86.0,1019430.0,178.0,37.0
2020-04-14,263.0,48.0,37.0,32.0,109.0,1019095.0,211.0,33.0
2020-04-15,311.0,71.0,44.0,39.0,126.0,1019084.0,265.0,54.0
2020-04-16,359.0,76.0,57.0,43.0,157.0,1018508.0,319.0,54.0
2020-04-17,456.0,91.0,78.0,40.0,208.0,1018824.0,392.0,73.0
2020-04-18,538.0,102.0,79.0,66.0,240.0,1018751.0,477.0,85.0
2020-04-19,617.0,120.0,119.0,69.0,279.0,1017930.0,583.0,106.0
2020-04-20,740.0,162.0,128.0,93.0,343.0,1018414.0,715.0,132.0
2020-04-21,942.0,190.0,152.0,124.0,398.0,1019111.0,868.0,153.0
2020-04-22,1153.0,226.0,165.0,155.0,472.0,1019379.0,1052.0,184.0
2020-04-23,1352.0,301.0,230.0,165.0,583.0,1018872.0,1279.0,227.0
2020-04-24,1676.0,313.0,294.0,195.0,723.0,1019157.0,1504.0,225.0
2020-04-25,2003.0,409.0,331.0,241.0,866.0,1017201.0,1849.0,345.0
2020-04-26,2492.0,523.0,416.0,317.0,1018.0,1016561.0,2266.0,417.0
2020-04-27,3139.0,613.0,500.0,406.0,1208.0,1014704.0,2769.0,503.0
2020-04-28,3672.0,746.0,557.0,490.0,1457.0,1014993.0,3375.0,606.0
2020-04-29,4357.0,955.0,709.0,543.0,1788.0,1013067.0,4136.0,761.0
2020-04-30,5270.0,1148.0,866.0,668.0,2159.0,1012385.0,5000.0,864.0
2020-05-01,6318.0,1352.0,1030.0,837.0,2692.0,1009890.0,6024.0,1024.0
2020-05-02,7637.0,1632.0,1260.0,965.0,3304.0,1006999.0,7274.0,1250.0
2020-05-03,9470.0,1891.0,1498.0,1162.0,3973.0,1004338.0,8781.0,1507.0
2020-05-04,11174.0,2307.0,1891.0,1407.0,4805.0,1000416.0,10617.0,1836.0
2020-05-05,13481.0,2769.0,2191.0,1700.0,5782.0,995439.0,12744.0,2127.0
2020-05-06,16088.0,3360.0,2564.0,2018.0,6964.0,990592.0,15338.0,2594.0
2020-05-07,19397.0,4073.0,3030.0,2461.0,8391.0,985577.0,18463.0,3125.0
2020-05-08,23053.0,4853.0,3734.0,2877.0,10200.0,977855.0,22230.0,3767.0
2020-05-09,27614.0,5857.0,4462.0,3489.0,12169.0,967056.0,26757.0,4527.0
2020-05-10,33234.0,7136.0,5454.0,4302.0,14745.0,957046.0,32387.0,5630.0
2020-05-11,39921.0,8482.0,6652.0,5293.0,17945.0,944061.0,38987.0,6600.0
2020-05-12,47628.0,10295.0,8003.0,6317.0,21688.0,929313.0,47053.0,8066.0
