time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,0.0,1.0,0.0,0.0,969779.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,972250.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,980141.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,987596.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992287.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,997485.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1001587.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003931.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005302.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006235.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008034.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1010065.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010188.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1010991.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,0.0,1011603.0,0.0,0.0
2020-03-21,1.0,1.0,0.0,0.0,0.0,1012114.0,0.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1012645.0,0.0,0.0
2020-03-23,2.0,2.0,0.0,0.0,0.0,1012304.0,0.0,0.0
2020-03-24,3.0,2.0,1.0,1.0,1.0,1013769.0,1.0,1.0
2020-03-25,5.0,1.0,0.0,0.0,2.0,1014240.0,1.0,0.0
2020-03-26,6.0,2.0,0.0,0.0,2.0,1015310.0,1.0,0.0
2020-03-27,9.0,1.0,1.0,2.0,2.0,1015912.0,1.0,0.0
2020-03-28,11.0,4.0,0.0,1.0,1.0,1014200.0,3.0,2.0
2020-03-29,10.0,0.0,1.0,3.0,1.0,1014209.0,3.0,0.0
2020-03-30,9.0,4.0,0.0,2.0,3.0,1015374.0,5.0,2.0
2020-03-31,11.0,4.0,1.0,1.0,6.0,1017311.0,6.0,1.0
2020-04-01,13.0,3.0,1.0,1.0,11.0,1017837.0,8.0,2.0
2020-04-02,14.0,0.0,2.0,4.0,9.0,1017068.0,9.0,1.0
2020-04-03,16.0,0.0,1.0,5.0,14.0,1017090.0,11.0,2.0
2020-04-04,23.0,5.0,4.0,1.0,15.0,1017539.0,16.0,5.0
2020-04-05,30.0,9.0,5.0,4.0,16.0,1017159.0,22.0,6.0
2020-04-06,39.0,7.0,9.0,5.0,18.0,1016594.0,30.0,8.0
2020-04-07,47.0,8.0,7.0,3.0,20.0,1017342.0,35.0,5.0
2020-04-08,62.0,11.0,9.0,6.0,18.0,1019265.0,42.0,7.0
2020-04-09,79.0,13.0,7.0,9.0,34.0,1020035.0,52.0,10.0
2020-04-10,83.0,22.0,14.0,8.0,35.0,1019636.0,65.0,13.0
2020-04-11,98.0,19.0,17.0,7.0,36.0,1019167.0,79.0,14.0
