time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970095.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,0.0,0.0,971974.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,977660.0,1.0,1.0
2020-03-09,5.0,1.0,1.0,0.0,0.0,984255.0,1.0,0.0
2020-03-10,3.0,0.0,2.0,0.0,0.0,989018.0,2.0,1.0
2020-03-11,3.0,0.0,1.0,0.0,1.0,994546.0,2.0,0.0
2020-03-12,1.0,1.0,1.0,0.0,1.0,998104.0,3.0,1.0
2020-03-13,4.0,0.0,1.0,2.0,1.0,1001134.0,3.0,0.0
2020-03-14,8.0,0.0,3.0,1.0,1.0,1004149.0,5.0,2.0
2020-03-15,9.0,4.0,0.0,2.0,0.0,1006783.0,9.0,4.0
2020-03-16,11.0,5.0,0.0,1.0,1.0,1007677.0,11.0,2.0
2020-03-17,6.0,5.0,2.0,1.0,3.0,1008695.0,14.0,3.0
2020-03-18,9.0,1.0,1.0,3.0,5.0,1009784.0,15.0,1.0
2020-03-19,11.0,2.0,0.0,2.0,6.0,1011664.0,17.0,2.0
2020-03-20,10.0,3.0,1.0,2.0,6.0,1011553.0,19.0,2.0
2020-03-21,17.0,2.0,5.0,3.0,9.0,1011921.0,23.0,4.0
2020-03-22,18.0,2.0,2.0,8.0,9.0,1013238.0,25.0,2.0
2020-03-23,17.0,5.0,2.0,3.0,13.0,1013571.0,30.0,5.0
2020-03-24,14.0,3.0,3.0,1.0,10.0,1014319.0,34.0,4.0
2020-03-25,15.0,3.0,3.0,3.0,10.0,1014333.0,37.0,3.0
2020-03-26,23.0,5.0,2.0,2.0,11.0,1015393.0,40.0,3.0
2020-03-27,30.0,4.0,5.0,0.0,11.0,1015014.0,41.0,1.0
2020-03-28,39.0,2.0,3.0,6.0,14.0,1015404.0,42.0,1.0
2020-03-29,41.0,6.0,5.0,6.0,20.0,1016281.0,50.0,8.0
2020-03-30,40.0,8.0,4.0,6.0,26.0,1015802.0,56.0,6.0
2020-03-31,40.0,12.0,12.0,6.0,31.0,1016912.0,65.0,9.0
2020-04-01,61.0,13.0,11.0,5.0,32.0,1016463.0,75.0,10.0
2020-04-02,56.0,11.0,11.0,8.0,34.0,1016732.0,91.0,16.0
2020-04-03,82.0,13.0,11.0,12.0,37.0,1016899.0,100.0,9.0
2020-04-04,104.0,26.0,15.0,13.0,48.0,1017297.0,117.0,17.0
2020-04-05,136.0,33.0,19.0,10.0,54.0,1016870.0,139.0,22.0
2020-04-06,151.0,44.0,24.0,16.0,63.0,1017354.0,168.0,29.0
2020-04-07,194.0,48.0,32.0,30.0,84.0,1018045.0,200.0,32.0
2020-04-08,249.0,62.0,43.0,39.0,111.0,1017111.0,239.0,39.0
2020-04-09,299.0,60.0,55.0,36.0,130.0,1017196.0,282.0,43.0
2020-04-10,360.0,80.0,54.0,51.0,145.0,1016897.0,347.0,65.0
2020-04-11,407.0,88.0,79.0,63.0,167.0,1017373.0,422.0,75.0
2020-04-12,520.0,102.0,80.0,67.0,209.0,1017676.0,508.0,86.0
2020-04-13,628.0,129.0,96.0,71.0,280.0,1017520.0,612.0,104.0
2020-04-14,737.0,133.0,141.0,101.0,349.0,1017605.0,730.0,118.0
2020-04-15,886.0,185.0,152.0,108.0,422.0,1017452.0,891.0,161.0
2020-04-16,1064.0,229.0,179.0,138.0,489.0,1016645.0,1067.0,176.0
2020-04-17,1320.0,292.0,208.0,163.0,584.0,1017367.0,1287.0,220.0
2020-04-18,1589.0,328.0,272.0,179.0,690.0,1017870.0,1556.0,269.0
2020-04-19,1908.0,392.0,301.0,245.0,798.0,1016667.0,1846.0,290.0
2020-04-20,2319.0,467.0,374.0,294.0,951.0,1016129.0,2218.0,372.0
2020-04-21,2852.0,592.0,443.0,358.0,1163.0,1015035.0,2663.0,445.0
2020-04-22,3408.0,691.0,564.0,399.0,1406.0,1013891.0,3215.0,552.0
2020-04-23,4060.0,859.0,669.0,516.0,1699.0,1013699.0,3913.0,698.0
2020-04-24,4799.0,1079.0,806.0,585.0,2056.0,1013237.0,4748.0,835.0
2020-04-25,5765.0,1204.0,994.0,685.0,2491.0,1010962.0,5680.0,932.0
2020-04-26,6881.0,1494.0,1142.0,879.0,2995.0,1008154.0,6858.0,1178.0
2020-04-27,8376.0,1818.0,1363.0,1059.0,3562.0,1004889.0,8269.0,1411.0
2020-04-28,10190.0,2104.0,1600.0,1277.0,4380.0,1002510.0,9871.0,1602.0
2020-04-29,12047.0,2581.0,1924.0,1504.0,5302.0,999033.0,11957.0,2086.0
2020-04-30,14683.0,3112.0,2322.0,1848.0,6379.0,994675.0,14410.0,2453.0
2020-05-01,17514.0,3686.0,2916.0,2158.0,7630.0,988414.0,17305.0,2895.0
2020-05-02,20916.0,4385.0,3484.0,2653.0,9113.0,982126.0,20842.0,3537.0
2020-05-03,24937.0,5271.0,4089.0,3150.0,11075.0,975587.0,24973.0,4131.0
2020-05-04,29749.0,6378.0,4913.0,3951.0,13204.0,965771.0,30060.0,5087.0
2020-05-05,35385.0,7522.0,5980.0,4592.0,15950.0,955196.0,36028.0,5968.0
2020-05-06,42195.0,9053.0,7060.0,5616.0,19116.0,942112.0,43142.0,7114.0
2020-05-07,50106.0,10795.0,8542.0,6676.0,23105.0,924764.0,51580.0,8438.0
2020-05-08,59171.0,12737.0,9974.0,7773.0,27928.0,905874.0,61565.0,9985.0
2020-05-09,69191.0,15227.0,11928.0,9349.0,33464.0,885078.0,73407.0,11842.0
2020-05-10,81228.0,17758.0,14202.0,11146.0,39947.0,859760.0,87198.0,13791.0
2020-05-11,94390.0,20780.0,16575.0,12981.0,47707.0,832444.0,103129.0,15931.0
2020-05-12,108168.0,24132.0,19372.0,15542.0,56531.0,799740.0,121642.0,18513.0
2020-05-13,123255.0,27835.0,22417.0,18194.0,67428.0,763631.0,142869.0,21227.0
2020-05-14,139503.0,31764.0,25835.0,20962.0,80012.0,725622.0,167017.0,24148.0
2020-05-15,155963.0,35966.0,29628.0,24080.0,94636.0,683950.0,194318.0,27301.0
2020-05-16,171955.0,40047.0,33676.0,27742.0,111433.0,639223.0,224527.0,30209.0
2020-05-17,187646.0,44791.0,37889.0,31573.0,130454.0,591522.0,258241.0,33714.0
2020-05-18,202523.0,49072.0,42340.0,35668.0,152292.0,542443.0,294625.0,36384.0
2020-05-19,214414.0,52878.0,46281.0,39761.0,177016.0,495415.0,333217.0,38592.0
2020-05-20,223937.0,56036.0,50569.0,43816.0,203840.0,446871.0,374092.0,40875.0
2020-05-21,230226.0,58953.0,53901.0,48054.0,233140.0,399611.0,416506.0,42414.0
2020-05-22,233805.0,61487.0,56592.0,51694.0,265297.0,356197.0,460150.0,43644.0
2020-05-23,233134.0,62913.0,59625.0,54727.0,299247.0,315059.0,504399.0,44249.0
2020-05-24,229857.0,63178.0,60750.0,57271.0,334932.0,277320.0,547848.0,43449.0
2020-05-25,223306.0,62738.0,61745.0,59218.0,373307.0,244201.0,590712.0,42864.0
2020-05-26,214445.0,60987.0,61817.0,60372.0,412148.0,215085.0,631878.0,41166.0
2020-05-27,203069.0,58983.0,60773.0,60590.0,451146.0,189391.0,671221.0,39343.0
2020-05-28,190322.0,56145.0,59409.0,60128.0,491461.0,168495.0,708270.0,37049.0
2020-05-29,176662.0,53521.0,57029.0,59076.0,530302.0,150340.0,743346.0,35076.0
2020-05-30,163820.0,50279.0,54552.0,57110.0,567256.0,134089.0,775798.0,32452.0
2020-05-31,149608.0,46734.0,51203.0,55204.0,604081.0,120947.0,805573.0,29775.0
2020-06-01,136773.0,42907.0,47916.0,52434.0,638017.0,109505.0,832601.0,27028.0
2020-06-02,123808.0,39456.0,44444.0,49178.0,669812.0,100084.0,857391.0,24790.0
2020-06-03,111310.0,35624.0,40990.0,45777.0,700693.0,92186.0,879595.0,22204.0
2020-06-04,99843.0,32322.0,37332.0,42775.0,729258.0,85265.0,899684.0,20089.0
2020-06-05,89011.0,29147.0,34045.0,39124.0,756065.0,79486.0,917821.0,18137.0
2020-06-06,79540.0,26114.0,31056.0,35907.0,779630.0,74210.0,933958.0,16137.0
2020-06-07,70633.0,23446.0,27890.0,32987.0,802273.0,70145.0,948426.0,14468.0
2020-06-08,62745.0,20985.0,25074.0,29981.0,822196.0,66759.0,961231.0,12805.0
2020-06-09,55521.0,18412.0,22435.0,26806.0,840425.0,63809.0,972475.0,11244.0
2020-06-10,49047.0,16432.0,20120.0,24113.0,855856.0,61164.0,982399.0,9924.0
2020-06-11,43088.0,14558.0,18033.0,21334.0,870109.0,59242.0,991198.0,8799.0
2020-06-12,37932.0,13044.0,15823.0,19149.0,883198.0,57211.0,998961.0,7763.0
2020-06-13,33393.0,11317.0,14209.0,16822.0,895687.0,55451.0,1005714.0,6753.0
2020-06-14,29403.0,10062.0,12421.0,15072.0,906478.0,54150.0,1011756.0,6042.0
2020-06-15,26099.0,8813.0,10946.0,13480.0,915117.0,53026.0,1017041.0,5285.0
2020-06-16,23008.0,7860.0,9710.0,11947.0,923106.0,51779.0,1021720.0,4679.0
2020-06-17,20047.0,7090.0,8595.0,10470.0,930624.0,50815.0,1025988.0,4268.0
2020-06-18,17614.0,6108.0,7495.0,9283.0,936062.0,49999.0,1029567.0,3579.0
2020-06-19,15308.0,5249.0,6606.0,8301.0,943780.0,49509.0,1032725.0,3158.0
2020-06-20,13366.0,4672.0,5791.0,7260.0,948852.0,48718.0,1035526.0,2801.0
2020-06-21,11822.0,4023.0,5073.0,6389.0,951607.0,48108.0,1037870.0,2344.0
2020-06-22,10282.0,3500.0,4464.0,5737.0,954915.0,47749.0,1039963.0,2093.0
2020-06-23,9090.0,3087.0,3840.0,4895.0,958104.0,47696.0,1041805.0,1842.0
2020-06-24,7885.0,2684.0,3397.0,4270.0,960265.0,47379.0,1043442.0,1637.0
2020-06-25,7012.0,2413.0,2921.0,3788.0,962904.0,46953.0,1044816.0,1374.0
2020-06-26,6248.0,2051.0,2582.0,3290.0,966649.0,46606.0,1046013.0,1197.0
2020-06-27,5442.0,1829.0,2225.0,2868.0,967806.0,46427.0,1047079.0,1066.0
2020-06-28,4770.0,1548.0,2030.0,2556.0,970112.0,46484.0,1048034.0,955.0
2020-06-29,4184.0,1386.0,1782.0,2236.0,971762.0,46458.0,1048871.0,837.0
2020-06-30,3583.0,1239.0,1524.0,1979.0,972368.0,46200.0,1049636.0,765.0
2020-07-01,3143.0,1109.0,1316.0,1679.0,973547.0,46119.0,1050254.0,618.0
2020-07-02,2806.0,956.0,1150.0,1541.0,975473.0,45878.0,1050805.0,551.0
2020-07-03,2440.0,819.0,1049.0,1265.0,976598.0,45611.0,1051273.0,468.0
2020-07-04,2071.0,759.0,948.0,1111.0,978120.0,45671.0,1051712.0,439.0
2020-07-05,1796.0,635.0,796.0,1025.0,977800.0,45971.0,1052087.0,375.0
2020-07-06,1597.0,522.0,712.0,881.0,977606.0,45964.0,1052426.0,339.0
