time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970493.0,0.0,0.0
2020-03-07,4.0,1.0,0.0,0.0,0.0,974716.0,0.0,0.0
2020-03-08,4.0,2.0,0.0,0.0,0.0,979750.0,1.0,1.0
2020-03-09,3.0,1.0,0.0,0.0,0.0,986179.0,2.0,1.0
2020-03-10,2.0,0.0,2.0,0.0,0.0,991858.0,3.0,1.0
2020-03-11,2.0,3.0,0.0,2.0,0.0,994950.0,5.0,2.0
2020-03-12,3.0,1.0,0.0,1.0,0.0,999208.0,5.0,0.0
2020-03-13,3.0,1.0,0.0,0.0,2.0,1002124.0,5.0,0.0
2020-03-14,1.0,1.0,0.0,1.0,2.0,1004719.0,6.0,1.0
2020-03-15,3.0,0.0,2.0,0.0,2.0,1007063.0,7.0,1.0
2020-03-16,5.0,1.0,5.0,0.0,1.0,1008969.0,8.0,1.0
2020-03-17,10.0,3.0,3.0,1.0,1.0,1009349.0,10.0,2.0
2020-03-18,10.0,5.0,1.0,5.0,2.0,1011129.0,12.0,2.0
2020-03-19,6.0,2.0,1.0,4.0,3.0,1012065.0,14.0,2.0
2020-03-20,13.0,1.0,1.0,2.0,3.0,1013947.0,14.0,0.0
2020-03-21,13.0,0.0,3.0,2.0,7.0,1014272.0,17.0,3.0
2020-03-22,12.0,3.0,3.0,1.0,5.0,1013841.0,22.0,5.0
2020-03-23,13.0,1.0,1.0,2.0,7.0,1013993.0,22.0,0.0
2020-03-24,16.0,3.0,2.0,2.0,8.0,1012922.0,25.0,3.0
2020-03-25,26.0,5.0,3.0,1.0,10.0,1014188.0,28.0,3.0
2020-03-26,24.0,4.0,6.0,3.0,12.0,1015471.0,31.0,3.0
2020-03-27,36.0,7.0,3.0,3.0,13.0,1016603.0,36.0,5.0
2020-03-28,47.0,9.0,9.0,2.0,18.0,1016968.0,46.0,10.0
2020-03-29,49.0,8.0,10.0,6.0,21.0,1016152.0,54.0,8.0
2020-03-30,55.0,16.0,6.0,8.0,29.0,1016797.0,65.0,11.0
2020-03-31,72.0,11.0,14.0,11.0,33.0,1017754.0,76.0,11.0
2020-04-01,88.0,12.0,12.0,11.0,39.0,1017694.0,86.0,10.0
2020-04-02,99.0,24.0,14.0,13.0,46.0,1018024.0,109.0,23.0
2020-04-03,131.0,25.0,20.0,15.0,60.0,1017406.0,129.0,20.0
2020-04-04,163.0,39.0,28.0,19.0,79.0,1016098.0,161.0,32.0
2020-04-05,181.0,42.0,37.0,25.0,84.0,1016038.0,197.0,36.0
2020-04-06,237.0,44.0,34.0,27.0,100.0,1016733.0,228.0,31.0
2020-04-07,271.0,53.0,43.0,25.0,115.0,1018404.0,276.0,48.0
2020-04-08,307.0,63.0,55.0,33.0,129.0,1017318.0,331.0,55.0
2020-04-09,399.0,78.0,64.0,44.0,168.0,1017197.0,387.0,56.0
2020-04-10,463.0,93.0,74.0,57.0,193.0,1018082.0,456.0,69.0
2020-04-11,529.0,110.0,83.0,66.0,212.0,1016875.0,559.0,103.0
2020-04-12,653.0,146.0,99.0,107.0,252.0,1017618.0,681.0,122.0
2020-04-13,810.0,144.0,126.0,123.0,346.0,1017719.0,803.0,122.0
2020-04-14,937.0,199.0,129.0,137.0,419.0,1017479.0,964.0,161.0
2020-04-15,1116.0,237.0,176.0,133.0,521.0,1017856.0,1123.0,159.0
2020-04-16,1362.0,285.0,204.0,167.0,583.0,1017138.0,1348.0,225.0
2020-04-17,1599.0,377.0,262.0,187.0,705.0,1017345.0,1652.0,304.0
2020-04-18,1988.0,433.0,337.0,253.0,825.0,1017133.0,1991.0,339.0
2020-04-19,2416.0,521.0,388.0,302.0,993.0,1014665.0,2394.0,403.0
2020-04-20,2829.0,627.0,460.0,322.0,1265.0,1014213.0,2890.0,496.0
2020-04-21,3403.0,750.0,589.0,407.0,1472.0,1014120.0,3480.0,590.0
2020-04-22,4191.0,845.0,665.0,527.0,1730.0,1014149.0,4107.0,627.0
2020-04-23,5065.0,1027.0,781.0,636.0,2114.0,1012076.0,4942.0,835.0
2020-04-24,6081.0,1274.0,908.0,763.0,2522.0,1010057.0,5967.0,1025.0
2020-04-25,7267.0,1499.0,1169.0,902.0,3144.0,1007663.0,7163.0,1196.0
2020-04-26,8754.0,1859.0,1361.0,1116.0,3750.0,1004303.0,8668.0,1505.0
2020-04-27,10458.0,2169.0,1749.0,1280.0,4595.0,1001632.0,10395.0,1727.0
2020-04-28,12697.0,2601.0,2090.0,1560.0,5472.0,997060.0,12499.0,2104.0
2020-04-29,15151.0,3225.0,2379.0,1889.0,6660.0,991982.0,15052.0,2553.0
2020-04-30,18225.0,3849.0,3020.0,2242.0,7977.0,985856.0,18077.0,3025.0
2020-05-01,21730.0,4544.0,3606.0,2776.0,9563.0,978523.0,21651.0,3574.0
