time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,971067.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0,1.0,973278.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,1.0,981328.0,0.0,0.0
2020-03-09,2.0,1.0,0.0,0.0,1.0,988046.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,1.0,992843.0,0.0,0.0
2020-03-11,1.0,0.0,1.0,0.0,2.0,996147.0,0.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,1.0,1000315.0,0.0,0.0
2020-03-13,2.0,0.0,1.0,0.0,1.0,1002588.0,0.0,0.0
2020-03-14,5.0,0.0,0.0,1.0,1.0,1005839.0,0.0,0.0
2020-03-15,6.0,0.0,0.0,0.0,2.0,1006974.0,0.0,0.0
2020-03-16,5.0,0.0,0.0,0.0,1.0,1007590.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009755.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,0.0,1010214.0,0.0,0.0
2020-03-19,2.0,0.0,0.0,1.0,0.0,1010634.0,0.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,2.0,1011269.0,0.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,1.0,1012581.0,0.0,0.0
2020-03-22,1.0,1.0,0.0,0.0,1.0,1013359.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,2.0,1014556.0,0.0,0.0
2020-03-24,5.0,0.0,0.0,0.0,3.0,1013406.0,0.0,0.0
2020-03-25,3.0,2.0,1.0,1.0,2.0,1013348.0,1.0,1.0
2020-03-26,11.0,2.0,2.0,1.0,3.0,1013332.0,2.0,1.0
2020-03-27,13.0,0.0,3.0,1.0,5.0,1013680.0,2.0,0.0
2020-03-28,14.0,5.0,3.0,1.0,6.0,1014470.0,6.0,4.0
2020-03-29,21.0,4.0,4.0,2.0,6.0,1013512.0,8.0,2.0
2020-03-30,22.0,2.0,8.0,1.0,7.0,1014641.0,12.0,4.0
2020-03-31,28.0,4.0,6.0,6.0,6.0,1013606.0,17.0,5.0
2020-04-01,31.0,7.0,4.0,5.0,10.0,1014469.0,21.0,4.0
2020-04-02,28.0,5.0,11.0,2.0,11.0,1015285.0,28.0,7.0
2020-04-03,38.0,3.0,5.0,8.0,18.0,1016489.0,32.0,4.0
2020-04-04,36.0,7.0,7.0,7.0,25.0,1015284.0,38.0,6.0
2020-04-05,41.0,7.0,11.0,6.0,24.0,1015134.0,48.0,10.0
2020-04-06,63.0,8.0,5.0,8.0,23.0,1015844.0,52.0,4.0
2020-04-07,68.0,14.0,11.0,8.0,27.0,1015921.0,67.0,15.0
2020-04-08,75.0,22.0,6.0,14.0,35.0,1016276.0,79.0,12.0
2020-04-09,93.0,31.0,13.0,6.0,41.0,1017754.0,98.0,19.0
2020-04-10,119.0,25.0,18.0,19.0,55.0,1018430.0,108.0,10.0
2020-04-11,152.0,25.0,26.0,15.0,67.0,1018043.0,130.0,22.0
2020-04-12,163.0,39.0,25.0,23.0,77.0,1017828.0,167.0,37.0
2020-04-13,218.0,43.0,36.0,22.0,87.0,1017989.0,198.0,31.0
2020-04-14,249.0,43.0,42.0,29.0,89.0,1018350.0,239.0,41.0
