time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970183.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,1.0,0.0,973761.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,1.0,981210.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,987868.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,1.0,1.0,993647.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,1.0,997314.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,2.0,1000685.0,1.0,1.0
2020-03-13,1.0,1.0,0.0,0.0,3.0,1004162.0,1.0,0.0
2020-03-14,1.0,1.0,0.0,0.0,3.0,1005619.0,2.0,1.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1008063.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1009939.0,2.0,0.0
2020-03-17,3.0,0.0,2.0,0.0,2.0,1010225.0,3.0,1.0
2020-03-18,2.0,2.0,1.0,1.0,1.0,1011490.0,5.0,2.0
2020-03-19,4.0,3.0,0.0,3.0,1.0,1010736.0,7.0,2.0
2020-03-20,3.0,2.0,1.0,3.0,4.0,1012298.0,9.0,2.0
2020-03-21,6.0,4.0,0.0,1.0,4.0,1012821.0,11.0,2.0
2020-03-22,7.0,3.0,0.0,2.0,2.0,1012507.0,12.0,1.0
2020-03-23,7.0,1.0,2.0,0.0,7.0,1014070.0,12.0,0.0
2020-03-24,4.0,4.0,0.0,1.0,7.0,1012572.0,14.0,2.0
2020-03-25,7.0,2.0,0.0,0.0,10.0,1014121.0,14.0,0.0
2020-03-26,10.0,5.0,0.0,1.0,5.0,1013687.0,18.0,4.0
2020-03-27,8.0,3.0,3.0,1.0,7.0,1015657.0,18.0,0.0
2020-03-28,12.0,5.0,2.0,1.0,7.0,1015872.0,20.0,2.0
