time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969581.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,971289.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,1.0,0.0,978647.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,0.0,987531.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,2.0,0.0,992559.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,997453.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1001015.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003380.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005818.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1006963.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007830.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009742.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,0.0,1009641.0,0.0,0.0
2020-03-19,2.0,1.0,0.0,0.0,0.0,1011304.0,0.0,0.0
2020-03-20,1.0,1.0,0.0,0.0,0.0,1011976.0,0.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,1.0,1012332.0,0.0,0.0
2020-03-22,3.0,0.0,1.0,0.0,1.0,1013340.0,0.0,0.0
2020-03-23,4.0,0.0,0.0,1.0,0.0,1013968.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,0.0,1.0,1014327.0,0.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,2.0,1015045.0,0.0,0.0
2020-03-26,1.0,0.0,1.0,0.0,4.0,1014155.0,1.0,1.0
2020-03-27,0.0,0.0,1.0,0.0,2.0,1015133.0,1.0,0.0
2020-03-28,2.0,0.0,0.0,0.0,3.0,1014812.0,1.0,0.0
2020-03-29,2.0,0.0,0.0,0.0,3.0,1015802.0,1.0,0.0
2020-03-30,2.0,0.0,0.0,0.0,3.0,1015450.0,1.0,0.0
2020-03-31,1.0,0.0,0.0,0.0,2.0,1015265.0,1.0,0.0
2020-04-01,1.0,0.0,0.0,0.0,1.0,1015961.0,1.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,3.0,1017092.0,1.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,1.0,1016922.0,1.0,0.0
2020-04-04,0.0,0.0,0.0,1.0,1.0,1017334.0,1.0,0.0
2020-04-05,3.0,0.0,0.0,0.0,2.0,1017419.0,1.0,0.0
2020-04-06,9.0,0.0,1.0,0.0,1.0,1018089.0,1.0,0.0
2020-04-07,7.0,2.0,0.0,2.0,4.0,1018066.0,2.0,1.0
2020-04-08,9.0,4.0,2.0,0.0,3.0,1018078.0,6.0,4.0
2020-04-09,17.0,4.0,3.0,2.0,4.0,1019035.0,9.0,3.0
2020-04-10,16.0,5.0,3.0,3.0,9.0,1019135.0,13.0,4.0
2020-04-11,15.0,6.0,4.0,5.0,13.0,1018589.0,16.0,3.0
2020-04-12,21.0,5.0,4.0,5.0,15.0,1019110.0,17.0,1.0
2020-04-13,24.0,9.0,3.0,4.0,20.0,1019365.0,27.0,10.0
2020-04-14,39.0,13.0,5.0,6.0,17.0,1019345.0,35.0,8.0
2020-04-15,45.0,8.0,9.0,6.0,17.0,1019919.0,39.0,4.0
2020-04-16,69.0,15.0,13.0,7.0,31.0,1018828.0,48.0,9.0
2020-04-17,85.0,18.0,9.0,10.0,31.0,1019463.0,57.0,9.0
2020-04-18,95.0,18.0,18.0,16.0,39.0,1020089.0,79.0,22.0
2020-04-19,111.0,29.0,13.0,17.0,50.0,1021191.0,98.0,19.0
2020-04-20,119.0,31.0,23.0,25.0,67.0,1021198.0,126.0,28.0
2020-04-21,160.0,29.0,23.0,17.0,97.0,1021819.0,147.0,21.0
2020-04-22,201.0,40.0,34.0,21.0,98.0,1022084.0,181.0,34.0
2020-04-23,246.0,57.0,39.0,21.0,106.0,1021866.0,222.0,41.0
2020-04-24,334.0,70.0,47.0,29.0,129.0,1022523.0,267.0,45.0
2020-04-25,377.0,105.0,56.0,51.0,150.0,1022530.0,345.0,78.0
2020-04-26,475.0,110.0,79.0,60.0,195.0,1022106.0,428.0,83.0
2020-04-27,562.0,132.0,92.0,74.0,229.0,1020830.0,537.0,109.0
2020-04-28,705.0,147.0,106.0,101.0,289.0,1020990.0,658.0,121.0
2020-04-29,834.0,179.0,138.0,108.0,357.0,1020269.0,815.0,157.0
2020-04-30,988.0,217.0,174.0,136.0,423.0,1019478.0,996.0,181.0
2020-05-01,1251.0,247.0,206.0,170.0,508.0,1019740.0,1204.0,208.0
2020-05-02,1489.0,301.0,225.0,201.0,622.0,1018735.0,1437.0,233.0
2020-05-03,1750.0,369.0,268.0,220.0,772.0,1017830.0,1722.0,285.0
2020-05-04,2149.0,440.0,342.0,280.0,928.0,1018078.0,2080.0,358.0
2020-05-05,2632.0,582.0,465.0,326.0,1114.0,1017789.0,2548.0,468.0
2020-05-06,3117.0,679.0,525.0,416.0,1290.0,1017047.0,3077.0,529.0
2020-05-07,3819.0,832.0,644.0,523.0,1568.0,1015128.0,3736.0,659.0
2020-05-08,4680.0,951.0,747.0,613.0,1962.0,1012636.0,4464.0,728.0
2020-05-09,5543.0,1177.0,922.0,708.0,2381.0,1011214.0,5406.0,942.0
2020-05-10,6880.0,1442.0,1127.0,882.0,2850.0,1010708.0,6569.0,1163.0
2020-05-11,8384.0,1734.0,1284.0,1058.0,3434.0,1007532.0,7913.0,1344.0
2020-05-12,9972.0,2222.0,1569.0,1208.0,4283.0,1005769.0,9697.0,1784.0
2020-05-13,11980.0,2560.0,1975.0,1510.0,5030.0,1002424.0,11650.0,1953.0
2020-05-14,14223.0,3115.0,2325.0,1793.0,6125.0,997783.0,14050.0,2400.0
2020-05-15,17180.0,3684.0,2874.0,2194.0,7372.0,991351.0,16991.0,2941.0
2020-05-16,20585.0,4362.0,3464.0,2611.0,9014.0,985003.0,20393.0,3402.0
2020-05-17,24805.0,5396.0,4015.0,3220.0,10758.0,976787.0,24591.0,4198.0
2020-05-18,29480.0,6352.0,4904.0,3815.0,12921.0,967003.0,29558.0,4967.0
2020-05-19,35505.0,7509.0,5997.0,4722.0,15736.0,955054.0,35482.0,5924.0
2020-05-20,42258.0,8913.0,7175.0,5520.0,19158.0,942262.0,42598.0,7116.0
2020-05-21,50035.0,10702.0,8463.0,6580.0,22991.0,926013.0,51052.0,8454.0
