time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970079.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,973055.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,1.0,980250.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,987175.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,992734.0,1.0,1.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,997118.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,1.0,1000100.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,1.0,1002299.0,1.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,2.0,1005159.0,1.0,0.0
2020-03-15,5.0,0.0,1.0,0.0,1.0,1006498.0,1.0,0.0
2020-03-16,3.0,2.0,1.0,1.0,1.0,1007208.0,4.0,3.0
2020-03-17,5.0,1.0,0.0,2.0,2.0,1008692.0,5.0,1.0
2020-03-18,5.0,2.0,0.0,2.0,1.0,1010310.0,8.0,3.0
2020-03-19,10.0,2.0,3.0,0.0,3.0,1011465.0,12.0,4.0
2020-03-20,16.0,2.0,1.0,1.0,2.0,1013078.0,13.0,1.0
2020-03-21,15.0,3.0,1.0,1.0,3.0,1012602.0,15.0,2.0
2020-03-22,13.0,4.0,2.0,0.0,5.0,1012244.0,17.0,2.0
2020-03-23,13.0,2.0,2.0,1.0,4.0,1011921.0,18.0,1.0
2020-03-24,14.0,4.0,0.0,2.0,4.0,1012962.0,20.0,2.0
2020-03-25,21.0,0.0,1.0,3.0,2.0,1012487.0,20.0,0.0
2020-03-26,22.0,2.0,0.0,3.0,7.0,1013328.0,22.0,2.0
2020-03-27,29.0,7.0,4.0,2.0,9.0,1014420.0,27.0,5.0
2020-03-28,37.0,5.0,4.0,6.0,11.0,1015587.0,30.0,3.0
2020-03-29,44.0,9.0,8.0,5.0,16.0,1016752.0,37.0,7.0
2020-03-30,53.0,11.0,7.0,7.0,18.0,1015953.0,42.0,5.0
2020-03-31,61.0,11.0,8.0,11.0,22.0,1015836.0,52.0,10.0
2020-04-01,52.0,11.0,14.0,3.0,29.0,1015493.0,64.0,12.0
2020-04-02,70.0,19.0,6.0,14.0,40.0,1014891.0,78.0,14.0
2020-04-03,103.0,15.0,20.0,15.0,40.0,1015243.0,90.0,12.0
2020-04-04,111.0,21.0,18.0,13.0,42.0,1016016.0,108.0,18.0
2020-04-05,127.0,33.0,20.0,12.0,45.0,1016048.0,134.0,26.0
2020-04-06,183.0,39.0,33.0,23.0,57.0,1016111.0,164.0,30.0
2020-04-07,202.0,44.0,27.0,24.0,81.0,1016166.0,197.0,33.0
2020-04-08,227.0,48.0,43.0,30.0,99.0,1016970.0,235.0,38.0
2020-04-09,272.0,63.0,47.0,44.0,130.0,1018062.0,281.0,46.0
2020-04-10,341.0,73.0,54.0,56.0,157.0,1018147.0,332.0,51.0
2020-04-11,430.0,95.0,66.0,63.0,172.0,1017465.0,413.0,81.0
2020-04-12,494.0,116.0,93.0,52.0,200.0,1017775.0,513.0,100.0
2020-04-13,588.0,120.0,90.0,87.0,235.0,1018895.0,602.0,89.0
2020-04-14,759.0,134.0,107.0,82.0,317.0,1018221.0,705.0,103.0
2020-04-15,888.0,216.0,139.0,84.0,367.0,1016703.0,866.0,161.0
2020-04-16,1071.0,226.0,166.0,124.0,438.0,1015787.0,1025.0,159.0
2020-04-17,1268.0,292.0,189.0,134.0,504.0,1015650.0,1248.0,223.0
2020-04-18,1597.0,310.0,243.0,180.0,624.0,1017060.0,1487.0,239.0
2020-04-19,1907.0,398.0,274.0,219.0,777.0,1015938.0,1809.0,322.0
2020-04-20,2264.0,461.0,357.0,287.0,949.0,1015759.0,2192.0,383.0
2020-04-21,2636.0,579.0,410.0,328.0,1214.0,1014323.0,2638.0,446.0
2020-04-22,3272.0,714.0,527.0,398.0,1406.0,1013434.0,3221.0,583.0
2020-04-23,3924.0,843.0,660.0,481.0,1734.0,1012103.0,3893.0,672.0
2020-04-24,4796.0,951.0,779.0,567.0,2088.0,1009861.0,4654.0,761.0
2020-04-25,5625.0,1150.0,956.0,695.0,2498.0,1009163.0,5602.0,948.0
2020-04-26,6656.0,1402.0,1065.0,835.0,2987.0,1007190.0,6697.0,1095.0
2020-04-27,8155.0,1735.0,1292.0,1044.0,3610.0,1005618.0,8074.0,1377.0
2020-04-28,9904.0,2087.0,1661.0,1236.0,4423.0,1003161.0,9753.0,1679.0
2020-04-29,11931.0,2514.0,1968.0,1440.0,5278.0,998543.0,11773.0,2020.0
