time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,969740.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,973166.0,1.0,1.0
2020-03-08,3.0,0.0,1.0,0.0,0.0,980549.0,1.0,0.0
2020-03-09,3.0,0.0,0.0,1.0,0.0,987754.0,1.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,993270.0,2.0,1.0
2020-03-11,1.0,2.0,0.0,0.0,0.0,997325.0,4.0,2.0
2020-03-12,2.0,1.0,1.0,0.0,0.0,1000161.0,5.0,1.0
2020-03-13,4.0,1.0,1.0,0.0,0.0,1003091.0,6.0,1.0
2020-03-14,8.0,1.0,2.0,1.0,1.0,1005786.0,9.0,3.0
2020-03-15,7.0,1.0,0.0,1.0,4.0,1006848.0,10.0,1.0
2020-03-16,5.0,1.0,0.0,0.0,4.0,1008320.0,10.0,0.0
2020-03-17,5.0,3.0,0.0,1.0,4.0,1007769.0,13.0,3.0
2020-03-18,7.0,2.0,2.0,0.0,2.0,1009864.0,14.0,1.0
2020-03-19,7.0,3.0,2.0,0.0,1.0,1011847.0,16.0,2.0
2020-03-20,13.0,1.0,2.0,3.0,2.0,1012446.0,17.0,1.0
2020-03-21,11.0,2.0,0.0,1.0,5.0,1011921.0,18.0,1.0
2020-03-22,12.0,5.0,0.0,1.0,6.0,1012247.0,20.0,2.0
2020-03-23,15.0,3.0,3.0,2.0,3.0,1012871.0,23.0,3.0
2020-03-24,21.0,6.0,2.0,2.0,6.0,1013482.0,27.0,4.0
2020-03-25,25.0,11.0,1.0,2.0,6.0,1013067.0,31.0,4.0
2020-03-26,30.0,7.0,6.0,3.0,16.0,1013979.0,39.0,8.0
2020-03-27,38.0,3.0,9.0,6.0,17.0,1013656.0,43.0,4.0
2020-03-28,50.0,6.0,7.0,5.0,19.0,1014548.0,51.0,8.0
2020-03-29,53.0,6.0,6.0,11.0,24.0,1015046.0,61.0,10.0
2020-03-30,53.0,17.0,4.0,9.0,31.0,1014485.0,76.0,15.0
2020-03-31,65.0,22.0,9.0,13.0,31.0,1013964.0,87.0,11.0
2020-04-01,95.0,24.0,12.0,8.0,53.0,1014506.0,98.0,11.0
2020-04-02,111.0,26.0,16.0,16.0,59.0,1014899.0,119.0,21.0
2020-04-03,132.0,24.0,20.0,21.0,62.0,1015990.0,138.0,19.0
2020-04-04,153.0,26.0,21.0,29.0,75.0,1016361.0,157.0,19.0
2020-04-05,193.0,44.0,35.0,24.0,94.0,1018189.0,196.0,39.0
2020-04-06,234.0,40.0,44.0,29.0,107.0,1017410.0,233.0,37.0
2020-04-07,261.0,60.0,55.0,37.0,134.0,1017788.0,286.0,53.0
2020-04-08,328.0,81.0,46.0,43.0,160.0,1017691.0,346.0,60.0
2020-04-09,407.0,72.0,53.0,63.0,186.0,1017858.0,399.0,53.0
2020-04-10,499.0,108.0,53.0,72.0,227.0,1017278.0,475.0,76.0
2020-04-11,619.0,107.0,96.0,58.0,256.0,1017767.0,569.0,94.0
2020-04-12,737.0,155.0,110.0,80.0,305.0,1017453.0,705.0,136.0
2020-04-13,842.0,185.0,135.0,90.0,363.0,1016631.0,860.0,155.0
2020-04-14,1012.0,231.0,161.0,117.0,430.0,1016720.0,1033.0,173.0
2020-04-15,1260.0,275.0,179.0,144.0,503.0,1018122.0,1247.0,214.0
2020-04-16,1510.0,310.0,215.0,179.0,598.0,1016826.0,1494.0,247.0
