time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970249.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,972678.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,979312.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,987191.0,0.0,0.0
2020-03-10,1.0,1.0,1.0,0.0,0.0,993428.0,1.0,1.0
2020-03-11,2.0,0.0,1.0,0.0,0.0,997492.0,2.0,1.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,1000285.0,2.0,0.0
2020-03-13,3.0,0.0,1.0,0.0,1.0,1003729.0,2.0,0.0
2020-03-14,4.0,1.0,0.0,1.0,0.0,1005618.0,3.0,1.0
2020-03-15,4.0,1.0,2.0,0.0,1.0,1006378.0,5.0,2.0
2020-03-16,5.0,0.0,0.0,0.0,2.0,1007657.0,5.0,0.0
2020-03-17,6.0,0.0,0.0,0.0,2.0,1010253.0,5.0,0.0
2020-03-18,5.0,2.0,0.0,0.0,4.0,1010829.0,5.0,0.0
2020-03-19,7.0,1.0,1.0,1.0,4.0,1010336.0,5.0,0.0
2020-03-20,9.0,0.0,1.0,3.0,0.0,1010957.0,6.0,1.0
2020-03-21,4.0,0.0,0.0,1.0,2.0,1010822.0,6.0,0.0
2020-03-22,6.0,1.0,2.0,2.0,4.0,1011328.0,7.0,1.0
2020-03-23,8.0,3.0,3.0,1.0,6.0,1011998.0,8.0,1.0
2020-03-24,13.0,1.0,4.0,3.0,4.0,1012544.0,9.0,1.0
2020-03-25,16.0,5.0,1.0,3.0,8.0,1013584.0,13.0,4.0
2020-03-26,23.0,3.0,3.0,5.0,9.0,1014388.0,16.0,3.0
2020-03-27,33.0,8.0,2.0,3.0,5.0,1013753.0,20.0,4.0
2020-03-28,32.0,6.0,7.0,3.0,3.0,1014187.0,25.0,5.0
2020-03-29,41.0,5.0,13.0,9.0,7.0,1015178.0,35.0,10.0
2020-03-30,56.0,11.0,7.0,7.0,14.0,1015062.0,42.0,7.0
2020-03-31,79.0,12.0,8.0,10.0,26.0,1015963.0,47.0,5.0
2020-04-01,84.0,19.0,16.0,8.0,36.0,1015449.0,64.0,17.0
2020-04-02,85.0,23.0,18.0,14.0,36.0,1016160.0,83.0,19.0
2020-04-03,105.0,25.0,18.0,17.0,52.0,1016813.0,97.0,14.0
2020-04-04,104.0,24.0,25.0,18.0,72.0,1016684.0,119.0,22.0
2020-04-05,121.0,18.0,28.0,17.0,82.0,1016972.0,134.0,15.0
2020-04-06,165.0,37.0,30.0,26.0,87.0,1016870.0,165.0,31.0
2020-04-07,202.0,39.0,39.0,25.0,116.0,1017532.0,199.0,34.0
2020-04-08,256.0,56.0,30.0,39.0,124.0,1017677.0,243.0,44.0
