time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970006.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,972464.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979370.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,985189.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,990091.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,994106.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,998205.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1002616.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,2.0,1004159.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1005220.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007873.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1008273.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1009109.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1009643.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1010930.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,1010288.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1011268.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,1012007.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,1012005.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,1013598.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,1013578.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,1013889.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,1015021.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,1015158.0,0.0,0.0
2020-03-30,2.0,0.0,0.0,1.0,0.0,1014597.0,0.0,0.0
2020-03-31,3.0,0.0,0.0,1.0,0.0,1015141.0,0.0,0.0
2020-04-01,2.0,0.0,0.0,0.0,0.0,1016178.0,0.0,0.0
2020-04-02,3.0,0.0,0.0,0.0,1.0,1017754.0,0.0,0.0
2020-04-03,2.0,0.0,0.0,0.0,2.0,1018002.0,0.0,0.0
2020-04-04,1.0,0.0,0.0,0.0,1.0,1018655.0,0.0,0.0
2020-04-05,1.0,0.0,0.0,0.0,2.0,1018414.0,0.0,0.0
2020-04-06,2.0,2.0,0.0,0.0,4.0,1017483.0,0.0,0.0
2020-04-07,2.0,1.0,1.0,0.0,1.0,1017895.0,0.0,0.0
2020-04-08,1.0,0.0,0.0,0.0,3.0,1017377.0,1.0,1.0
2020-04-09,4.0,1.0,0.0,0.0,5.0,1019125.0,1.0,0.0
2020-04-10,6.0,0.0,1.0,0.0,6.0,1018788.0,1.0,0.0
2020-04-11,8.0,0.0,1.0,0.0,5.0,1018688.0,1.0,0.0
2020-04-12,11.0,1.0,0.0,2.0,3.0,1019666.0,2.0,1.0
2020-04-13,10.0,2.0,0.0,0.0,5.0,1020130.0,4.0,2.0
2020-04-14,9.0,2.0,0.0,0.0,3.0,1021361.0,4.0,0.0
2020-04-15,9.0,0.0,0.0,0.0,5.0,1020926.0,4.0,0.0
2020-04-16,5.0,1.0,3.0,0.0,8.0,1021915.0,6.0,2.0
2020-04-17,12.0,2.0,1.0,1.0,5.0,1021062.0,6.0,0.0
2020-04-18,17.0,1.0,3.0,1.0,11.0,1021258.0,7.0,1.0
