time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970374.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,972487.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,978331.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985830.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,992027.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,996449.0,1.0,1.0
2020-03-12,2.0,1.0,0.0,1.0,0.0,1001178.0,1.0,0.0
2020-03-13,4.0,1.0,0.0,1.0,0.0,1004366.0,2.0,1.0
2020-03-14,2.0,1.0,0.0,1.0,1.0,1006270.0,3.0,1.0
2020-03-15,3.0,0.0,2.0,1.0,1.0,1006809.0,4.0,1.0
2020-03-16,3.0,2.0,0.0,1.0,3.0,1007677.0,6.0,2.0
2020-03-17,4.0,0.0,1.0,1.0,1.0,1008228.0,6.0,0.0
2020-03-18,6.0,0.0,1.0,0.0,2.0,1009785.0,6.0,0.0
2020-03-19,5.0,0.0,0.0,0.0,2.0,1011509.0,6.0,0.0
2020-03-20,5.0,0.0,0.0,0.0,3.0,1012169.0,6.0,0.0
2020-03-21,5.0,1.0,1.0,1.0,3.0,1011710.0,7.0,1.0
2020-03-22,4.0,3.0,1.0,1.0,2.0,1012856.0,10.0,3.0
2020-03-23,6.0,1.0,1.0,2.0,2.0,1011967.0,10.0,0.0
2020-03-24,10.0,2.0,2.0,2.0,4.0,1013756.0,13.0,3.0
2020-03-25,18.0,5.0,1.0,3.0,7.0,1013675.0,17.0,4.0
2020-03-26,22.0,6.0,3.0,3.0,9.0,1015178.0,24.0,7.0
2020-03-27,30.0,2.0,3.0,5.0,9.0,1015801.0,27.0,3.0
2020-03-28,23.0,4.0,9.0,8.0,15.0,1016685.0,32.0,5.0
2020-03-29,28.0,6.0,8.0,6.0,23.0,1016873.0,39.0,7.0
2020-03-30,33.0,10.0,4.0,6.0,24.0,1015309.0,47.0,8.0
2020-03-31,43.0,18.0,10.0,3.0,24.0,1016568.0,58.0,11.0
2020-04-01,65.0,8.0,18.0,6.0,26.0,1015267.0,61.0,3.0
2020-04-02,82.0,14.0,16.0,10.0,33.0,1017151.0,72.0,11.0
2020-04-03,97.0,19.0,17.0,11.0,36.0,1017141.0,88.0,16.0
2020-04-04,120.0,20.0,20.0,17.0,40.0,1016525.0,106.0,18.0
2020-04-05,149.0,18.0,18.0,18.0,58.0,1015936.0,117.0,11.0
2020-04-06,153.0,36.0,28.0,15.0,82.0,1016405.0,152.0,35.0
2020-04-07,219.0,46.0,38.0,19.0,101.0,1016318.0,178.0,26.0
2020-04-08,240.0,53.0,46.0,26.0,110.0,1016991.0,216.0,38.0
2020-04-09,293.0,62.0,42.0,35.0,126.0,1017753.0,264.0,48.0
2020-04-10,358.0,86.0,56.0,47.0,142.0,1018701.0,337.0,73.0
2020-04-11,462.0,109.0,75.0,54.0,178.0,1019300.0,418.0,81.0
2020-04-12,554.0,105.0,97.0,72.0,210.0,1019109.0,492.0,74.0
2020-04-13,664.0,128.0,94.0,88.0,242.0,1018749.0,587.0,95.0
2020-04-14,792.0,154.0,126.0,86.0,301.0,1017126.0,713.0,126.0
2020-04-15,937.0,185.0,161.0,101.0,357.0,1016802.0,880.0,167.0
2020-04-16,1176.0,219.0,184.0,158.0,422.0,1016751.0,1060.0,180.0
2020-04-17,1389.0,260.0,214.0,174.0,537.0,1017363.0,1277.0,217.0
2020-04-18,1595.0,359.0,249.0,210.0,673.0,1015252.0,1570.0,293.0
2020-04-19,1983.0,395.0,323.0,245.0,787.0,1015750.0,1873.0,303.0
2020-04-20,2417.0,475.0,346.0,320.0,961.0,1015206.0,2229.0,356.0
2020-04-21,2852.0,625.0,426.0,352.0,1206.0,1015109.0,2737.0,508.0
2020-04-22,3404.0,734.0,513.0,435.0,1402.0,1014888.0,3292.0,555.0
2020-04-23,3969.0,859.0,636.0,503.0,1631.0,1014172.0,3937.0,645.0
2020-04-24,4846.0,994.0,800.0,576.0,2029.0,1013283.0,4732.0,795.0
2020-04-25,5908.0,1264.0,962.0,725.0,2442.0,1010938.0,5752.0,1020.0
2020-04-26,7082.0,1504.0,1140.0,835.0,2962.0,1009062.0,6887.0,1135.0
2020-04-27,8641.0,1738.0,1371.0,1025.0,3445.0,1006344.0,8257.0,1370.0
2020-04-28,10231.0,2197.0,1603.0,1234.0,4225.0,1002313.0,9976.0,1719.0
2020-04-29,12190.0,2658.0,2001.0,1574.0,5188.0,998351.0,12054.0,2078.0
2020-04-30,14893.0,3141.0,2369.0,1909.0,6335.0,993277.0,14468.0,2414.0
2020-05-01,17743.0,3798.0,2898.0,2250.0,7623.0,988350.0,17400.0,2932.0
2020-05-02,21248.0,4582.0,3512.0,2749.0,9056.0,982626.0,20932.0,3532.0
2020-05-03,25185.0,5318.0,4314.0,3195.0,11087.0,974273.0,25205.0,4273.0
2020-05-04,30201.0,6398.0,5129.0,3867.0,13440.0,963930.0,30232.0,5027.0
2020-05-05,35787.0,7796.0,6044.0,4683.0,16210.0,952490.0,36331.0,6099.0
2020-05-06,42735.0,9291.0,7217.0,5633.0,19415.0,937839.0,43603.0,7272.0
2020-05-07,50923.0,10800.0,8518.0,6756.0,23250.0,921713.0,52021.0,8418.0
2020-05-08,59655.0,12808.0,10035.0,8065.0,28097.0,904418.0,62174.0,10153.0
2020-05-09,69912.0,15250.0,11952.0,9483.0,33687.0,882736.0,73976.0,11802.0
2020-05-10,81535.0,17959.0,14217.0,11115.0,40021.0,858072.0,87855.0,13879.0
2020-05-11,94197.0,21118.0,16715.0,13024.0,47892.0,829060.0,104289.0,16434.0
2020-05-12,108278.0,24218.0,19795.0,15743.0,56978.0,797685.0,122908.0,18619.0
2020-05-13,123394.0,28013.0,22736.0,18325.0,67978.0,762156.0,144321.0,21413.0
2020-05-14,139751.0,31811.0,26298.0,21431.0,80394.0,722610.0,168664.0,24343.0
2020-05-15,156368.0,36563.0,29974.0,24569.0,95074.0,680048.0,196334.0,27670.0
2020-05-16,173011.0,40711.0,34014.0,28090.0,112499.0,635360.0,226949.0,30615.0
2020-05-17,188727.0,45228.0,38256.0,31552.0,131994.0,588233.0,260638.0,33689.0
2020-05-18,202809.0,49125.0,42657.0,35821.0,153960.0,540411.0,296769.0,36131.0
