time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969756.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,970619.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,977588.0,0.0,0.0
2020-03-09,3.0,1.0,2.0,0.0,0.0,985895.0,1.0,1.0
2020-03-10,2.0,1.0,1.0,1.0,0.0,991496.0,2.0,1.0
2020-03-11,5.0,1.0,2.0,1.0,0.0,995365.0,3.0,1.0
2020-03-12,4.0,1.0,1.0,2.0,1.0,998415.0,5.0,2.0
2020-03-13,4.0,1.0,1.0,0.0,2.0,1001850.0,5.0,0.0
2020-03-14,5.0,1.0,1.0,0.0,2.0,1004274.0,6.0,1.0
2020-03-15,3.0,2.0,1.0,0.0,2.0,1006139.0,7.0,1.0
2020-03-16,4.0,1.0,1.0,0.0,2.0,1007586.0,7.0,0.0
2020-03-17,4.0,1.0,0.0,0.0,1.0,1008998.0,7.0,0.0
2020-03-18,4.0,0.0,1.0,0.0,1.0,1009884.0,7.0,0.0
2020-03-19,4.0,0.0,2.0,0.0,0.0,1011227.0,8.0,1.0
2020-03-20,3.0,0.0,1.0,0.0,2.0,1012730.0,8.0,0.0
2020-03-21,2.0,0.0,0.0,0.0,2.0,1012481.0,8.0,0.0
2020-03-22,3.0,1.0,0.0,0.0,3.0,1012339.0,8.0,0.0
2020-03-23,12.0,2.0,0.0,4.0,5.0,1012981.0,11.0,3.0
2020-03-24,13.0,3.0,3.0,3.0,5.0,1013888.0,14.0,3.0
2020-03-25,16.0,4.0,1.0,3.0,5.0,1013627.0,16.0,2.0
2020-03-26,16.0,3.0,3.0,1.0,8.0,1014544.0,19.0,3.0
2020-03-27,19.0,4.0,3.0,5.0,9.0,1014945.0,23.0,4.0
2020-03-28,37.0,3.0,3.0,5.0,10.0,1015601.0,25.0,2.0
2020-03-29,28.0,8.0,2.0,4.0,12.0,1015791.0,34.0,9.0
2020-03-30,29.0,11.0,4.0,3.0,10.0,1015790.0,42.0,8.0
2020-03-31,45.0,13.0,7.0,6.0,14.0,1015401.0,48.0,6.0
2020-04-01,64.0,8.0,9.0,8.0,22.0,1016412.0,56.0,8.0
2020-04-02,63.0,15.0,6.0,9.0,31.0,1017166.0,72.0,16.0
2020-04-03,68.0,12.0,11.0,11.0,35.0,1018218.0,82.0,10.0
2020-04-04,83.0,15.0,16.0,13.0,40.0,1017776.0,94.0,12.0
2020-04-05,89.0,17.0,17.0,12.0,54.0,1018260.0,111.0,17.0
2020-04-06,114.0,19.0,21.0,18.0,59.0,1018335.0,128.0,17.0
2020-04-07,126.0,28.0,21.0,21.0,69.0,1018147.0,149.0,21.0
2020-04-08,154.0,39.0,23.0,24.0,88.0,1018573.0,183.0,34.0
2020-04-09,184.0,39.0,30.0,20.0,98.0,1018503.0,217.0,34.0
2020-04-10,208.0,50.0,40.0,28.0,103.0,1017617.0,258.0,41.0
2020-04-11,246.0,71.0,46.0,37.0,111.0,1017597.0,307.0,49.0
2020-04-12,322.0,56.0,51.0,40.0,121.0,1018354.0,348.0,41.0
2020-04-13,408.0,82.0,62.0,45.0,150.0,1019181.0,410.0,62.0
2020-04-14,443.0,95.0,75.0,65.0,189.0,1019246.0,493.0,83.0
2020-04-15,519.0,107.0,100.0,69.0,225.0,1019362.0,574.0,81.0
2020-04-16,675.0,139.0,95.0,84.0,315.0,1019961.0,686.0,112.0
2020-04-17,839.0,168.0,130.0,107.0,341.0,1020255.0,821.0,135.0
2020-04-18,1039.0,188.0,171.0,145.0,421.0,1020616.0,971.0,150.0
2020-04-19,1228.0,249.0,209.0,165.0,531.0,1020062.0,1175.0,204.0
2020-04-20,1548.0,280.0,227.0,180.0,677.0,1020565.0,1389.0,214.0
2020-04-21,1832.0,364.0,272.0,230.0,792.0,1019605.0,1695.0,306.0
2020-04-22,2149.0,433.0,333.0,253.0,936.0,1018075.0,2049.0,354.0
2020-04-23,2463.0,528.0,407.0,317.0,1121.0,1015906.0,2473.0,424.0
2020-04-24,2991.0,610.0,516.0,392.0,1341.0,1016537.0,2971.0,498.0
2020-04-25,3630.0,735.0,609.0,486.0,1600.0,1015179.0,3539.0,568.0
2020-04-26,4550.0,924.0,705.0,536.0,1936.0,1013617.0,4258.0,719.0
2020-04-27,5469.0,1136.0,884.0,643.0,2276.0,1011076.0,5184.0,926.0
2020-04-28,6481.0,1371.0,1043.0,796.0,2762.0,1010456.0,6295.0,1111.0
2020-04-29,7580.0,1606.0,1287.0,1005.0,3311.0,1007665.0,7600.0,1305.0
