time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970145.0,0.0,0.0
2020-03-07,1.0,3.0,0.0,0.0,0.0,971247.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,0.0,0.0,978113.0,1.0,1.0
2020-03-09,2.0,1.0,1.0,1.0,0.0,985434.0,2.0,1.0
2020-03-10,3.0,1.0,1.0,0.0,1.0,992612.0,2.0,0.0
2020-03-11,3.0,1.0,1.0,0.0,1.0,997186.0,2.0,0.0
2020-03-12,3.0,0.0,0.0,1.0,0.0,1001221.0,2.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,1.0,1004658.0,3.0,1.0
2020-03-14,0.0,1.0,0.0,1.0,1.0,1007604.0,4.0,1.0
2020-03-15,0.0,1.0,0.0,0.0,1.0,1008083.0,4.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,0.0,1010295.0,4.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1010916.0,4.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1011165.0,4.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1011370.0,4.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1012683.0,4.0,0.0
2020-03-21,1.0,0.0,1.0,0.0,1.0,1012952.0,4.0,0.0
2020-03-22,1.0,1.0,0.0,0.0,1.0,1013575.0,6.0,2.0
2020-03-23,2.0,0.0,1.0,0.0,0.0,1013160.0,6.0,0.0
2020-03-24,3.0,0.0,0.0,0.0,1.0,1013996.0,6.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,2.0,1014544.0,6.0,0.0
2020-03-26,1.0,1.0,0.0,1.0,2.0,1015253.0,6.0,0.0
2020-03-27,2.0,1.0,0.0,1.0,2.0,1015617.0,6.0,0.0
2020-03-28,3.0,0.0,0.0,1.0,1.0,1015750.0,6.0,0.0
2020-03-29,2.0,0.0,0.0,1.0,3.0,1014951.0,6.0,0.0
2020-03-30,3.0,0.0,1.0,1.0,2.0,1016455.0,6.0,0.0
2020-03-31,8.0,0.0,1.0,0.0,5.0,1016699.0,6.0,0.0
2020-04-01,7.0,1.0,1.0,0.0,5.0,1017414.0,8.0,2.0
2020-04-02,9.0,2.0,3.0,0.0,7.0,1017105.0,10.0,2.0
2020-04-03,17.0,2.0,3.0,1.0,7.0,1014893.0,12.0,2.0
2020-04-04,16.0,1.0,4.0,3.0,8.0,1016790.0,16.0,4.0
2020-04-05,19.0,2.0,4.0,2.0,8.0,1016980.0,18.0,2.0
2020-04-06,23.0,6.0,5.0,3.0,11.0,1017221.0,25.0,7.0
2020-04-07,30.0,8.0,6.0,5.0,12.0,1017001.0,31.0,6.0
2020-04-08,34.0,6.0,6.0,3.0,12.0,1016895.0,37.0,6.0
2020-04-09,43.0,11.0,4.0,2.0,16.0,1017521.0,44.0,7.0
2020-04-10,56.0,19.0,10.0,4.0,21.0,1018250.0,59.0,15.0
2020-04-11,77.0,12.0,14.0,7.0,24.0,1017907.0,67.0,8.0
2020-04-12,79.0,20.0,21.0,13.0,33.0,1018106.0,84.0,17.0
2020-04-13,116.0,22.0,23.0,14.0,38.0,1019371.0,98.0,14.0
2020-04-14,153.0,23.0,21.0,21.0,54.0,1019006.0,125.0,27.0
2020-04-15,187.0,36.0,26.0,18.0,71.0,1018612.0,159.0,34.0
2020-04-16,206.0,51.0,30.0,30.0,77.0,1017993.0,204.0,45.0
2020-04-17,247.0,50.0,43.0,41.0,91.0,1018692.0,238.0,34.0
2020-04-18,285.0,75.0,40.0,28.0,111.0,1017510.0,287.0,49.0
2020-04-19,352.0,94.0,59.0,47.0,142.0,1017504.0,356.0,69.0
2020-04-20,447.0,102.0,86.0,46.0,184.0,1018176.0,435.0,79.0
2020-04-21,528.0,123.0,91.0,69.0,246.0,1017612.0,522.0,87.0
2020-04-22,648.0,163.0,113.0,81.0,292.0,1017872.0,635.0,113.0
2020-04-23,809.0,194.0,135.0,116.0,345.0,1016962.0,787.0,152.0
2020-04-24,1002.0,211.0,155.0,120.0,440.0,1017948.0,953.0,166.0
2020-04-25,1238.0,288.0,201.0,157.0,505.0,1018903.0,1165.0,212.0
2020-04-26,1455.0,360.0,244.0,177.0,648.0,1019410.0,1435.0,270.0
2020-04-27,1723.0,420.0,312.0,222.0,748.0,1018420.0,1752.0,317.0
2020-04-28,2050.0,473.0,356.0,256.0,941.0,1018278.0,2096.0,344.0
2020-04-29,2547.0,544.0,453.0,326.0,1085.0,1017692.0,2514.0,418.0
2020-04-30,3128.0,621.0,511.0,445.0,1330.0,1016029.0,3013.0,499.0
2020-05-01,3745.0,762.0,590.0,509.0,1583.0,1015396.0,3613.0,600.0
2020-05-02,4450.0,958.0,695.0,591.0,1940.0,1012730.0,4353.0,740.0
2020-05-03,5225.0,1145.0,878.0,665.0,2310.0,1012192.0,5251.0,898.0
2020-05-04,6384.0,1377.0,1079.0,753.0,2755.0,1009950.0,6336.0,1085.0
2020-05-05,7642.0,1669.0,1333.0,954.0,3355.0,1007499.0,7657.0,1321.0
2020-05-06,9318.0,2001.0,1533.0,1176.0,4026.0,1003670.0,9196.0,1539.0
2020-05-07,11294.0,2463.0,1878.0,1389.0,4891.0,998597.0,11148.0,1952.0
2020-05-08,13764.0,2942.0,2274.0,1684.0,5901.0,995271.0,13455.0,2307.0
2020-05-09,16694.0,3535.0,2742.0,2077.0,7065.0,990183.0,16213.0,2758.0
