time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,0.0,0.0,0.0,968748.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,0.0,0.0,972719.0,1.0,1.0
2020-03-08,2.0,0.0,0.0,1.0,0.0,979186.0,1.0,0.0
2020-03-09,3.0,0.0,0.0,1.0,0.0,986532.0,1.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,0.0,991309.0,1.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,995007.0,1.0,0.0
2020-03-12,4.0,0.0,0.0,1.0,0.0,999257.0,2.0,1.0
2020-03-13,2.0,1.0,0.0,1.0,1.0,1002975.0,3.0,1.0
2020-03-14,3.0,1.0,0.0,0.0,2.0,1005247.0,3.0,0.0
2020-03-15,4.0,3.0,1.0,0.0,2.0,1007487.0,3.0,0.0
2020-03-16,6.0,1.0,2.0,0.0,1.0,1008930.0,4.0,1.0
2020-03-17,6.0,2.0,2.0,0.0,1.0,1009818.0,5.0,1.0
2020-03-18,7.0,2.0,1.0,0.0,4.0,1010788.0,7.0,2.0
2020-03-19,7.0,1.0,1.0,1.0,2.0,1012836.0,7.0,0.0
2020-03-20,7.0,1.0,1.0,1.0,2.0,1013224.0,7.0,0.0
2020-03-21,8.0,3.0,1.0,1.0,2.0,1012854.0,9.0,2.0
2020-03-22,12.0,5.0,2.0,2.0,3.0,1013465.0,14.0,5.0
2020-03-23,15.0,8.0,3.0,5.0,4.0,1014145.0,19.0,5.0
2020-03-24,25.0,5.0,3.0,2.0,6.0,1014046.0,20.0,1.0
2020-03-25,24.0,8.0,5.0,1.0,6.0,1014423.0,26.0,6.0
2020-03-26,30.0,9.0,8.0,3.0,6.0,1013975.0,33.0,7.0
2020-03-27,43.0,9.0,8.0,1.0,8.0,1014721.0,36.0,3.0
2020-03-28,44.0,11.0,11.0,4.0,8.0,1015468.0,46.0,10.0
2020-03-29,41.0,18.0,4.0,6.0,7.0,1014542.0,57.0,11.0
2020-03-30,60.0,13.0,12.0,7.0,17.0,1013192.0,64.0,7.0
2020-03-31,78.0,15.0,9.0,8.0,29.0,1014559.0,77.0,13.0
2020-04-01,93.0,21.0,14.0,8.0,34.0,1013973.0,91.0,14.0
2020-04-02,101.0,26.0,19.0,10.0,43.0,1013629.0,110.0,19.0
2020-04-03,120.0,28.0,10.0,10.0,61.0,1015478.0,131.0,21.0
2020-04-04,127.0,33.0,23.0,18.0,58.0,1016555.0,159.0,28.0
2020-04-05,170.0,34.0,23.0,27.0,60.0,1016310.0,187.0,28.0
2020-04-06,186.0,29.0,26.0,24.0,77.0,1016071.0,212.0,25.0
2020-04-07,225.0,52.0,38.0,21.0,99.0,1016397.0,259.0,47.0
2020-04-08,294.0,68.0,45.0,23.0,110.0,1016358.0,306.0,47.0
2020-04-09,376.0,78.0,72.0,46.0,138.0,1017033.0,380.0,74.0
2020-04-10,462.0,101.0,74.0,48.0,170.0,1017187.0,451.0,71.0
2020-04-11,582.0,115.0,101.0,53.0,204.0,1016897.0,540.0,89.0
2020-04-12,679.0,143.0,104.0,78.0,273.0,1017048.0,648.0,108.0
2020-04-13,779.0,173.0,136.0,90.0,328.0,1016922.0,795.0,147.0
2020-04-14,901.0,206.0,163.0,94.0,381.0,1015006.0,952.0,157.0
2020-04-15,1089.0,226.0,167.0,142.0,426.0,1015326.0,1108.0,156.0
2020-04-16,1289.0,257.0,195.0,158.0,507.0,1015741.0,1293.0,185.0
2020-04-17,1515.0,329.0,234.0,184.0,624.0,1017326.0,1546.0,253.0
2020-04-18,1794.0,382.0,264.0,234.0,761.0,1015617.0,1837.0,291.0
2020-04-19,2115.0,452.0,315.0,269.0,909.0,1015290.0,2199.0,362.0
2020-04-20,2553.0,562.0,420.0,331.0,1089.0,1015041.0,2635.0,436.0
2020-04-21,3161.0,667.0,497.0,407.0,1323.0,1014609.0,3154.0,519.0
2020-04-22,3694.0,777.0,597.0,480.0,1597.0,1012211.0,3788.0,634.0
2020-04-23,4403.0,925.0,701.0,542.0,1911.0,1011302.0,4518.0,730.0
2020-04-24,5413.0,1118.0,854.0,634.0,2308.0,1010033.0,5381.0,863.0
2020-04-25,6351.0,1429.0,1025.0,809.0,2757.0,1006914.0,6475.0,1094.0
2020-04-26,7705.0,1654.0,1237.0,956.0,3258.0,1005301.0,7712.0,1237.0
2020-04-27,9240.0,1939.0,1433.0,1178.0,3906.0,1003004.0,9194.0,1482.0
2020-04-28,10931.0,2367.0,1806.0,1332.0,4811.0,1000237.0,11109.0,1915.0
2020-04-29,13132.0,2712.0,2164.0,1626.0,5779.0,996640.0,13210.0,2101.0
2020-04-30,15894.0,3361.0,2506.0,1942.0,6938.0,991488.0,15826.0,2616.0
2020-05-01,18780.0,4063.0,3058.0,2401.0,8295.0,985184.0,19011.0,3185.0
2020-05-02,22613.0,4935.0,3653.0,2848.0,9945.0,977772.0,22909.0,3898.0
2020-05-03,26498.0,5750.0,4442.0,3351.0,11839.0,969651.0,27445.0,4536.0
2020-05-04,31559.0,6693.0,5215.0,4205.0,14081.0,959901.0,32710.0,5265.0
2020-05-05,37379.0,8121.0,6308.0,4765.0,17344.0,946706.0,39003.0,6293.0
2020-05-06,44512.0,9792.0,7624.0,5930.0,20769.0,933059.0,46632.0,7629.0
2020-05-07,52872.0,11401.0,8997.0,7049.0,24878.0,917581.0,55400.0,8768.0
2020-05-08,62255.0,13688.0,10698.0,8352.0,29835.0,899362.0,66191.0,10791.0
2020-05-09,72894.0,16004.0,12644.0,9812.0,35529.0,877058.0,78701.0,12510.0
2020-05-10,84424.0,18743.0,14904.0,11822.0,42299.0,850181.0,93286.0,14585.0
2020-05-11,98286.0,21617.0,17366.0,13957.0,50206.0,819600.0,109936.0,16650.0
2020-05-12,112909.0,25282.0,19954.0,16333.0,59902.0,787552.0,129524.0,19588.0
2020-05-13,128604.0,28895.0,23323.0,18810.0,71203.0,751789.0,151559.0,22035.0
2020-05-14,145158.0,32842.0,27102.0,22032.0,84234.0,713033.0,176608.0,25049.0
2020-05-15,161815.0,37175.0,30978.0,25561.0,99940.0,670008.0,204916.0,28308.0
2020-05-16,177291.0,41436.0,35016.0,29345.0,117531.0,624682.0,236119.0,31203.0
2020-05-17,192441.0,45977.0,39143.0,33221.0,137675.0,577736.0,270385.0,34266.0
2020-05-18,207295.0,50428.0,43060.0,36872.0,159524.0,527368.0,307570.0,37185.0
2020-05-19,217560.0,53832.0,47403.0,40924.0,185465.0,479840.0,346936.0,39366.0
2020-05-20,226374.0,57052.0,51624.0,44975.0,213156.0,432466.0,388020.0,41084.0
2020-05-21,232245.0,59599.0,54885.0,49136.0,243293.0,386223.0,430791.0,42771.0
2020-05-22,234057.0,62061.0,57366.0,52595.0,275263.0,343861.0,474682.0,43891.0
2020-05-23,232919.0,63155.0,59796.0,55153.0,309962.0,304376.0,518796.0,44114.0
2020-05-24,227817.0,62854.0,61429.0,57731.0,346430.0,268324.0,562411.0,43615.0
2020-05-25,220557.0,61656.0,62040.0,59751.0,383601.0,236762.0,604593.0,42182.0
2020-05-26,211286.0,60602.0,61397.0,60309.0,422143.0,208920.0,645574.0,40981.0
2020-05-27,199627.0,58734.0,60174.0,59965.0,462051.0,184515.0,684528.0,38954.0
2020-05-28,186774.0,56116.0,58462.0,59449.0,500505.0,163474.0,721140.0,36612.0
2020-05-29,173265.0,52715.0,55942.0,58595.0,539495.0,146230.0,755059.0,33919.0
2020-05-30,159865.0,49266.0,53059.0,56555.0,576533.0,130950.0,786489.0,31430.0
2020-05-31,146043.0,45601.0,49902.0,54211.0,610752.0,118628.0,815477.0,28988.0
2020-06-01,132709.0,41999.0,46681.0,51026.0,644503.0,107628.0,842114.0,26637.0
2020-06-02,120216.0,38410.0,43440.0,47819.0,676627.0,98291.0,866256.0,24142.0
2020-06-03,108081.0,35073.0,39895.0,44753.0,707266.0,90462.0,888188.0,21932.0
2020-06-04,96991.0,31787.0,37047.0,41410.0,735207.0,83959.0,907748.0,19560.0
2020-06-05,86766.0,28368.0,33649.0,38381.0,761497.0,78932.0,925095.0,17347.0
2020-06-06,77622.0,25624.0,30452.0,35346.0,784999.0,74069.0,940768.0,15673.0
2020-06-07,69348.0,23133.0,27255.0,31983.0,806782.0,69784.0,954938.0,14170.0
2020-06-08,61413.0,20579.0,24571.0,29004.0,825539.0,66662.0,967447.0,12509.0
2020-06-09,54535.0,18171.0,22051.0,26139.0,843450.0,63785.0,978322.0,10875.0
2020-06-10,48345.0,15999.0,19654.0,23758.0,859443.0,61379.0,988033.0,9711.0
2020-06-11,42923.0,14448.0,17564.0,21262.0,872519.0,59201.0,996869.0,8836.0
2020-06-12,37817.0,12777.0,15580.0,18901.0,884809.0,57189.0,1004654.0,7785.0
2020-06-13,33310.0,11385.0,13976.0,16789.0,895475.0,55368.0,1011563.0,6909.0
2020-06-14,29509.0,9871.0,12437.0,14923.0,906061.0,53990.0,1017483.0,5920.0
2020-06-15,26055.0,8886.0,10849.0,13276.0,915617.0,53034.0,1022716.0,5233.0
2020-06-16,23036.0,7729.0,9593.0,11917.0,923844.0,52271.0,1027322.0,4606.0
2020-06-17,20078.0,6776.0,8451.0,10600.0,931145.0,51271.0,1031489.0,4167.0
2020-06-18,17688.0,5866.0,7522.0,9255.0,936304.0,50582.0,1035096.0,3607.0
2020-06-19,15442.0,5268.0,6623.0,8043.0,942127.0,49696.0,1038335.0,3239.0
2020-06-20,13650.0,4708.0,5804.0,7142.0,946673.0,49193.0,1041077.0,2742.0
2020-06-21,12067.0,4062.0,5151.0,6426.0,951078.0,48588.0,1043550.0,2473.0
2020-06-22,10489.0,3603.0,4392.0,5732.0,954414.0,48247.0,1045693.0,2143.0
