time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970155.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,1.0,0.0,971937.0,0.0,0.0
2020-03-08,4.0,1.0,1.0,0.0,1.0,978956.0,1.0,1.0
2020-03-09,3.0,0.0,0.0,0.0,1.0,986556.0,1.0,0.0
2020-03-10,2.0,2.0,0.0,0.0,1.0,991662.0,3.0,2.0
2020-03-11,2.0,2.0,0.0,0.0,1.0,995958.0,3.0,0.0
2020-03-12,2.0,3.0,0.0,0.0,1.0,999855.0,5.0,2.0
2020-03-13,2.0,0.0,0.0,2.0,1.0,1003129.0,5.0,0.0
2020-03-14,0.0,0.0,0.0,1.0,1.0,1005020.0,5.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,1.0,1006906.0,5.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,2.0,1007955.0,5.0,0.0
2020-03-17,4.0,0.0,0.0,0.0,2.0,1008385.0,5.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,3.0,1010421.0,6.0,1.0
2020-03-19,2.0,0.0,1.0,0.0,2.0,1011252.0,6.0,0.0
2020-03-20,5.0,2.0,0.0,1.0,2.0,1011233.0,8.0,2.0
2020-03-21,5.0,0.0,2.0,1.0,1.0,1011612.0,9.0,1.0
2020-03-22,7.0,0.0,0.0,2.0,3.0,1012602.0,9.0,0.0
2020-03-23,8.0,0.0,0.0,1.0,2.0,1012658.0,9.0,0.0
2020-03-24,5.0,1.0,0.0,2.0,3.0,1012694.0,10.0,1.0
2020-03-25,8.0,0.0,1.0,1.0,3.0,1014239.0,10.0,0.0
2020-03-26,5.0,2.0,0.0,0.0,6.0,1014317.0,12.0,2.0
2020-03-27,4.0,3.0,2.0,1.0,4.0,1015490.0,14.0,2.0
2020-03-28,5.0,1.0,0.0,1.0,6.0,1015003.0,15.0,1.0
2020-03-29,6.0,0.0,0.0,0.0,7.0,1016333.0,16.0,1.0
2020-03-30,10.0,1.0,1.0,0.0,7.0,1015102.0,17.0,1.0
2020-03-31,12.0,2.0,0.0,1.0,10.0,1015246.0,18.0,1.0
2020-04-01,12.0,2.0,1.0,1.0,12.0,1016184.0,21.0,3.0
2020-04-02,14.0,2.0,2.0,2.0,10.0,1015939.0,24.0,3.0
2020-04-03,18.0,6.0,1.0,2.0,12.0,1015146.0,28.0,4.0
2020-04-04,19.0,5.0,4.0,3.0,11.0,1015612.0,31.0,3.0
2020-04-05,31.0,8.0,6.0,1.0,11.0,1016284.0,37.0,6.0
2020-04-06,35.0,3.0,6.0,9.0,15.0,1016614.0,42.0,5.0
2020-04-07,48.0,5.0,5.0,6.0,22.0,1017232.0,47.0,5.0
2020-04-08,59.0,7.0,8.0,5.0,35.0,1017527.0,56.0,9.0
2020-04-09,56.0,15.0,7.0,11.0,33.0,1017343.0,71.0,15.0
2020-04-10,79.0,16.0,9.0,11.0,36.0,1017140.0,81.0,10.0
2020-04-11,103.0,21.0,19.0,11.0,48.0,1016768.0,97.0,16.0
2020-04-12,120.0,30.0,28.0,17.0,58.0,1017847.0,118.0,21.0
2020-04-13,180.0,31.0,29.0,24.0,65.0,1019145.0,137.0,19.0
2020-04-14,218.0,47.0,31.0,28.0,75.0,1019483.0,171.0,34.0
2020-04-15,264.0,50.0,47.0,32.0,91.0,1019488.0,204.0,33.0
2020-04-16,300.0,65.0,53.0,46.0,113.0,1020106.0,266.0,62.0
2020-04-17,371.0,76.0,51.0,51.0,146.0,1019165.0,323.0,57.0
2020-04-18,449.0,89.0,58.0,57.0,180.0,1020030.0,389.0,66.0
2020-04-19,519.0,123.0,75.0,61.0,211.0,1019264.0,480.0,91.0
2020-04-20,692.0,141.0,124.0,63.0,264.0,1019385.0,571.0,91.0
2020-04-21,801.0,157.0,114.0,104.0,333.0,1020063.0,682.0,111.0
2020-04-22,882.0,201.0,141.0,116.0,416.0,1020374.0,859.0,177.0
2020-04-23,1058.0,223.0,186.0,143.0,503.0,1020125.0,1026.0,167.0
2020-04-24,1314.0,274.0,200.0,176.0,605.0,1019651.0,1223.0,197.0
2020-04-25,1631.0,333.0,239.0,212.0,698.0,1019305.0,1481.0,258.0
2020-04-26,2031.0,404.0,324.0,244.0,833.0,1018265.0,1823.0,342.0
2020-04-27,2428.0,541.0,390.0,317.0,1013.0,1018184.0,2259.0,436.0
2020-04-28,2966.0,661.0,470.0,367.0,1218.0,1016543.0,2760.0,501.0
2020-04-29,3484.0,758.0,567.0,453.0,1487.0,1014506.0,3349.0,589.0
2020-04-30,4340.0,939.0,683.0,571.0,1778.0,1014396.0,4076.0,727.0
2020-05-01,5058.0,1094.0,825.0,686.0,2194.0,1012386.0,4933.0,857.0
2020-05-02,6145.0,1380.0,985.0,801.0,2625.0,1011299.0,5989.0,1056.0
2020-05-03,7362.0,1683.0,1201.0,934.0,3205.0,1007960.0,7277.0,1288.0
2020-05-04,8960.0,1910.0,1471.0,1141.0,3863.0,1005151.0,8777.0,1500.0
2020-05-05,10743.0,2319.0,1837.0,1314.0,4717.0,1000683.0,10630.0,1853.0
2020-05-06,12966.0,2831.0,2131.0,1627.0,5748.0,996228.0,12815.0,2185.0
2020-05-07,15719.0,3291.0,2607.0,2025.0,6747.0,992204.0,15371.0,2556.0
2020-05-08,18829.0,4000.0,3109.0,2411.0,8141.0,985057.0,18550.0,3179.0
2020-05-09,22737.0,4801.0,3821.0,2850.0,9985.0,979012.0,22383.0,3833.0
2020-05-10,26907.0,5769.0,4552.0,3545.0,11966.0,971007.0,26938.0,4555.0
2020-05-11,32181.0,6916.0,5447.0,4246.0,14474.0,960770.0,32394.0,5456.0
2020-05-12,38167.0,8066.0,6555.0,5091.0,17367.0,948083.0,38908.0,6514.0
2020-05-13,45453.0,9789.0,7711.0,6048.0,20917.0,932406.0,46734.0,7826.0
2020-05-14,53716.0,11609.0,9217.0,7142.0,25032.0,915912.0,55806.0,9072.0
2020-05-15,63363.0,13833.0,10843.0,8500.0,29782.0,896675.0,66516.0,10710.0
2020-05-16,74131.0,16101.0,12869.0,10183.0,35790.0,874172.0,78925.0,12409.0
2020-05-17,86068.0,18954.0,15082.0,11969.0,43132.0,848144.0,93721.0,14796.0
2020-05-18,99838.0,22080.0,17678.0,14124.0,51200.0,818083.0,110648.0,16927.0
2020-05-19,114208.0,25656.0,20490.0,16544.0,61205.0,785422.0,130299.0,19651.0
2020-05-20,130004.0,29455.0,23932.0,19379.0,72455.0,748534.0,152676.0,22377.0
2020-05-21,146810.0,33607.0,27425.0,22421.0,85864.0,706477.0,178340.0,25664.0
2020-05-22,163514.0,37911.0,31496.0,26029.0,101576.0,662770.0,207121.0,28781.0
2020-05-23,179719.0,42269.0,35626.0,29638.0,119548.0,616342.0,238750.0,31629.0
2020-05-24,195160.0,46550.0,39815.0,33767.0,139802.0,567674.0,273508.0,34758.0
2020-05-25,209261.0,50711.0,44284.0,38004.0,163634.0,518557.0,310907.0,37399.0
2020-05-26,221278.0,54761.0,48819.0,41931.0,189527.0,469976.0,350949.0,40042.0
2020-05-27,229058.0,58254.0,52704.0,46157.0,218058.0,421105.0,393187.0,42238.0
2020-05-28,234239.0,60804.0,55485.0,49597.0,249403.0,376304.0,436763.0,43576.0
2020-05-29,235274.0,62254.0,58087.0,52987.0,283926.0,333352.0,480578.0,43815.0
2020-05-30,233724.0,62695.0,60660.0,56179.0,319316.0,294475.0,524376.0,43798.0
