time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970424.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,0.0,1.0,973403.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,980156.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,0.0,987025.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,993435.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997274.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000750.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003630.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,1005392.0,0.0,0.0
2020-03-15,2.0,1.0,0.0,0.0,0.0,1006269.0,0.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,0.0,1008038.0,0.0,0.0
2020-03-17,3.0,0.0,0.0,0.0,0.0,1009571.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,1.0,1009792.0,1.0,1.0
2020-03-19,2.0,2.0,0.0,1.0,0.0,1009715.0,3.0,2.0
2020-03-20,4.0,1.0,1.0,0.0,1.0,1010746.0,3.0,0.0
2020-03-21,8.0,0.0,2.0,0.0,0.0,1011338.0,3.0,0.0
2020-03-22,7.0,1.0,0.0,1.0,1.0,1010701.0,4.0,1.0
2020-03-23,7.0,2.0,0.0,0.0,1.0,1012085.0,5.0,1.0
2020-03-24,5.0,0.0,1.0,1.0,1.0,1013086.0,5.0,0.0
2020-03-25,6.0,1.0,2.0,1.0,1.0,1013539.0,7.0,2.0
2020-03-26,8.0,2.0,0.0,2.0,2.0,1013273.0,9.0,2.0
2020-03-27,13.0,3.0,2.0,0.0,4.0,1014452.0,12.0,3.0
2020-03-28,14.0,2.0,3.0,2.0,4.0,1015796.0,13.0,1.0
2020-03-29,23.0,3.0,2.0,3.0,8.0,1015958.0,14.0,1.0
2020-03-30,23.0,3.0,3.0,4.0,9.0,1015482.0,17.0,3.0
2020-03-31,22.0,4.0,6.0,3.0,13.0,1016443.0,23.0,6.0
2020-04-01,20.0,7.0,4.0,5.0,11.0,1017175.0,30.0,7.0
2020-04-02,35.0,10.0,4.0,8.0,16.0,1017095.0,34.0,4.0
2020-04-03,44.0,7.0,5.0,3.0,18.0,1016152.0,39.0,5.0
2020-04-04,50.0,7.0,8.0,5.0,18.0,1017025.0,47.0,8.0
2020-04-05,52.0,10.0,7.0,8.0,22.0,1016028.0,54.0,7.0
2020-04-06,71.0,11.0,15.0,9.0,34.0,1016505.0,63.0,9.0
2020-04-07,72.0,18.0,11.0,12.0,38.0,1016487.0,80.0,17.0
2020-04-08,95.0,13.0,16.0,20.0,36.0,1017477.0,94.0,14.0
2020-04-09,113.0,24.0,19.0,6.0,53.0,1018400.0,113.0,19.0
2020-04-10,140.0,36.0,17.0,22.0,69.0,1018896.0,141.0,28.0
2020-04-11,180.0,43.0,26.0,24.0,81.0,1017865.0,174.0,33.0
2020-04-12,188.0,36.0,44.0,20.0,97.0,1017743.0,207.0,33.0
2020-04-13,222.0,45.0,41.0,37.0,101.0,1018126.0,249.0,42.0
2020-04-14,278.0,39.0,44.0,32.0,123.0,1018974.0,284.0,35.0
2020-04-15,307.0,62.0,56.0,35.0,144.0,1020319.0,331.0,47.0
2020-04-16,376.0,69.0,54.0,53.0,171.0,1019283.0,387.0,56.0
2020-04-17,430.0,102.0,57.0,58.0,215.0,1019947.0,461.0,74.0
2020-04-18,506.0,108.0,98.0,54.0,254.0,1019598.0,550.0,89.0
2020-04-19,613.0,135.0,101.0,84.0,295.0,1019528.0,657.0,107.0
2020-04-20,780.0,165.0,123.0,98.0,358.0,1018443.0,776.0,119.0
2020-04-21,961.0,215.0,152.0,119.0,433.0,1018831.0,931.0,155.0
2020-04-22,1162.0,245.0,170.0,152.0,517.0,1018734.0,1137.0,206.0
2020-04-23,1405.0,292.0,220.0,169.0,612.0,1017962.0,1359.0,222.0
2020-04-24,1654.0,344.0,256.0,197.0,698.0,1016899.0,1628.0,269.0
2020-04-25,1969.0,409.0,314.0,258.0,884.0,1016471.0,1937.0,309.0
2020-04-26,2387.0,509.0,392.0,319.0,1018.0,1015919.0,2358.0,421.0
2020-04-27,2867.0,597.0,490.0,333.0,1317.0,1014412.0,2853.0,495.0
2020-04-28,3401.0,711.0,577.0,448.0,1560.0,1012861.0,3435.0,582.0
2020-04-29,4208.0,904.0,702.0,516.0,1933.0,1012041.0,4159.0,724.0
