time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,2.0,0.0,0.0,970626.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,1.0,1.0,973994.0,1.0,1.0
2020-03-08,3.0,2.0,0.0,0.0,2.0,980168.0,2.0,1.0
2020-03-09,3.0,2.0,1.0,0.0,1.0,986460.0,4.0,2.0
2020-03-10,5.0,2.0,1.0,0.0,1.0,991643.0,5.0,1.0
2020-03-11,6.0,2.0,2.0,0.0,2.0,997785.0,6.0,1.0
2020-03-12,8.0,1.0,1.0,1.0,1.0,1000410.0,7.0,1.0
2020-03-13,8.0,1.0,1.0,0.0,1.0,1003286.0,7.0,0.0
2020-03-14,9.0,0.0,2.0,0.0,1.0,1003941.0,8.0,1.0
2020-03-15,9.0,1.0,1.0,0.0,1.0,1007096.0,10.0,2.0
2020-03-16,8.0,0.0,0.0,1.0,2.0,1009009.0,11.0,1.0
2020-03-17,11.0,1.0,1.0,0.0,2.0,1010382.0,12.0,1.0
2020-03-18,10.0,4.0,0.0,1.0,3.0,1012292.0,15.0,3.0
2020-03-19,8.0,0.0,2.0,1.0,4.0,1012142.0,16.0,1.0
2020-03-20,10.0,2.0,1.0,0.0,4.0,1011657.0,17.0,1.0
2020-03-21,10.0,2.0,1.0,1.0,6.0,1012275.0,18.0,1.0
2020-03-22,13.0,2.0,6.0,0.0,7.0,1012331.0,22.0,4.0
2020-03-23,21.0,2.0,5.0,3.0,4.0,1012954.0,25.0,3.0
2020-03-24,24.0,7.0,6.0,3.0,6.0,1012645.0,31.0,6.0
2020-03-25,30.0,9.0,8.0,3.0,14.0,1013112.0,36.0,5.0
2020-03-26,36.0,14.0,11.0,4.0,14.0,1013346.0,45.0,9.0
2020-03-27,40.0,8.0,12.0,9.0,14.0,1013407.0,53.0,8.0
2020-03-28,61.0,8.0,13.0,6.0,24.0,1013038.0,62.0,9.0
2020-03-29,58.0,11.0,5.0,10.0,23.0,1014419.0,71.0,9.0
2020-03-30,60.0,20.0,10.0,9.0,30.0,1014874.0,86.0,15.0
2020-03-31,73.0,22.0,9.0,7.0,33.0,1016369.0,99.0,13.0
2020-04-01,82.0,23.0,14.0,9.0,32.0,1015043.0,117.0,18.0
2020-04-02,99.0,17.0,20.0,17.0,44.0,1015614.0,129.0,12.0
2020-04-03,121.0,18.0,17.0,26.0,66.0,1014852.0,144.0,15.0
2020-04-04,147.0,15.0,18.0,17.0,84.0,1015844.0,160.0,16.0
2020-04-05,174.0,28.0,28.0,18.0,85.0,1016423.0,190.0,30.0
2020-04-06,213.0,36.0,30.0,29.0,100.0,1016502.0,229.0,39.0
2020-04-07,251.0,50.0,39.0,25.0,139.0,1017174.0,278.0,49.0
2020-04-08,294.0,61.0,37.0,40.0,143.0,1018256.0,320.0,42.0
2020-04-09,351.0,73.0,52.0,50.0,173.0,1017006.0,367.0,47.0
2020-04-10,428.0,82.0,75.0,50.0,200.0,1016996.0,438.0,71.0
2020-04-11,503.0,103.0,91.0,52.0,240.0,1016822.0,522.0,84.0
2020-04-12,626.0,134.0,106.0,66.0,276.0,1017100.0,618.0,96.0
2020-04-13,739.0,144.0,125.0,80.0,317.0,1016619.0,736.0,118.0
2020-04-14,877.0,183.0,140.0,93.0,379.0,1017024.0,884.0,148.0
2020-04-15,1029.0,207.0,166.0,118.0,462.0,1016716.0,1048.0,164.0
2020-04-16,1244.0,234.0,204.0,152.0,564.0,1016891.0,1239.0,191.0
2020-04-17,1505.0,300.0,231.0,200.0,686.0,1014684.0,1462.0,223.0
2020-04-18,1813.0,386.0,255.0,246.0,849.0,1014982.0,1777.0,315.0
2020-04-19,2217.0,452.0,330.0,263.0,1022.0,1013818.0,2131.0,354.0
2020-04-20,2673.0,560.0,438.0,327.0,1200.0,1013856.0,2589.0,458.0
2020-04-21,3374.0,680.0,531.0,388.0,1472.0,1013547.0,3128.0,539.0
2020-04-22,4016.0,783.0,672.0,507.0,1708.0,1012456.0,3744.0,616.0
2020-04-23,4793.0,995.0,766.0,598.0,2036.0,1012112.0,4525.0,781.0
2020-04-24,5628.0,1192.0,901.0,754.0,2451.0,1011859.0,5495.0,970.0
2020-04-25,6761.0,1457.0,1096.0,799.0,2945.0,1010200.0,6633.0,1138.0
2020-04-26,8011.0,1755.0,1274.0,1075.0,3438.0,1007440.0,8075.0,1442.0
2020-04-27,9647.0,2052.0,1621.0,1185.0,4170.0,1003027.0,9648.0,1573.0
2020-04-28,11500.0,2506.0,1902.0,1400.0,5058.0,999571.0,11602.0,1954.0
2020-04-29,13771.0,3006.0,2248.0,1752.0,6041.0,994984.0,13974.0,2372.0
2020-04-30,16650.0,3464.0,2815.0,2103.0,7390.0,991523.0,16772.0,2798.0
2020-05-01,19895.0,4258.0,3271.0,2544.0,8856.0,985136.0,20089.0,3317.0
2020-05-02,23856.0,5038.0,3982.0,3040.0,10582.0,976716.0,24108.0,4019.0
2020-05-03,28804.0,6068.0,4705.0,3681.0,12611.0,966471.0,28820.0,4712.0
2020-05-04,34082.0,7157.0,5577.0,4293.0,15211.0,955935.0,34451.0,5631.0
2020-05-05,40189.0,8456.0,6620.0,5284.0,18086.0,942225.0,41221.0,6770.0
2020-05-06,47289.0,10253.0,7917.0,6199.0,21949.0,926416.0,49324.0,8103.0
2020-05-07,55828.0,12197.0,9436.0,7355.0,26282.0,909424.0,58724.0,9400.0
2020-05-08,65665.0,14315.0,11210.0,8778.0,31478.0,891280.0,69828.0,11104.0
2020-05-09,76547.0,16846.0,13422.0,10358.0,37388.0,868368.0,83004.0,13176.0
2020-05-10,88922.0,19608.0,15536.0,12442.0,44578.0,841517.0,98035.0,15031.0
2020-05-11,102612.0,22880.0,18139.0,14648.0,53328.0,811969.0,115583.0,17548.0
2020-05-12,117824.0,26715.0,21168.0,16887.0,63589.0,777494.0,135823.0,20240.0
2020-05-13,133330.0,30337.0,24962.0,19714.0,75194.0,740173.0,159023.0,23200.0
2020-05-14,150028.0,34376.0,28532.0,23232.0,88844.0,699000.0,185245.0,26222.0
2020-05-15,166522.0,38616.0,32257.0,26851.0,104433.0,654662.0,214342.0,29097.0
2020-05-16,182496.0,42720.0,36417.0,30190.0,123265.0,609116.0,246482.0,32140.0
2020-05-17,196742.0,47437.0,40596.0,34435.0,143589.0,560067.0,281830.0,35348.0
2020-05-18,209552.0,51682.0,44862.0,38135.0,167170.0,512746.0,319813.0,37983.0
2020-05-19,220620.0,54802.0,48926.0,42514.0,192763.0,464638.0,359734.0,39921.0
2020-05-20,228614.0,57829.0,52296.0,46288.0,221276.0,418485.0,401263.0,41529.0
2020-05-21,232567.0,60320.0,55586.0,49945.0,252127.0,373950.0,444394.0,43131.0
2020-05-22,234225.0,62597.0,58380.0,53303.0,285444.0,332353.0,488453.0,44059.0
2020-05-23,231842.0,63084.0,60184.0,56630.0,321358.0,293968.0,532329.0,43876.0
2020-05-24,226750.0,62994.0,61168.0,58241.0,357875.0,259260.0,575491.0,43162.0
2020-05-25,217980.0,61530.0,61932.0,59666.0,396014.0,227971.0,617332.0,41841.0
2020-05-26,207651.0,60255.0,61089.0,60309.0,434621.0,201986.0,657675.0,40343.0
2020-05-27,195563.0,57864.0,59999.0,60175.0,473687.0,177991.0,696207.0,38532.0
2020-05-28,183166.0,54762.0,58508.0,59280.0,512043.0,158097.0,732040.0,35833.0
2020-05-29,169244.0,51672.0,55791.0,58256.0,550248.0,141299.0,765598.0,33558.0
2020-05-30,155251.0,48088.0,53043.0,55967.0,587356.0,126693.0,796679.0,31081.0
2020-05-31,141762.0,44669.0,49635.0,53293.0,623391.0,114800.0,825097.0,28418.0
2020-06-01,129279.0,40873.0,46117.0,50642.0,657145.0,104517.0,850767.0,25670.0
2020-06-02,116404.0,37082.0,42490.0,47371.0,688383.0,95752.0,874070.0,23303.0
2020-06-03,104893.0,33649.0,38745.0,44251.0,716148.0,88337.0,894733.0,20663.0
2020-06-04,94389.0,30590.0,35485.0,40832.0,743854.0,82177.0,913415.0,18682.0
2020-06-05,84612.0,27698.0,32498.0,37201.0,769016.0,76974.0,930504.0,17089.0
2020-06-06,75181.0,24646.0,29342.0,34362.0,791048.0,72438.0,945600.0,15096.0
2020-06-07,66454.0,22027.0,26428.0,31232.0,812940.0,68513.0,959263.0,13663.0
2020-06-08,59300.0,19487.0,23624.0,28098.0,832867.0,65265.0,971199.0,11936.0
2020-06-09,52408.0,17550.0,21404.0,25376.0,849204.0,62552.0,981956.0,10757.0
2020-06-10,46003.0,15562.0,18932.0,23013.0,864905.0,59987.0,991506.0,9550.0
2020-06-11,40340.0,13893.0,16816.0,20536.0,877797.0,58083.0,999881.0,8375.0
2020-06-12,35490.0,12227.0,14760.0,18320.0,890543.0,56438.0,1007134.0,7253.0
2020-06-13,31265.0,10720.0,13074.0,16195.0,901294.0,54871.0,1013498.0,6364.0
2020-06-14,27707.0,9530.0,11548.0,14376.0,910748.0,53649.0,1019104.0,5606.0
2020-06-15,24468.0,8372.0,10305.0,12648.0,919603.0,52581.0,1024109.0,5005.0
2020-06-16,21381.0,7449.0,9195.0,11245.0,926726.0,51488.0,1028497.0,4388.0
2020-06-17,18938.0,6569.0,8044.0,9909.0,933636.0,50454.0,1032306.0,3809.0
2020-06-18,16665.0,5806.0,7041.0,8808.0,939019.0,50167.0,1035746.0,3440.0
2020-06-19,14713.0,5092.0,6185.0,7852.0,944392.0,49374.0,1038677.0,2931.0
2020-06-20,12811.0,4610.0,5444.0,6863.0,948140.0,48993.0,1041448.0,2771.0
2020-06-21,11371.0,3912.0,4740.0,6076.0,952992.0,48396.0,1043740.0,2292.0
2020-06-22,9813.0,3421.0,4208.0,5292.0,956673.0,47892.0,1045787.0,2047.0
2020-06-23,8664.0,2953.0,3610.0,4651.0,960184.0,47560.0,1047549.0,1762.0
2020-06-24,7552.0,2548.0,3238.0,3998.0,963042.0,47091.0,1049075.0,1526.0
2020-06-25,6619.0,2219.0,2846.0,3636.0,965617.0,47262.0,1050434.0,1359.0
2020-06-26,5794.0,1914.0,2564.0,3164.0,967179.0,47068.0,1051629.0,1195.0
2020-06-27,5087.0,1673.0,2248.0,2806.0,969524.0,46784.0,1052637.0,1008.0
2020-06-28,4398.0,1463.0,1880.0,2437.0,971247.0,46702.0,1053485.0,848.0
2020-06-29,3797.0,1304.0,1594.0,2140.0,974064.0,46597.0,1054258.0,773.0
2020-06-30,3351.0,1171.0,1449.0,1922.0,974629.0,46311.0,1054978.0,720.0
2020-07-01,2886.0,1066.0,1274.0,1652.0,974355.0,46457.0,1055619.0,641.0
2020-07-02,2544.0,877.0,1101.0,1418.0,977898.0,46431.0,1056133.0,514.0
2020-07-03,2230.0,754.0,974.0,1213.0,978805.0,46339.0,1056565.0,432.0
2020-07-04,1936.0,655.0,836.0,1081.0,979878.0,46205.0,1056943.0,378.0
2020-07-05,1688.0,591.0,703.0,958.0,978000.0,46308.0,1057268.0,325.0
2020-07-06,1452.0,532.0,627.0,831.0,978840.0,46299.0,1057557.0,289.0
