time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,0.0,0.0,0.0,970312.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,972087.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,978708.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,986779.0,1.0,1.0
2020-03-10,1.0,0.0,1.0,0.0,0.0,993172.0,1.0,0.0
2020-03-11,2.0,0.0,1.0,0.0,0.0,996595.0,1.0,0.0
2020-03-12,1.0,2.0,1.0,0.0,0.0,1001471.0,2.0,1.0
2020-03-13,7.0,2.0,4.0,0.0,0.0,1003922.0,3.0,1.0
2020-03-14,5.0,3.0,1.0,0.0,0.0,1006650.0,5.0,2.0
2020-03-15,6.0,2.0,2.0,2.0,0.0,1007163.0,7.0,2.0
2020-03-16,9.0,4.0,1.0,0.0,1.0,1008979.0,8.0,1.0
2020-03-17,10.0,1.0,2.0,0.0,3.0,1009580.0,8.0,0.0
2020-03-18,15.0,3.0,3.0,1.0,3.0,1011549.0,10.0,2.0
2020-03-19,18.0,3.0,4.0,3.0,5.0,1011745.0,12.0,2.0
2020-03-20,19.0,4.0,3.0,2.0,6.0,1013400.0,17.0,5.0
2020-03-21,21.0,10.0,2.0,4.0,5.0,1012994.0,22.0,5.0
2020-03-22,24.0,10.0,5.0,3.0,7.0,1014452.0,27.0,5.0
2020-03-23,33.0,7.0,7.0,2.0,12.0,1015134.0,32.0,5.0
2020-03-24,35.0,14.0,5.0,4.0,15.0,1014521.0,38.0,6.0
2020-03-25,49.0,8.0,9.0,6.0,18.0,1013942.0,42.0,4.0
2020-03-26,55.0,13.0,12.0,4.0,20.0,1014834.0,52.0,10.0
2020-03-27,75.0,7.0,15.0,4.0,23.0,1015195.0,59.0,7.0
2020-03-28,75.0,16.0,9.0,12.0,27.0,1015556.0,73.0,14.0
2020-03-29,77.0,14.0,12.0,6.0,39.0,1016097.0,81.0,8.0
2020-03-30,80.0,15.0,16.0,9.0,40.0,1014737.0,95.0,14.0
2020-03-31,95.0,17.0,25.0,12.0,43.0,1016241.0,115.0,20.0
2020-04-01,112.0,20.0,16.0,14.0,51.0,1016427.0,128.0,13.0
2020-04-02,138.0,20.0,17.0,21.0,66.0,1016305.0,148.0,20.0
2020-04-03,139.0,37.0,26.0,20.0,73.0,1015414.0,183.0,35.0
2020-04-04,172.0,42.0,27.0,26.0,88.0,1015451.0,215.0,32.0
2020-04-05,218.0,41.0,37.0,28.0,109.0,1014934.0,249.0,34.0
2020-04-06,256.0,67.0,34.0,30.0,116.0,1016583.0,301.0,52.0
2020-04-07,301.0,72.0,38.0,42.0,140.0,1016025.0,350.0,49.0
2020-04-08,390.0,70.0,60.0,45.0,181.0,1016018.0,410.0,60.0
2020-04-09,454.0,98.0,67.0,54.0,217.0,1017073.0,483.0,73.0
2020-04-10,577.0,104.0,91.0,74.0,230.0,1017485.0,571.0,88.0
2020-04-11,689.0,148.0,102.0,94.0,272.0,1017514.0,687.0,116.0
2020-04-12,822.0,190.0,126.0,101.0,334.0,1017970.0,830.0,143.0
2020-04-13,1007.0,223.0,175.0,109.0,419.0,1017557.0,1018.0,188.0
2020-04-14,1240.0,265.0,195.0,170.0,506.0,1017533.0,1227.0,209.0
2020-04-15,1473.0,307.0,245.0,192.0,645.0,1017306.0,1479.0,252.0
2020-04-16,1717.0,370.0,275.0,200.0,784.0,1015781.0,1787.0,308.0
2020-04-17,2043.0,450.0,316.0,235.0,914.0,1016726.0,2128.0,341.0
2020-04-18,2453.0,521.0,399.0,297.0,1033.0,1015951.0,2542.0,414.0
2020-04-19,2910.0,575.0,445.0,373.0,1262.0,1015890.0,2992.0,450.0
2020-04-20,3500.0,709.0,581.0,439.0,1557.0,1013467.0,3571.0,579.0
2020-04-21,4187.0,864.0,684.0,572.0,1827.0,1012752.0,4262.0,691.0
2020-04-22,5057.0,1063.0,836.0,620.0,2136.0,1011676.0,5128.0,866.0
2020-04-23,6102.0,1256.0,1030.0,747.0,2573.0,1009397.0,6094.0,966.0
2020-04-24,7254.0,1539.0,1174.0,886.0,3101.0,1007258.0,7321.0,1227.0
2020-04-25,8791.0,1889.0,1460.0,1064.0,3707.0,1004790.0,8830.0,1509.0
2020-04-26,10741.0,2228.0,1777.0,1363.0,4535.0,1001521.0,10600.0,1770.0
2020-04-27,12870.0,2691.0,2083.0,1645.0,5399.0,996760.0,12762.0,2162.0
2020-04-28,15424.0,3217.0,2493.0,1983.0,6537.0,991836.0,15327.0,2565.0
2020-04-29,18207.0,4093.0,3051.0,2377.0,7953.0,986157.0,18527.0,3200.0
2020-04-30,22097.0,4668.0,3709.0,2710.0,9652.0,979333.0,22182.0,3655.0
2020-05-01,26199.0,5632.0,4368.0,3319.0,11615.0,972017.0,26587.0,4405.0
2020-05-02,31320.0,6800.0,5161.0,4030.0,13824.0,962354.0,31833.0,5246.0
2020-05-03,37292.0,8050.0,6165.0,4818.0,16514.0,949716.0,38137.0,6304.0
2020-05-04,43907.0,9412.0,7539.0,5632.0,19910.0,936185.0,45444.0,7307.0
2020-05-05,51785.0,11263.0,8771.0,6930.0,23997.0,919640.0,54224.0,8780.0
2020-05-06,60931.0,13198.0,10558.0,8170.0,28769.0,901824.0,64526.0,10302.0
2020-05-07,71077.0,15709.0,12393.0,9603.0,34673.0,881226.0,76733.0,12207.0
2020-05-08,82767.0,18186.0,14514.0,11340.0,41381.0,855518.0,91073.0,14340.0
2020-05-09,95732.0,21152.0,17027.0,13434.0,49177.0,826608.0,107383.0,16310.0
2020-05-10,109640.0,24205.0,19937.0,15930.0,58011.0,795377.0,126242.0,18859.0
2020-05-11,125230.0,28098.0,22969.0,18276.0,69209.0,758497.0,147744.0,21502.0
2020-05-12,141505.0,32008.0,26480.0,21273.0,81986.0,719955.0,172051.0,24307.0
2020-05-13,157576.0,36594.0,30202.0,24771.0,96940.0,678622.0,199707.0,27656.0
2020-05-14,173513.0,40562.0,34212.0,28400.0,114065.0,633604.0,230403.0,30696.0
2020-05-15,189498.0,45197.0,38093.0,32281.0,133213.0,587535.0,264060.0,33657.0
2020-05-16,203467.0,49196.0,42490.0,36278.0,155067.0,537606.0,300829.0,36769.0
2020-05-17,215791.0,53616.0,46481.0,40373.0,179139.0,490347.0,339873.0,39044.0
2020-05-18,225335.0,56657.0,50728.0,44032.0,206541.0,442803.0,380832.0,40959.0
2020-05-19,231174.0,59688.0,54237.0,48062.0,235765.0,396184.0,423657.0,42825.0
2020-05-20,233985.0,61208.0,57443.0,51747.0,267469.0,353363.0,467073.0,43416.0
2020-05-21,233986.0,62083.0,59454.0,54852.0,301139.0,312625.0,510684.0,43611.0
2020-05-22,229589.0,62567.0,61089.0,56933.0,337935.0,276662.0,554416.0,43732.0
2020-05-23,222989.0,62138.0,61390.0,58794.0,376320.0,244392.0,597127.0,42711.0
2020-05-24,214113.0,61027.0,61230.0,60188.0,414518.0,214771.0,638468.0,41341.0
2020-05-25,202823.0,59066.0,61091.0,60588.0,453308.0,189561.0,678013.0,39545.0
2020-05-26,190530.0,56140.0,58950.0,60284.0,492128.0,168056.0,714987.0,36974.0
2020-05-27,176816.0,53306.0,56418.0,58993.0,530161.0,150132.0,750113.0,35126.0
2020-05-28,163660.0,49605.0,54293.0,57208.0,567496.0,134197.0,781859.0,31746.0
2020-05-29,149876.0,46037.0,51051.0,54565.0,604060.0,121341.0,811379.0,29520.0
2020-05-30,136719.0,42594.0,47527.0,52046.0,638501.0,110291.0,838330.0,26951.0
2020-05-31,124166.0,38991.0,44158.0,49029.0,671055.0,100768.0,862984.0,24654.0
2020-06-01,111672.0,35469.0,40786.0,46025.0,701988.0,92271.0,885296.0,22312.0
2020-06-02,99781.0,32265.0,37519.0,42288.0,730048.0,85448.0,905385.0,20089.0
2020-06-03,89626.0,29242.0,34096.0,38830.0,755218.0,79255.0,923349.0,17964.0
2020-06-04,79815.0,26088.0,31098.0,35623.0,779170.0,74914.0,939521.0,16172.0
2020-06-05,70782.0,23572.0,28046.0,32751.0,801506.0,70910.0,953842.0,14321.0
2020-06-06,63251.0,21013.0,24978.0,29633.0,821256.0,67447.0,966434.0,12592.0
2020-06-07,56128.0,18727.0,22577.0,26546.0,839727.0,64424.0,977934.0,11500.0
2020-06-08,49782.0,16633.0,20345.0,23974.0,855141.0,61692.0,987999.0,10065.0
2020-06-09,43684.0,14618.0,17933.0,21694.0,868420.0,59505.0,996985.0,8986.0
2020-06-10,38571.0,12991.0,16102.0,19503.0,883093.0,57994.0,1004881.0,7896.0
2020-06-11,33797.0,11666.0,14263.0,17235.0,893919.0,56401.0,1012024.0,7143.0
2020-06-12,29932.0,10310.0,12839.0,15268.0,904110.0,54986.0,1018148.0,6124.0
2020-06-13,26578.0,9087.0,11303.0,13712.0,913090.0,53598.0,1023602.0,5454.0
2020-06-14,23525.0,7995.0,10115.0,12213.0,921737.0,52768.0,1028375.0,4773.0
2020-06-15,20736.0,7030.0,8719.0,10851.0,928716.0,51813.0,1032557.0,4182.0
2020-06-16,18040.0,6146.0,7698.0,9635.0,934869.0,51162.0,1036276.0,3719.0
2020-06-17,15907.0,5430.0,6761.0,8406.0,940327.0,50504.0,1039543.0,3267.0
2020-06-18,13856.0,4706.0,5941.0,7534.0,945122.0,49883.0,1042347.0,2804.0
2020-06-19,12249.0,4216.0,5274.0,6566.0,948661.0,49373.0,1044872.0,2525.0
2020-06-20,10791.0,3726.0,4666.0,5664.0,952692.0,48799.0,1047074.0,2202.0
2020-06-21,9409.0,3402.0,4114.0,4996.0,955013.0,48263.0,1049059.0,1985.0
2020-06-22,8222.0,2893.0,3634.0,4466.0,958434.0,47973.0,1050771.0,1712.0
2020-06-23,7279.0,2578.0,3190.0,3901.0,962612.0,47518.0,1052278.0,1507.0
2020-06-24,6322.0,2185.0,2799.0,3487.0,966646.0,47008.0,1053639.0,1361.0
2020-06-25,5526.0,1941.0,2503.0,2996.0,968135.0,47214.0,1054772.0,1133.0
2020-06-26,4921.0,1725.0,2193.0,2647.0,969816.0,47039.0,1055771.0,999.0
2020-06-27,4339.0,1491.0,1923.0,2335.0,971115.0,46783.0,1056601.0,830.0
2020-06-28,3813.0,1295.0,1626.0,2087.0,972980.0,46658.0,1057349.0,748.0
2020-06-29,3398.0,1060.0,1414.0,1847.0,973101.0,46350.0,1057996.0,647.0
2020-06-30,2990.0,973.0,1210.0,1620.0,974660.0,46321.0,1058606.0,610.0
2020-07-01,2570.0,857.0,1089.0,1394.0,974945.0,46046.0,1059126.0,520.0
2020-07-02,2197.0,764.0,1009.0,1209.0,975448.0,46104.0,1059595.0,469.0
2020-07-03,1910.0,686.0,923.0,1041.0,976651.0,46230.0,1059992.0,397.0
2020-07-04,1627.0,599.0,713.0,925.0,976961.0,46600.0,1060358.0,366.0
2020-07-05,1432.0,506.0,651.0,772.0,977019.0,46121.0,1060641.0,283.0
2020-07-06,1225.0,454.0,573.0,725.0,977632.0,46068.0,1060900.0,259.0
