time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,970417.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,0.0,0.0,972405.0,1.0,1.0
2020-03-08,4.0,0.0,0.0,0.0,1.0,979978.0,1.0,0.0
2020-03-09,4.0,1.0,0.0,0.0,1.0,987560.0,2.0,1.0
2020-03-10,2.0,0.0,1.0,0.0,1.0,993328.0,2.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996641.0,2.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,999758.0,2.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1002823.0,2.0,0.0
2020-03-14,2.0,1.0,1.0,0.0,2.0,1005259.0,4.0,2.0
2020-03-15,3.0,0.0,1.0,0.0,2.0,1007584.0,5.0,1.0
2020-03-16,2.0,1.0,1.0,0.0,2.0,1008821.0,6.0,1.0
2020-03-17,3.0,1.0,0.0,0.0,3.0,1010431.0,6.0,0.0
2020-03-18,4.0,1.0,0.0,0.0,3.0,1011383.0,6.0,0.0
2020-03-19,6.0,2.0,1.0,0.0,2.0,1012555.0,6.0,0.0
2020-03-20,6.0,0.0,2.0,0.0,3.0,1012569.0,6.0,0.0
2020-03-21,8.0,0.0,0.0,1.0,4.0,1012096.0,6.0,0.0
2020-03-22,11.0,1.0,2.0,1.0,5.0,1012661.0,9.0,3.0
2020-03-23,9.0,1.0,2.0,0.0,5.0,1012402.0,10.0,1.0
2020-03-24,18.0,2.0,7.0,1.0,6.0,1012150.0,13.0,3.0
2020-03-25,19.0,3.0,6.0,1.0,5.0,1013373.0,17.0,4.0
2020-03-26,25.0,5.0,4.0,4.0,6.0,1013823.0,23.0,6.0
2020-03-27,30.0,4.0,4.0,2.0,9.0,1014289.0,25.0,2.0
2020-03-28,26.0,6.0,2.0,3.0,16.0,1015181.0,32.0,7.0
2020-03-29,42.0,6.0,5.0,2.0,20.0,1015823.0,36.0,4.0
2020-03-30,44.0,10.0,4.0,4.0,21.0,1015736.0,44.0,8.0
2020-03-31,54.0,9.0,7.0,9.0,25.0,1016353.0,51.0,7.0
2020-04-01,72.0,20.0,9.0,9.0,29.0,1017642.0,63.0,12.0
2020-04-02,82.0,14.0,13.0,11.0,34.0,1017096.0,75.0,12.0
2020-04-03,97.0,23.0,12.0,15.0,46.0,1016042.0,93.0,18.0
2020-04-04,113.0,23.0,21.0,10.0,50.0,1017612.0,111.0,18.0
2020-04-05,133.0,29.0,21.0,18.0,61.0,1016778.0,131.0,20.0
2020-04-06,177.0,45.0,26.0,20.0,69.0,1018487.0,164.0,33.0
2020-04-07,199.0,46.0,39.0,25.0,84.0,1016792.0,198.0,34.0
2020-04-08,263.0,44.0,57.0,35.0,104.0,1016826.0,234.0,36.0
2020-04-09,295.0,52.0,59.0,51.0,122.0,1016835.0,292.0,58.0
2020-04-10,356.0,80.0,59.0,40.0,153.0,1016518.0,352.0,60.0
2020-04-11,422.0,91.0,71.0,50.0,182.0,1016850.0,419.0,67.0
2020-04-12,499.0,122.0,91.0,69.0,211.0,1016780.0,511.0,92.0
2020-04-13,565.0,135.0,99.0,94.0,281.0,1017116.0,608.0,97.0
2020-04-14,710.0,165.0,124.0,103.0,316.0,1017747.0,723.0,115.0
2020-04-15,865.0,213.0,161.0,109.0,399.0,1018107.0,895.0,172.0
2020-04-16,1127.0,232.0,218.0,134.0,468.0,1017099.0,1064.0,169.0
2020-04-17,1345.0,266.0,236.0,196.0,583.0,1016829.0,1260.0,196.0
2020-04-18,1628.0,312.0,249.0,201.0,716.0,1016606.0,1483.0,223.0
2020-04-19,1960.0,392.0,299.0,260.0,833.0,1016418.0,1794.0,311.0
2020-04-20,2345.0,479.0,365.0,323.0,1004.0,1016344.0,2204.0,410.0
2020-04-21,2797.0,573.0,434.0,356.0,1242.0,1014935.0,2688.0,484.0
2020-04-22,3352.0,706.0,535.0,431.0,1484.0,1013552.0,3223.0,535.0
2020-04-23,4067.0,826.0,633.0,494.0,1788.0,1011829.0,3880.0,657.0
2020-04-24,4892.0,1051.0,754.0,624.0,2107.0,1010786.0,4707.0,827.0
2020-04-25,5931.0,1241.0,971.0,761.0,2475.0,1008317.0,5707.0,1000.0
2020-04-26,7089.0,1460.0,1183.0,921.0,3030.0,1006741.0,6880.0,1173.0
2020-04-27,8667.0,1842.0,1404.0,1103.0,3692.0,1004937.0,8339.0,1459.0
2020-04-28,10357.0,2231.0,1633.0,1359.0,4393.0,1001673.0,10044.0,1705.0
2020-04-29,12401.0,2651.0,2061.0,1486.0,5243.0,998727.0,12145.0,2101.0
2020-04-30,14791.0,3191.0,2513.0,1820.0,6343.0,992542.0,14702.0,2557.0
2020-05-01,17614.0,3802.0,2989.0,2312.0,7536.0,987465.0,17778.0,3076.0
2020-05-02,21264.0,4604.0,3573.0,2674.0,9241.0,979740.0,21314.0,3536.0
2020-05-03,25611.0,5468.0,4317.0,3242.0,11258.0,971640.0,25539.0,4225.0
2020-05-04,30391.0,6572.0,5025.0,3953.0,13404.0,962717.0,30735.0,5196.0
2020-05-05,36342.0,7687.0,6048.0,4823.0,16178.0,950935.0,36802.0,6067.0
2020-05-06,43305.0,9134.0,7281.0,5722.0,19236.0,937335.0,44020.0,7218.0
2020-05-07,50742.0,10775.0,8574.0,6707.0,23326.0,922596.0,52670.0,8650.0
2020-05-08,59543.0,12941.0,10125.0,8085.0,28121.0,905261.0,62686.0,10016.0
2020-05-09,69723.0,15141.0,12028.0,9603.0,33719.0,884147.0,74507.0,11821.0
2020-05-10,81650.0,17907.0,14226.0,11261.0,40192.0,858555.0,88480.0,13973.0
2020-05-11,95364.0,20967.0,16600.0,13508.0,48194.0,829323.0,104717.0,16237.0
2020-05-12,109261.0,24259.0,19622.0,15687.0,57410.0,797462.0,123494.0,18777.0
2020-05-13,124809.0,27868.0,22510.0,18362.0,67936.0,762320.0,144838.0,21344.0
2020-05-14,140282.0,31830.0,26088.0,21339.0,80972.0,724334.0,169353.0,24515.0
2020-05-15,156778.0,36209.0,29812.0,24663.0,95427.0,681366.0,196862.0,27509.0
2020-05-16,173094.0,40835.0,33753.0,28217.0,112100.0,636642.0,227362.0,30500.0
2020-05-17,188816.0,45039.0,38162.0,31874.0,131317.0,589420.0,260880.0,33518.0
2020-05-18,203134.0,49121.0,42701.0,36033.0,153267.0,540222.0,297412.0,36532.0
2020-05-19,215167.0,53392.0,46363.0,40264.0,177309.0,491364.0,336382.0,38970.0
2020-05-20,224121.0,56419.0,50088.0,44136.0,204551.0,444536.0,377198.0,40816.0
2020-05-21,230852.0,59463.0,53744.0,47991.0,233188.0,398594.0,419751.0,42553.0
2020-05-22,233410.0,61467.0,56745.0,51824.0,265124.0,355229.0,463172.0,43421.0
2020-05-23,232933.0,62377.0,59318.0,54750.0,299415.0,314857.0,507092.0,43920.0
2020-05-24,229257.0,63137.0,61150.0,57146.0,335471.0,277405.0,550673.0,43581.0
2020-05-25,223322.0,62421.0,61688.0,59479.0,372356.0,244312.0,593279.0,42606.0
2020-05-26,213619.0,61024.0,61432.0,60398.0,411342.0,215388.0,634631.0,41352.0
2020-05-27,203029.0,58910.0,60674.0,60010.0,451006.0,191073.0,673804.0,39173.0
2020-05-28,190645.0,56651.0,58738.0,60119.0,489443.0,169725.0,711130.0,37326.0
2020-05-29,176806.0,53503.0,56760.0,58945.0,528186.0,151226.0,745966.0,34836.0
2020-05-30,163719.0,50116.0,53916.0,57349.0,564900.0,135216.0,778104.0,32138.0
2020-05-31,150028.0,46675.0,51003.0,55124.0,601802.0,121599.0,807677.0,29573.0
2020-06-01,136393.0,42648.0,47446.0,52765.0,635444.0,110586.0,834532.0,26855.0
2020-06-02,123793.0,39534.0,44048.0,49522.0,669000.0,101259.0,859616.0,25084.0
2020-06-03,111455.0,36028.0,40895.0,45868.0,699741.0,93130.0,882111.0,22495.0
2020-06-04,100229.0,32623.0,37513.0,42542.0,727842.0,85864.0,902264.0,20153.0
2020-06-05,89411.0,29349.0,34180.0,38926.0,754094.0,79823.0,920274.0,18010.0
2020-06-06,79833.0,26378.0,31299.0,35666.0,777161.0,75483.0,936416.0,16142.0
2020-06-07,71677.0,23511.0,28014.0,32891.0,798303.0,71386.0,950737.0,14321.0
2020-06-08,63130.0,21118.0,25306.0,29987.0,817993.0,67889.0,963539.0,12802.0
2020-06-09,56290.0,18777.0,22718.0,26979.0,836531.0,64674.0,974919.0,11380.0
2020-06-10,49947.0,16909.0,20359.0,24339.0,852573.0,61880.0,985072.0,10153.0
2020-06-11,44058.0,15084.0,18254.0,22065.0,867268.0,59828.0,994064.0,8992.0
2020-06-12,38847.0,13431.0,16183.0,19667.0,880442.0,57835.0,1001964.0,7900.0
2020-06-13,34368.0,11726.0,14462.0,17516.0,892917.0,56252.0,1008945.0,6981.0
2020-06-14,30280.0,10349.0,12764.0,15716.0,902663.0,54803.0,1015153.0,6208.0
2020-06-15,26667.0,9168.0,11343.0,13824.0,912289.0,53534.0,1020642.0,5489.0
2020-06-16,23727.0,8042.0,9978.0,12488.0,920898.0,52486.0,1025302.0,4660.0
2020-06-17,20784.0,7171.0,8773.0,10984.0,928882.0,51748.0,1029583.0,4281.0
2020-06-18,17972.0,6256.0,7671.0,9642.0,936224.0,50991.0,1033309.0,3726.0
2020-06-19,15884.0,5488.0,6687.0,8323.0,942143.0,49874.0,1036535.0,3226.0
2020-06-20,14081.0,4790.0,6109.0,7389.0,947749.0,49416.0,1039311.0,2776.0
2020-06-21,12437.0,4146.0,5344.0,6622.0,952218.0,48933.0,1041812.0,2501.0
2020-06-22,10922.0,3615.0,4610.0,5714.0,954743.0,48537.0,1043972.0,2160.0
2020-06-23,9540.0,3255.0,4001.0,5024.0,957865.0,48233.0,1045868.0,1896.0
2020-06-24,8280.0,2929.0,3632.0,4329.0,960251.0,48008.0,1047687.0,1819.0
2020-06-25,7297.0,2544.0,3069.0,3856.0,962879.0,47514.0,1049141.0,1454.0
2020-06-26,6451.0,2204.0,2760.0,3476.0,964638.0,47060.0,1050428.0,1287.0
2020-06-27,5577.0,1959.0,2391.0,3075.0,967258.0,47108.0,1051609.0,1181.0
2020-06-28,4865.0,1672.0,2121.0,2675.0,969041.0,46761.0,1052594.0,985.0
2020-06-29,4278.0,1433.0,1867.0,2316.0,971587.0,46753.0,1053433.0,839.0
2020-06-30,3770.0,1197.0,1589.0,1923.0,971815.0,46542.0,1054133.0,700.0
2020-07-01,3375.0,1063.0,1425.0,1703.0,972485.0,46602.0,1054751.0,618.0
2020-07-02,2936.0,969.0,1199.0,1594.0,973917.0,46540.0,1055341.0,590.0
2020-07-03,2577.0,870.0,1042.0,1337.0,975409.0,46184.0,1055846.0,505.0
2020-07-04,2226.0,749.0,863.0,1178.0,976892.0,45957.0,1056291.0,445.0
2020-07-05,1909.0,674.0,752.0,1018.0,976868.0,46118.0,1056666.0,375.0
2020-07-06,1648.0,559.0,757.0,856.0,978126.0,46100.0,1057038.0,372.0
