time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970105.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,972315.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979644.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,985748.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992424.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997889.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000510.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1003113.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1006507.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1008220.0,0.0,0.0
2020-03-16,1.0,0.0,1.0,0.0,0.0,1009633.0,0.0,0.0
2020-03-17,2.0,0.0,1.0,0.0,1.0,1010219.0,0.0,0.0
2020-03-18,2.0,0.0,1.0,0.0,1.0,1011413.0,1.0,1.0
2020-03-19,3.0,0.0,0.0,0.0,0.0,1011850.0,1.0,0.0
2020-03-20,1.0,0.0,1.0,0.0,1.0,1012182.0,2.0,1.0
2020-03-21,3.0,1.0,1.0,0.0,2.0,1012417.0,3.0,1.0
2020-03-22,4.0,0.0,0.0,1.0,2.0,1011973.0,3.0,0.0
2020-03-23,4.0,0.0,0.0,2.0,1.0,1012823.0,3.0,0.0
2020-03-24,3.0,1.0,0.0,0.0,4.0,1012927.0,3.0,0.0
2020-03-25,6.0,2.0,2.0,0.0,4.0,1013787.0,5.0,2.0
2020-03-26,8.0,2.0,0.0,0.0,4.0,1014964.0,6.0,1.0
2020-03-27,10.0,2.0,0.0,0.0,5.0,1015179.0,7.0,1.0
2020-03-28,10.0,2.0,1.0,1.0,3.0,1015186.0,8.0,1.0
2020-03-29,13.0,1.0,4.0,1.0,4.0,1017030.0,9.0,1.0
