time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,1.0,0.0,0.0,969353.0,0.0,0.0
2020-03-07,3.0,1.0,2.0,0.0,0.0,970582.0,1.0,1.0
2020-03-08,4.0,0.0,1.0,0.0,0.0,977963.0,1.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,985717.0,1.0,0.0
2020-03-10,4.0,0.0,0.0,0.0,1.0,991416.0,1.0,0.0
2020-03-11,5.0,1.0,2.0,0.0,1.0,996233.0,2.0,1.0
2020-03-12,10.0,0.0,2.0,1.0,1.0,999785.0,2.0,0.0
2020-03-13,7.0,2.0,0.0,1.0,2.0,1002520.0,4.0,2.0
2020-03-14,10.0,0.0,1.0,2.0,2.0,1005420.0,5.0,1.0
2020-03-15,10.0,0.0,3.0,0.0,2.0,1005523.0,5.0,0.0
2020-03-16,8.0,2.0,2.0,1.0,1.0,1007002.0,7.0,2.0
2020-03-17,9.0,7.0,1.0,0.0,2.0,1008081.0,12.0,5.0
2020-03-18,11.0,3.0,4.0,1.0,1.0,1010203.0,14.0,2.0
2020-03-19,15.0,1.0,2.0,1.0,4.0,1010149.0,14.0,0.0
2020-03-20,10.0,1.0,2.0,2.0,6.0,1011372.0,16.0,2.0
2020-03-21,13.0,3.0,3.0,1.0,8.0,1010793.0,17.0,1.0
2020-03-22,17.0,5.0,3.0,3.0,5.0,1010768.0,20.0,3.0
2020-03-23,20.0,4.0,2.0,1.0,10.0,1011653.0,23.0,3.0
2020-03-24,26.0,4.0,2.0,4.0,12.0,1013230.0,27.0,4.0
2020-03-25,26.0,4.0,7.0,4.0,14.0,1014261.0,29.0,2.0
2020-03-26,23.0,7.0,2.0,2.0,19.0,1014738.0,33.0,4.0
2020-03-27,28.0,6.0,10.0,1.0,17.0,1013711.0,38.0,5.0
2020-03-28,37.0,9.0,8.0,6.0,14.0,1014284.0,46.0,8.0
2020-03-29,51.0,8.0,9.0,8.0,13.0,1014487.0,53.0,7.0
2020-03-30,62.0,17.0,9.0,10.0,23.0,1015418.0,69.0,16.0
2020-03-31,69.0,20.0,15.0,8.0,28.0,1016022.0,82.0,13.0
2020-04-01,74.0,21.0,16.0,15.0,36.0,1015303.0,97.0,15.0
2020-04-02,99.0,21.0,18.0,14.0,36.0,1014307.0,110.0,13.0
2020-04-03,121.0,29.0,31.0,10.0,52.0,1015285.0,140.0,30.0
2020-04-04,139.0,37.0,18.0,18.0,61.0,1015605.0,162.0,22.0
2020-04-05,175.0,39.0,30.0,26.0,74.0,1016494.0,194.0,32.0
2020-04-06,183.0,39.0,33.0,33.0,90.0,1016617.0,223.0,29.0
2020-04-07,237.0,40.0,37.0,23.0,112.0,1017662.0,251.0,28.0
2020-04-08,289.0,54.0,42.0,33.0,131.0,1018136.0,295.0,44.0
2020-04-09,359.0,78.0,53.0,41.0,161.0,1017566.0,353.0,58.0
2020-04-10,453.0,88.0,57.0,66.0,172.0,1017051.0,411.0,58.0
2020-04-11,504.0,103.0,87.0,67.0,204.0,1016723.0,510.0,99.0
2020-04-12,645.0,130.0,104.0,78.0,259.0,1017087.0,619.0,109.0
2020-04-13,727.0,152.0,124.0,98.0,317.0,1017709.0,747.0,128.0
2020-04-14,903.0,183.0,155.0,112.0,381.0,1017544.0,886.0,139.0
2020-04-15,1097.0,233.0,163.0,136.0,457.0,1016886.0,1059.0,173.0
2020-04-16,1253.0,267.0,222.0,161.0,569.0,1016468.0,1289.0,230.0
2020-04-17,1581.0,327.0,260.0,229.0,651.0,1016789.0,1532.0,243.0
2020-04-18,1945.0,373.0,305.0,265.0,818.0,1016472.0,1824.0,292.0
2020-04-19,2240.0,485.0,338.0,301.0,1003.0,1016134.0,2224.0,400.0
2020-04-20,2759.0,607.0,430.0,357.0,1154.0,1015478.0,2699.0,475.0
2020-04-21,3255.0,744.0,511.0,415.0,1403.0,1015284.0,3276.0,577.0
2020-04-22,3983.0,852.0,656.0,486.0,1714.0,1013774.0,3944.0,668.0
2020-04-23,4789.0,953.0,804.0,572.0,2076.0,1012103.0,4740.0,796.0
2020-04-24,5779.0,1202.0,941.0,715.0,2543.0,1010503.0,5708.0,968.0
2020-04-25,6959.0,1397.0,1118.0,858.0,2994.0,1007863.0,6814.0,1106.0
2020-04-26,8334.0,1767.0,1348.0,1013.0,3603.0,1005193.0,8191.0,1377.0
2020-04-27,9942.0,2137.0,1627.0,1284.0,4307.0,1001538.0,9875.0,1684.0
2020-04-28,11894.0,2602.0,2011.0,1506.0,5174.0,999024.0,11935.0,2060.0
2020-04-29,14406.0,3119.0,2403.0,1852.0,6224.0,995022.0,14383.0,2448.0
2020-04-30,17551.0,3652.0,2884.0,2265.0,7641.0,989616.0,17262.0,2879.0
2020-05-01,21148.0,4406.0,3471.0,2652.0,9257.0,983422.0,20710.0,3448.0
2020-05-02,25256.0,5481.0,4038.0,3205.0,11034.0,974674.0,24986.0,4276.0
2020-05-03,29965.0,6484.0,4967.0,3715.0,13277.0,965870.0,30087.0,5101.0
2020-05-04,35812.0,7552.0,5901.0,4605.0,15852.0,954064.0,35984.0,5897.0
2020-05-05,42156.0,9012.0,7077.0,5437.0,19169.0,940856.0,43110.0,7126.0
2020-05-06,50115.0,10849.0,8271.0,6501.0,23339.0,925079.0,51579.0,8469.0
2020-05-07,58774.0,12945.0,9816.0,7858.0,27710.0,907167.0,61608.0,10029.0
2020-05-08,68701.0,15175.0,11918.0,9259.0,33167.0,886912.0,73370.0,11762.0
2020-05-09,80095.0,17796.0,14149.0,11028.0,39785.0,861703.0,87056.0,13686.0
2020-05-10,93009.0,20769.0,16429.0,13056.0,47659.0,832933.0,103125.0,16069.0
2020-05-11,107012.0,23604.0,19443.0,15308.0,56736.0,802315.0,121508.0,18383.0
2020-05-12,122242.0,27408.0,22271.0,17859.0,67335.0,767081.0,142662.0,21154.0
2020-05-13,138242.0,31607.0,25854.0,20752.0,79401.0,728803.0,166638.0,23976.0
2020-05-14,154544.0,35764.0,29809.0,23977.0,93815.0,686365.0,193914.0,27276.0
2020-05-15,171254.0,40147.0,33968.0,27655.0,110783.0,640996.0,224378.0,30464.0
2020-05-16,187791.0,44816.0,38088.0,31614.0,129453.0,593148.0,257955.0,33577.0
2020-05-17,202444.0,49037.0,42033.0,35488.0,151412.0,544123.0,294313.0,36358.0
2020-05-18,214674.0,52625.0,46599.0,39487.0,175347.0,496025.0,333052.0,38739.0
2020-05-19,224142.0,56410.0,49819.0,43879.0,202177.0,448327.0,373946.0,40894.0
2020-05-20,231100.0,59053.0,53783.0,47959.0,232473.0,401336.0,416273.0,42327.0
2020-05-21,234403.0,61500.0,57146.0,51465.0,264245.0,355700.0,460100.0,43827.0
2020-05-22,234349.0,62369.0,59692.0,55068.0,297744.0,314742.0,504038.0,43938.0
2020-05-23,229911.0,62799.0,61219.0,57292.0,334197.0,277335.0,547567.0,43529.0
2020-05-24,223830.0,62893.0,61808.0,59245.0,371758.0,243934.0,590372.0,42805.0
2020-05-25,214359.0,61510.0,61472.0,60372.0,411009.0,215358.0,631775.0,41403.0
2020-05-26,203990.0,59058.0,61047.0,60516.0,450676.0,189890.0,671060.0,39285.0
2020-05-27,191395.0,56690.0,59418.0,60143.0,490177.0,168195.0,708243.0,37183.0
2020-05-28,177960.0,53659.0,57268.0,59176.0,528252.0,149196.0,743188.0,34945.0
2020-05-29,163809.0,50305.0,54594.0,57393.0,565730.0,133716.0,775551.0,32363.0
2020-05-30,149795.0,46334.0,51222.0,55345.0,601571.0,119900.0,805122.0,29571.0
2020-05-31,136154.0,42717.0,47652.0,52650.0,635875.0,108649.0,832249.0,27127.0
2020-06-01,123307.0,39110.0,44431.0,49341.0,670076.0,98878.0,856755.0,24506.0
2020-06-02,111203.0,35595.0,40955.0,45486.0,700637.0,91382.0,878838.0,22083.0
2020-06-03,99575.0,32226.0,37346.0,42155.0,730545.0,84772.0,898828.0,19990.0
2020-06-04,89092.0,29396.0,34026.0,39025.0,757763.0,78962.0,917132.0,18304.0
2020-06-05,79341.0,25999.0,31024.0,35597.0,780986.0,74070.0,933070.0,15938.0
2020-06-06,70433.0,23426.0,27876.0,32708.0,802130.0,69700.0,947407.0,14337.0
2020-06-07,62575.0,20822.0,25153.0,29695.0,822594.0,66176.0,960139.0,12732.0
2020-06-08,55177.0,18540.0,22406.0,26789.0,840159.0,62953.0,971343.0,11204.0
