time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969908.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,973935.0,0.0,0.0
2020-03-08,4.0,1.0,1.0,0.0,0.0,979948.0,0.0,0.0
2020-03-09,2.0,0.0,2.0,0.0,0.0,987629.0,0.0,0.0
2020-03-10,2.0,0.0,1.0,1.0,0.0,992565.0,0.0,0.0
2020-03-11,4.0,1.0,0.0,0.0,1.0,997992.0,1.0,1.0
2020-03-12,5.0,2.0,0.0,0.0,1.0,1001452.0,2.0,1.0
2020-03-13,5.0,0.0,1.0,0.0,1.0,1003047.0,2.0,0.0
2020-03-14,4.0,0.0,0.0,0.0,1.0,1005158.0,2.0,0.0
2020-03-15,4.0,0.0,0.0,1.0,1.0,1008343.0,3.0,1.0
2020-03-16,7.0,1.0,0.0,0.0,2.0,1008757.0,3.0,0.0
2020-03-17,5.0,1.0,0.0,0.0,2.0,1011102.0,3.0,0.0
2020-03-18,4.0,1.0,0.0,0.0,4.0,1012132.0,4.0,1.0
2020-03-19,9.0,0.0,3.0,0.0,5.0,1013250.0,4.0,0.0
2020-03-20,7.0,3.0,4.0,2.0,4.0,1012393.0,9.0,5.0
2020-03-21,6.0,3.0,1.0,3.0,6.0,1013428.0,12.0,3.0
2020-03-22,8.0,2.0,1.0,2.0,8.0,1013391.0,12.0,0.0
2020-03-23,12.0,2.0,2.0,1.0,7.0,1014199.0,14.0,2.0
2020-03-24,14.0,1.0,4.0,2.0,7.0,1015587.0,16.0,2.0
2020-03-25,19.0,5.0,2.0,1.0,12.0,1015050.0,19.0,3.0
2020-03-26,23.0,2.0,2.0,0.0,13.0,1015080.0,21.0,2.0
2020-03-27,26.0,4.0,2.0,1.0,12.0,1013211.0,26.0,5.0
2020-03-28,33.0,4.0,3.0,4.0,13.0,1013566.0,30.0,4.0
2020-03-29,30.0,7.0,5.0,4.0,12.0,1014481.0,36.0,6.0
2020-03-30,31.0,10.0,10.0,3.0,13.0,1014554.0,41.0,5.0
2020-03-31,36.0,6.0,12.0,6.0,17.0,1015354.0,51.0,10.0
2020-04-01,49.0,13.0,13.0,7.0,29.0,1014560.0,64.0,13.0
2020-04-02,60.0,21.0,13.0,8.0,24.0,1015293.0,77.0,13.0
2020-04-03,83.0,13.0,14.0,9.0,34.0,1015761.0,85.0,8.0
2020-04-04,92.0,20.0,15.0,7.0,32.0,1017025.0,99.0,14.0
2020-04-05,111.0,22.0,15.0,7.0,41.0,1018068.0,114.0,15.0
2020-04-06,148.0,27.0,27.0,17.0,43.0,1019357.0,138.0,24.0
2020-04-07,163.0,30.0,34.0,26.0,58.0,1019006.0,163.0,25.0
2020-04-08,198.0,32.0,37.0,24.0,79.0,1017850.0,194.0,31.0
2020-04-09,225.0,44.0,45.0,29.0,92.0,1017323.0,232.0,38.0
2020-04-10,283.0,50.0,48.0,40.0,118.0,1017438.0,271.0,39.0
2020-04-11,313.0,61.0,47.0,46.0,147.0,1017461.0,327.0,56.0
2020-04-12,397.0,83.0,61.0,46.0,166.0,1017607.0,396.0,69.0
2020-04-13,471.0,104.0,76.0,62.0,207.0,1017912.0,472.0,76.0
2020-04-14,582.0,121.0,92.0,58.0,255.0,1017684.0,558.0,86.0
2020-04-15,681.0,167.0,113.0,82.0,275.0,1017438.0,683.0,125.0
2020-04-16,837.0,174.0,128.0,106.0,323.0,1018832.0,817.0,134.0
2020-04-17,1001.0,183.0,163.0,116.0,398.0,1019159.0,970.0,153.0
2020-04-18,1197.0,229.0,192.0,134.0,465.0,1019207.0,1158.0,188.0
