time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970627.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,973216.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,980830.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986715.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991773.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,997689.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,2.0,1000542.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,2.0,1004290.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005741.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1007412.0,0.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,1.0,1009035.0,1.0,1.0
2020-03-17,1.0,0.0,0.0,1.0,1.0,1009748.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1009763.0,1.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,1.0,1011135.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1010415.0,2.0,1.0
2020-03-21,0.0,0.0,0.0,0.0,2.0,1011818.0,2.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1011761.0,2.0,0.0
2020-03-23,0.0,0.0,1.0,1.0,0.0,1012264.0,2.0,0.0
2020-03-24,1.0,1.0,0.0,1.0,0.0,1012746.0,3.0,1.0
2020-03-25,2.0,0.0,1.0,0.0,0.0,1013820.0,3.0,0.0
2020-03-26,4.0,0.0,0.0,1.0,1.0,1013358.0,3.0,0.0
2020-03-27,2.0,0.0,0.0,2.0,2.0,1014051.0,6.0,3.0
2020-03-28,1.0,0.0,0.0,0.0,6.0,1014799.0,6.0,0.0
2020-03-29,1.0,0.0,0.0,0.0,4.0,1015870.0,6.0,0.0
2020-03-30,2.0,0.0,0.0,0.0,3.0,1016270.0,6.0,0.0
2020-03-31,1.0,1.0,0.0,0.0,3.0,1016754.0,7.0,1.0
2020-04-01,0.0,1.0,0.0,0.0,2.0,1015780.0,8.0,1.0
2020-04-02,1.0,1.0,1.0,0.0,2.0,1016317.0,9.0,1.0
2020-04-03,4.0,0.0,1.0,1.0,3.0,1016175.0,10.0,1.0
2020-04-04,8.0,3.0,0.0,2.0,6.0,1015713.0,12.0,2.0
2020-04-05,9.0,2.0,1.0,1.0,4.0,1016192.0,13.0,1.0
2020-04-06,11.0,1.0,3.0,2.0,5.0,1017065.0,15.0,2.0
2020-04-07,18.0,2.0,3.0,1.0,4.0,1015874.0,16.0,1.0
2020-04-08,20.0,5.0,1.0,4.0,4.0,1017683.0,18.0,2.0
2020-04-09,17.0,4.0,4.0,3.0,8.0,1015743.0,19.0,1.0
2020-04-10,27.0,4.0,5.0,3.0,13.0,1017600.0,23.0,4.0
2020-04-11,27.0,3.0,3.0,4.0,17.0,1019307.0,25.0,2.0
2020-04-12,28.0,3.0,5.0,4.0,20.0,1020050.0,27.0,2.0
2020-04-13,32.0,1.0,2.0,8.0,23.0,1020725.0,29.0,2.0
2020-04-14,38.0,11.0,5.0,7.0,22.0,1019255.0,44.0,15.0
2020-04-15,44.0,11.0,11.0,9.0,29.0,1020707.0,50.0,6.0
2020-04-16,57.0,17.0,6.0,9.0,38.0,1021354.0,62.0,12.0
2020-04-17,81.0,20.0,11.0,8.0,42.0,1021699.0,74.0,12.0
2020-04-18,99.0,25.0,10.0,11.0,40.0,1020855.0,86.0,12.0
2020-04-19,113.0,25.0,20.0,15.0,48.0,1020116.0,106.0,20.0
2020-04-20,122.0,34.0,19.0,9.0,55.0,1020725.0,132.0,26.0
2020-04-21,154.0,36.0,30.0,18.0,59.0,1020868.0,162.0,30.0
2020-04-22,190.0,28.0,43.0,27.0,82.0,1020145.0,192.0,30.0
2020-04-23,214.0,45.0,27.0,30.0,98.0,1019784.0,237.0,45.0
2020-04-24,270.0,53.0,33.0,37.0,124.0,1019317.0,272.0,35.0
2020-04-25,333.0,62.0,50.0,34.0,140.0,1019896.0,332.0,60.0
2020-04-26,414.0,98.0,49.0,43.0,183.0,1021803.0,395.0,63.0
2020-04-27,458.0,104.0,81.0,59.0,197.0,1020777.0,483.0,88.0
2020-04-28,538.0,100.0,105.0,69.0,241.0,1021630.0,566.0,83.0
2020-04-29,656.0,150.0,90.0,91.0,284.0,1020618.0,679.0,113.0
2020-04-30,769.0,158.0,115.0,100.0,335.0,1020076.0,795.0,116.0
2020-05-01,904.0,219.0,141.0,107.0,409.0,1019764.0,965.0,170.0
2020-05-02,1141.0,251.0,179.0,136.0,508.0,1019065.0,1152.0,187.0
2020-05-03,1335.0,255.0,230.0,177.0,604.0,1018761.0,1361.0,209.0
2020-05-04,1593.0,317.0,257.0,226.0,728.0,1018698.0,1613.0,252.0
2020-05-05,1985.0,406.0,299.0,246.0,839.0,1019879.0,1940.0,327.0
2020-05-06,2346.0,516.0,360.0,278.0,1032.0,1019572.0,2336.0,396.0
2020-05-07,2826.0,639.0,475.0,321.0,1205.0,1019684.0,2842.0,506.0
2020-05-08,3330.0,731.0,586.0,401.0,1428.0,1017895.0,3413.0,571.0
2020-05-09,4115.0,870.0,661.0,550.0,1760.0,1017801.0,4084.0,671.0
2020-05-10,5012.0,1120.0,797.0,657.0,2156.0,1016104.0,4956.0,872.0
2020-05-11,5965.0,1326.0,1021.0,723.0,2640.0,1014624.0,5988.0,1032.0
2020-05-12,7248.0,1566.0,1249.0,904.0,3112.0,1010247.0,7210.0,1222.0
2020-05-13,8629.0,1788.0,1475.0,1114.0,3745.0,1007504.0,8595.0,1385.0
2020-05-14,10546.0,2141.0,1688.0,1320.0,4544.0,1005554.0,10255.0,1660.0
2020-05-15,12682.0,2594.0,2025.0,1562.0,5540.0,1000752.0,12366.0,2111.0
2020-05-16,14947.0,3276.0,2437.0,1815.0,6732.0,997260.0,14928.0,2562.0
2020-05-17,17893.0,3885.0,3024.0,2217.0,8036.0,990068.0,17941.0,3013.0
2020-05-18,21713.0,4636.0,3679.0,2751.0,9676.0,983217.0,21623.0,3682.0
2020-05-19,26405.0,5691.0,4289.0,3371.0,11580.0,974600.0,26073.0,4450.0
2020-05-20,31442.0,6780.0,5261.0,4005.0,13932.0,964823.0,31467.0,5394.0
2020-05-21,37509.0,8165.0,6240.0,4895.0,16633.0,951772.0,37849.0,6382.0
2020-05-22,44989.0,9574.0,7443.0,5895.0,20111.0,937784.0,45242.0,7393.0
2020-05-23,52711.0,11508.0,8870.0,6924.0,24204.0,921263.0,54373.0,9131.0
2020-05-24,62414.0,13468.0,10766.0,8313.0,29167.0,901844.0,64777.0,10404.0
2020-05-25,73268.0,15973.0,12776.0,9782.0,34924.0,878734.0,77277.0,12500.0
2020-05-26,84706.0,18774.0,14892.0,11513.0,41905.0,853530.0,91863.0,14586.0
2020-05-27,98044.0,21937.0,17412.0,13926.0,49834.0,825505.0,108711.0,16848.0
2020-05-28,112819.0,25161.0,20376.0,16291.0,59771.0,793340.0,128020.0,19309.0
2020-05-29,128163.0,29177.0,23539.0,18701.0,71125.0,757320.0,150344.0,22324.0
2020-05-30,144354.0,32758.0,27273.0,22055.0,84214.0,717030.0,175441.0,25097.0
2020-05-31,161093.0,37197.0,30830.0,25484.0,99308.0,673402.0,203629.0,28188.0
2020-06-01,176919.0,41379.0,35032.0,28899.0,116740.0,627024.0,234592.0,30963.0
2020-06-02,192669.0,45945.0,39018.0,32981.0,136451.0,578497.0,268911.0,34319.0
2020-06-03,206756.0,50770.0,43473.0,36717.0,159210.0,529400.0,306366.0,37455.0
2020-06-04,218784.0,54834.0,47800.0,41084.0,183833.0,480381.0,346224.0,39858.0
2020-06-05,227892.0,57659.0,52109.0,45555.0,212150.0,431249.0,387714.0,41490.0
2020-06-06,233179.0,60788.0,55232.0,49310.0,242273.0,385509.0,431139.0,43425.0
2020-06-07,236084.0,62539.0,57956.0,52625.0,275678.0,341577.0,475048.0,43909.0
2020-06-08,234559.0,63847.0,60203.0,56119.0,310793.0,301169.0,519455.0,44407.0
2020-06-09,229569.0,63595.0,62274.0,58440.0,348424.0,264817.0,563034.0,43579.0
2020-06-10,221997.0,62610.0,61912.0,60327.0,387415.0,233434.0,605461.0,42427.0
2020-06-11,211228.0,61178.0,61257.0,61266.0,426885.0,205011.0,646441.0,40980.0
2020-06-12,199849.0,58319.0,61200.0,61027.0,466147.0,180365.0,685044.0,38603.0
2020-06-13,186446.0,55795.0,59188.0,60270.0,505512.0,159743.0,721762.0,36718.0
2020-06-14,172614.0,52415.0,56666.0,59046.0,544550.0,141767.0,755866.0,34104.0
2020-06-15,158810.0,48759.0,53601.0,56928.0,583037.0,126728.0,787232.0,31366.0
2020-06-16,144811.0,45412.0,50416.0,54211.0,619252.0,114055.0,816155.0,28923.0
2020-06-17,130960.0,41339.0,46945.0,51400.0,653284.0,103309.0,842430.0,26275.0
2020-06-18,118038.0,37944.0,43397.0,48261.0,685507.0,94274.0,866237.0,23807.0
2020-06-19,106194.0,34212.0,39664.0,44847.0,716112.0,86553.0,887596.0,21359.0
2020-06-20,95009.0,30957.0,36277.0,41195.0,744822.0,80580.0,906657.0,19061.0
2020-06-21,84395.0,27668.0,33017.0,38015.0,770939.0,74862.0,923743.0,17086.0
2020-06-22,75026.0,24960.0,29318.0,34577.0,793481.0,70311.0,939056.0,15313.0
