time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969735.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,971548.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,978604.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,985387.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,1.0,0.0,991125.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,995632.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999797.0,0.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,0.0,1002752.0,0.0,0.0
2020-03-14,4.0,0.0,1.0,0.0,1.0,1004445.0,0.0,0.0
2020-03-15,3.0,1.0,0.0,0.0,1.0,1006204.0,1.0,1.0
2020-03-16,3.0,0.0,0.0,1.0,2.0,1008496.0,1.0,0.0
2020-03-17,3.0,0.0,1.0,1.0,2.0,1008419.0,2.0,1.0
2020-03-18,5.0,0.0,0.0,1.0,3.0,1010211.0,2.0,0.0
2020-03-19,6.0,0.0,0.0,0.0,2.0,1011363.0,2.0,0.0
2020-03-20,6.0,0.0,0.0,0.0,3.0,1011088.0,3.0,1.0
2020-03-21,7.0,0.0,0.0,0.0,3.0,1012154.0,3.0,0.0
2020-03-22,6.0,0.0,1.0,0.0,3.0,1011779.0,4.0,1.0
2020-03-23,8.0,0.0,2.0,0.0,3.0,1012904.0,4.0,0.0
2020-03-24,14.0,0.0,1.0,0.0,4.0,1011972.0,4.0,0.0
2020-03-25,12.0,1.0,2.0,1.0,4.0,1013906.0,5.0,1.0
2020-03-26,15.0,0.0,5.0,2.0,5.0,1014321.0,6.0,1.0
2020-03-27,18.0,4.0,3.0,1.0,10.0,1015136.0,12.0,6.0
2020-03-28,21.0,4.0,2.0,2.0,12.0,1015118.0,15.0,3.0
2020-03-29,28.0,5.0,4.0,4.0,10.0,1016171.0,18.0,3.0
2020-03-30,30.0,10.0,5.0,7.0,16.0,1016703.0,28.0,10.0
2020-03-31,42.0,10.0,10.0,4.0,20.0,1016510.0,37.0,9.0
2020-04-01,49.0,14.0,9.0,3.0,22.0,1016742.0,49.0,12.0
2020-04-02,63.0,20.0,9.0,8.0,31.0,1017441.0,63.0,14.0
2020-04-03,76.0,14.0,16.0,10.0,35.0,1018102.0,75.0,12.0
2020-04-04,83.0,23.0,15.0,11.0,45.0,1017463.0,93.0,18.0
2020-04-05,110.0,16.0,23.0,17.0,56.0,1017732.0,105.0,12.0
2020-04-06,141.0,23.0,18.0,17.0,69.0,1018574.0,124.0,19.0
2020-04-07,150.0,33.0,20.0,19.0,76.0,1017325.0,148.0,24.0
2020-04-08,174.0,44.0,25.0,28.0,77.0,1017263.0,177.0,29.0
2020-04-09,220.0,42.0,37.0,37.0,91.0,1017916.0,212.0,35.0
2020-04-10,265.0,58.0,49.0,38.0,127.0,1018379.0,261.0,49.0
2020-04-11,326.0,61.0,50.0,42.0,152.0,1019863.0,305.0,44.0
2020-04-12,360.0,88.0,55.0,52.0,181.0,1018254.0,368.0,63.0
2020-04-13,437.0,89.0,69.0,47.0,221.0,1017916.0,432.0,64.0
2020-04-14,551.0,116.0,89.0,67.0,258.0,1019253.0,515.0,83.0
2020-04-15,623.0,152.0,101.0,74.0,290.0,1018564.0,633.0,118.0
2020-04-16,738.0,185.0,133.0,89.0,344.0,1017371.0,773.0,140.0
2020-04-17,926.0,222.0,173.0,122.0,420.0,1014864.0,945.0,172.0
2020-04-18,1130.0,248.0,218.0,149.0,503.0,1015087.0,1129.0,184.0
2020-04-19,1385.0,286.0,225.0,184.0,626.0,1015856.0,1341.0,212.0
2020-04-20,1644.0,364.0,246.0,207.0,747.0,1015717.0,1606.0,265.0
2020-04-21,1942.0,412.0,317.0,238.0,882.0,1016307.0,1932.0,326.0
2020-04-22,2323.0,445.0,422.0,270.0,997.0,1016071.0,2299.0,367.0
2020-04-23,2830.0,561.0,462.0,362.0,1191.0,1015799.0,2749.0,450.0
2020-04-24,3424.0,705.0,585.0,394.0,1409.0,1014701.0,3309.0,560.0
