time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,0.0,0.0,0.0,970862.0,0.0,0.0
2020-03-07,4.0,2.0,0.0,0.0,0.0,972545.0,0.0,0.0
2020-03-08,4.0,1.0,0.0,0.0,1.0,980139.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,986997.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,2.0,992671.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,2.0,996565.0,2.0,2.0
2020-03-12,0.0,1.0,0.0,0.0,1.0,1000165.0,2.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,1.0,1002702.0,2.0,0.0
2020-03-14,3.0,1.0,0.0,0.0,0.0,1005122.0,3.0,1.0
2020-03-15,4.0,2.0,1.0,0.0,1.0,1006708.0,5.0,2.0
2020-03-16,7.0,1.0,0.0,1.0,2.0,1007794.0,5.0,0.0
2020-03-17,9.0,2.0,1.0,1.0,3.0,1010650.0,7.0,2.0
2020-03-18,8.0,1.0,3.0,0.0,2.0,1011366.0,8.0,1.0
2020-03-19,6.0,2.0,2.0,0.0,3.0,1011245.0,10.0,2.0
2020-03-20,9.0,3.0,2.0,1.0,4.0,1012053.0,12.0,2.0
2020-03-21,18.0,5.0,1.0,3.0,2.0,1011390.0,14.0,2.0
2020-03-22,18.0,3.0,4.0,4.0,3.0,1011727.0,15.0,1.0
2020-03-23,24.0,7.0,3.0,3.0,7.0,1012512.0,19.0,4.0
2020-03-24,24.0,7.0,4.0,1.0,8.0,1013227.0,22.0,3.0
2020-03-25,27.0,7.0,4.0,4.0,7.0,1012436.0,27.0,5.0
2020-03-26,37.0,6.0,5.0,7.0,12.0,1013410.0,30.0,3.0
2020-03-27,36.0,15.0,5.0,3.0,14.0,1013089.0,43.0,13.0
2020-03-28,35.0,12.0,3.0,3.0,21.0,1015031.0,51.0,8.0
2020-03-29,35.0,12.0,9.0,7.0,30.0,1016008.0,59.0,8.0
2020-03-30,49.0,7.0,15.0,9.0,33.0,1015351.0,66.0,7.0
2020-03-31,49.0,11.0,10.0,14.0,33.0,1015839.0,77.0,11.0
2020-04-01,53.0,9.0,8.0,13.0,32.0,1015484.0,85.0,8.0
2020-04-02,75.0,20.0,9.0,13.0,34.0,1016437.0,100.0,15.0
2020-04-03,94.0,19.0,21.0,10.0,45.0,1017223.0,112.0,12.0
2020-04-04,125.0,27.0,19.0,19.0,53.0,1016389.0,135.0,23.0
2020-04-05,132.0,38.0,22.0,20.0,61.0,1016638.0,162.0,27.0
2020-04-06,177.0,31.0,34.0,22.0,63.0,1017437.0,182.0,20.0
2020-04-07,206.0,48.0,42.0,18.0,69.0,1017417.0,223.0,41.0
2020-04-08,248.0,58.0,39.0,31.0,101.0,1017866.0,265.0,42.0
2020-04-09,288.0,74.0,52.0,28.0,123.0,1018651.0,317.0,52.0
2020-04-10,339.0,79.0,63.0,42.0,146.0,1018813.0,375.0,58.0
2020-04-11,419.0,105.0,77.0,51.0,180.0,1018119.0,463.0,88.0
2020-04-12,514.0,111.0,82.0,60.0,219.0,1017821.0,543.0,80.0
2020-04-13,630.0,145.0,103.0,75.0,266.0,1018615.0,649.0,106.0
2020-04-14,709.0,176.0,109.0,89.0,337.0,1019383.0,780.0,131.0
2020-04-15,854.0,196.0,141.0,96.0,388.0,1019925.0,923.0,143.0
2020-04-16,1067.0,222.0,170.0,134.0,420.0,1018551.0,1090.0,167.0
2020-04-17,1252.0,264.0,179.0,150.0,501.0,1017035.0,1306.0,216.0
2020-04-18,1510.0,329.0,220.0,164.0,628.0,1016593.0,1557.0,251.0
2020-04-19,1773.0,376.0,319.0,209.0,765.0,1017128.0,1869.0,312.0
2020-04-20,2163.0,436.0,357.0,292.0,911.0,1016755.0,2228.0,359.0
2020-04-21,2607.0,534.0,376.0,343.0,1093.0,1016151.0,2630.0,402.0
2020-04-22,3065.0,661.0,498.0,364.0,1324.0,1015591.0,3143.0,513.0
2020-04-23,3584.0,777.0,608.0,425.0,1592.0,1015443.0,3727.0,584.0
2020-04-24,4355.0,934.0,714.0,553.0,1885.0,1013811.0,4432.0,705.0
2020-04-25,5239.0,1092.0,847.0,676.0,2258.0,1011951.0,5318.0,886.0
2020-04-26,6319.0,1386.0,987.0,798.0,2783.0,1009173.0,6417.0,1099.0
2020-04-27,7597.0,1639.0,1316.0,934.0,3392.0,1007254.0,7699.0,1282.0
2020-04-28,9450.0,1923.0,1507.0,1217.0,3963.0,1002901.0,9153.0,1454.0
2020-04-29,11194.0,2383.0,1851.0,1439.0,4792.0,1000450.0,11086.0,1933.0
2020-04-30,13434.0,2822.0,2197.0,1692.0,5844.0,996337.0,13340.0,2254.0
2020-05-01,16159.0,3462.0,2703.0,2064.0,7194.0,991063.0,16032.0,2692.0
2020-05-02,19451.0,4085.0,3208.0,2541.0,8730.0,984296.0,19182.0,3150.0
2020-05-03,23486.0,4867.0,3820.0,3034.0,10271.0,976260.0,23078.0,3896.0
2020-05-04,27763.0,5889.0,4626.0,3584.0,12429.0,969215.0,27785.0,4707.0
2020-05-05,33182.0,7026.0,5512.0,4140.0,14978.0,959321.0,33315.0,5530.0
2020-05-06,39301.0,8404.0,6547.0,5076.0,17929.0,946457.0,39901.0,6586.0
2020-05-07,46327.0,9903.0,7880.0,6026.0,21459.0,932618.0,47667.0,7766.0
2020-05-08,55027.0,11889.0,9260.0,7263.0,25698.0,916122.0,56913.0,9246.0
2020-05-09,65051.0,13996.0,11166.0,8670.0,30831.0,894891.0,67897.0,10984.0
2020-05-10,76039.0,16552.0,13053.0,10271.0,36839.0,872325.0,80714.0,12817.0
2020-05-11,88256.0,19480.0,15584.0,12210.0,43928.0,846992.0,95697.0,14983.0
2020-05-12,102161.0,22854.0,18152.0,14606.0,52564.0,816935.0,113143.0,17446.0
2020-05-13,117261.0,26379.0,21049.0,16913.0,62757.0,782035.0,133314.0,20171.0
2020-05-14,132867.0,30102.0,24562.0,19927.0,74759.0,744179.0,156436.0,23122.0
2020-05-15,148618.0,34188.0,28131.0,23009.0,88366.0,703467.0,182614.0,26178.0
2020-05-16,165246.0,38398.0,32014.0,26417.0,103721.0,660208.0,211556.0,28942.0
2020-05-17,181744.0,42624.0,36263.0,30054.0,121604.0,612545.0,243606.0,32050.0
2020-05-18,196691.0,46853.0,40135.0,33952.0,141810.0,564467.0,278410.0,34804.0
2020-05-19,209632.0,51255.0,44637.0,38272.0,165212.0,515532.0,316345.0,37935.0
2020-05-20,220570.0,54879.0,48630.0,42074.0,190779.0,466958.0,356401.0,40056.0
2020-05-21,228779.0,58196.0,52651.0,46076.0,220247.0,420253.0,398434.0,42033.0
2020-05-22,232948.0,60494.0,55623.0,50147.0,251656.0,374779.0,441745.0,43311.0
2020-05-23,233540.0,62653.0,58459.0,53355.0,284649.0,332717.0,486060.0,44315.0
2020-05-24,232018.0,62993.0,60064.0,56167.0,319837.0,294002.0,529480.0,43420.0
2020-05-25,226540.0,62683.0,61651.0,58243.0,355789.0,259187.0,572512.0,43032.0
2020-05-26,218579.0,61941.0,61982.0,59616.0,394085.0,228451.0,614601.0,42089.0
2020-05-27,208036.0,60518.0,61523.0,61127.0,432575.0,201172.0,655150.0,40549.0
2020-05-28,195484.0,58276.0,60403.0,61090.0,472456.0,177653.0,693778.0,38628.0
2020-05-29,182889.0,55060.0,58248.0,60117.0,511335.0,156889.0,729533.0,35755.0
2020-05-30,169645.0,51755.0,55692.0,58624.0,550328.0,139759.0,762885.0,33352.0
2020-05-31,155460.0,48228.0,52746.0,56095.0,587584.0,125894.0,793821.0,30936.0
2020-06-01,142253.0,44690.0,49298.0,53519.0,621773.0,113354.0,821961.0,28140.0
