time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969471.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.0,972318.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978581.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985715.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,0.0,992276.0,1.0,1.0
2020-03-11,1.0,1.0,1.0,1.0,0.0,997373.0,2.0,1.0
2020-03-12,3.0,0.0,2.0,0.0,2.0,1001301.0,2.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003755.0,2.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,0.0,1005838.0,2.0,0.0
2020-03-15,4.0,1.0,0.0,1.0,2.0,1009034.0,3.0,1.0
2020-03-16,5.0,1.0,1.0,1.0,1.0,1010653.0,3.0,0.0
2020-03-17,5.0,2.0,2.0,0.0,1.0,1010854.0,4.0,1.0
2020-03-18,8.0,3.0,3.0,3.0,3.0,1011185.0,6.0,2.0
2020-03-19,6.0,5.0,0.0,3.0,4.0,1009930.0,10.0,4.0
2020-03-20,6.0,3.0,2.0,1.0,7.0,1011106.0,12.0,2.0
2020-03-21,8.0,2.0,0.0,2.0,5.0,1012181.0,12.0,0.0
2020-03-22,12.0,1.0,1.0,0.0,5.0,1012442.0,13.0,1.0
2020-03-23,11.0,3.0,1.0,0.0,8.0,1013872.0,15.0,2.0
2020-03-24,10.0,2.0,4.0,1.0,6.0,1014301.0,18.0,3.0
2020-03-25,16.0,5.0,5.0,1.0,6.0,1014646.0,20.0,2.0
2020-03-26,21.0,3.0,4.0,4.0,8.0,1014238.0,23.0,3.0
2020-03-27,18.0,4.0,6.0,1.0,8.0,1014922.0,28.0,5.0
2020-03-28,21.0,4.0,2.0,3.0,10.0,1013970.0,30.0,2.0
2020-03-29,23.0,5.0,7.0,5.0,16.0,1014221.0,35.0,5.0
2020-03-30,38.0,6.0,9.0,9.0,19.0,1015563.0,42.0,7.0
2020-03-31,41.0,11.0,6.0,10.0,26.0,1013956.0,52.0,10.0
2020-04-01,43.0,6.0,8.0,10.0,26.0,1014246.0,56.0,4.0
2020-04-02,55.0,10.0,9.0,6.0,32.0,1015020.0,65.0,9.0
2020-04-03,58.0,15.0,6.0,9.0,36.0,1016139.0,75.0,10.0
2020-04-04,66.0,21.0,8.0,8.0,32.0,1016677.0,89.0,14.0
2020-04-05,69.0,20.0,16.0,5.0,37.0,1017254.0,103.0,14.0
2020-04-06,99.0,26.0,15.0,16.0,45.0,1018026.0,123.0,20.0
2020-04-07,105.0,28.0,17.0,17.0,57.0,1018271.0,139.0,16.0
2020-04-08,144.0,36.0,28.0,14.0,73.0,1018807.0,155.0,16.0
2020-04-09,187.0,38.0,40.0,21.0,89.0,1019572.0,183.0,28.0
2020-04-10,229.0,45.0,38.0,31.0,113.0,1018624.0,224.0,41.0
2020-04-11,248.0,54.0,42.0,30.0,128.0,1018954.0,267.0,43.0
2020-04-12,313.0,67.0,65.0,34.0,150.0,1018458.0,317.0,50.0
2020-04-13,366.0,72.0,67.0,55.0,177.0,1017296.0,383.0,66.0
2020-04-14,436.0,94.0,78.0,61.0,184.0,1018050.0,457.0,74.0
2020-04-15,521.0,100.0,81.0,69.0,226.0,1018968.0,535.0,78.0
2020-04-16,661.0,131.0,114.0,68.0,290.0,1019286.0,649.0,114.0
2020-04-17,781.0,178.0,134.0,85.0,338.0,1019770.0,797.0,148.0
2020-04-18,959.0,193.0,167.0,119.0,422.0,1019324.0,947.0,150.0
2020-04-19,1129.0,238.0,178.0,151.0,472.0,1018474.0,1134.0,187.0
2020-04-20,1361.0,313.0,227.0,181.0,590.0,1018744.0,1370.0,236.0
2020-04-21,1719.0,372.0,258.0,224.0,727.0,1018165.0,1637.0,267.0
2020-04-22,2060.0,468.0,305.0,266.0,856.0,1017242.0,1993.0,356.0
2020-04-23,2425.0,538.0,395.0,319.0,1076.0,1017066.0,2411.0,418.0
2020-04-24,2960.0,653.0,487.0,346.0,1285.0,1015998.0,2915.0,504.0
2020-04-25,3528.0,723.0,585.0,451.0,1506.0,1014503.0,3503.0,588.0
2020-04-26,4323.0,968.0,715.0,556.0,1840.0,1013324.0,4264.0,761.0
2020-04-27,5300.0,1166.0,879.0,681.0,2200.0,1011816.0,5148.0,884.0
2020-04-28,6443.0,1324.0,1082.0,750.0,2674.0,1009313.0,6191.0,1043.0
