time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970414.0,0.0,0.0
2020-03-07,3.0,1.0,2.0,0.0,0.0,972378.0,1.0,1.0
2020-03-08,5.0,0.0,4.0,1.0,0.0,979192.0,3.0,2.0
2020-03-09,6.0,1.0,4.0,1.0,0.0,986729.0,5.0,2.0
2020-03-10,3.0,2.0,3.0,2.0,0.0,992387.0,8.0,3.0
2020-03-11,5.0,1.0,2.0,0.0,1.0,997506.0,8.0,0.0
2020-03-12,6.0,1.0,1.0,1.0,1.0,1000827.0,8.0,0.0
2020-03-13,6.0,0.0,1.0,1.0,3.0,1003113.0,8.0,0.0
2020-03-14,2.0,1.0,1.0,1.0,2.0,1005775.0,10.0,2.0
2020-03-15,2.0,0.0,0.0,0.0,5.0,1006981.0,10.0,0.0
2020-03-16,1.0,1.0,0.0,0.0,5.0,1009576.0,10.0,0.0
2020-03-17,2.0,2.0,0.0,1.0,5.0,1010102.0,11.0,1.0
2020-03-18,1.0,0.0,1.0,0.0,5.0,1010832.0,11.0,0.0
2020-03-19,2.0,1.0,1.0,1.0,5.0,1011127.0,11.0,0.0
2020-03-20,6.0,1.0,1.0,0.0,2.0,1011342.0,11.0,0.0
2020-03-21,6.0,2.0,0.0,1.0,3.0,1011970.0,12.0,1.0
2020-03-22,7.0,3.0,0.0,1.0,5.0,1012320.0,13.0,1.0
2020-03-23,9.0,5.0,0.0,2.0,7.0,1012726.0,17.0,4.0
2020-03-24,16.0,2.0,3.0,0.0,8.0,1012258.0,18.0,1.0
2020-03-25,10.0,2.0,3.0,2.0,9.0,1013253.0,23.0,5.0
2020-03-26,20.0,3.0,3.0,3.0,14.0,1014946.0,25.0,2.0
2020-03-27,23.0,5.0,2.0,3.0,13.0,1015196.0,28.0,3.0
2020-03-28,24.0,6.0,5.0,1.0,15.0,1013935.0,32.0,4.0
2020-03-29,32.0,6.0,4.0,6.0,17.0,1014290.0,38.0,6.0
2020-03-30,38.0,10.0,9.0,4.0,14.0,1014447.0,44.0,6.0
2020-03-31,44.0,9.0,11.0,7.0,19.0,1014685.0,55.0,11.0
2020-04-01,56.0,15.0,10.0,14.0,21.0,1014892.0,70.0,15.0
2020-04-02,63.0,18.0,12.0,13.0,31.0,1015683.0,85.0,15.0
2020-04-03,83.0,22.0,10.0,13.0,38.0,1017475.0,99.0,14.0
2020-04-04,85.0,28.0,11.0,11.0,52.0,1016916.0,113.0,14.0
2020-04-05,113.0,24.0,21.0,10.0,59.0,1016698.0,133.0,20.0
2020-04-06,132.0,22.0,31.0,19.0,69.0,1017816.0,157.0,24.0
2020-04-07,170.0,34.0,36.0,21.0,86.0,1017270.0,187.0,30.0
2020-04-08,216.0,48.0,36.0,22.0,110.0,1016602.0,224.0,37.0
2020-04-09,272.0,52.0,47.0,37.0,126.0,1016305.0,267.0,43.0
2020-04-10,333.0,63.0,47.0,47.0,140.0,1016692.0,325.0,58.0
2020-04-11,402.0,69.0,61.0,49.0,176.0,1015823.0,382.0,57.0
2020-04-12,485.0,97.0,66.0,69.0,203.0,1015853.0,462.0,80.0
2020-04-13,536.0,107.0,87.0,62.0,249.0,1016412.0,537.0,75.0
2020-04-14,598.0,118.0,104.0,98.0,304.0,1015786.0,652.0,115.0
2020-04-15,730.0,167.0,113.0,106.0,367.0,1015354.0,781.0,129.0
2020-04-16,906.0,198.0,149.0,119.0,409.0,1015115.0,935.0,154.0
2020-04-17,1132.0,213.0,170.0,133.0,467.0,1015773.0,1109.0,174.0
2020-04-18,1351.0,277.0,197.0,173.0,523.0,1015569.0,1350.0,241.0
2020-04-19,1581.0,340.0,250.0,197.0,671.0,1015514.0,1601.0,251.0
2020-04-20,1928.0,414.0,300.0,250.0,799.0,1015093.0,1929.0,328.0
2020-04-21,2347.0,483.0,376.0,257.0,1017.0,1013291.0,2313.0,384.0
2020-04-22,2787.0,612.0,503.0,358.0,1228.0,1013504.0,2813.0,500.0
2020-04-23,3427.0,725.0,577.0,475.0,1492.0,1011588.0,3379.0,566.0
2020-04-24,4125.0,907.0,677.0,538.0,1784.0,1010895.0,4112.0,733.0
2020-04-25,5076.0,1047.0,830.0,615.0,2248.0,1010161.0,4941.0,829.0
2020-04-26,6016.0,1226.0,977.0,737.0,2619.0,1007856.0,5926.0,985.0
2020-04-27,7251.0,1528.0,1241.0,951.0,3185.0,1006823.0,7135.0,1209.0
2020-04-28,8896.0,1897.0,1414.0,1158.0,3885.0,1003696.0,8560.0,1425.0
2020-04-29,10683.0,2275.0,1746.0,1296.0,4650.0,1000125.0,10349.0,1789.0
2020-04-30,12679.0,2725.0,2148.0,1647.0,5600.0,996810.0,12490.0,2141.0
2020-05-01,15391.0,3170.0,2533.0,1973.0,6666.0,992028.0,15042.0,2552.0
2020-05-02,18351.0,3776.0,3106.0,2271.0,8044.0,986547.0,18078.0,3036.0
2020-05-03,21696.0,4672.0,3592.0,2755.0,9711.0,979487.0,21742.0,3664.0
2020-05-04,25845.0,5550.0,4251.0,3356.0,11629.0,971167.0,26086.0,4344.0
2020-05-05,31169.0,6595.0,5148.0,4095.0,13943.0,959934.0,31280.0,5194.0
2020-05-06,37400.0,7909.0,6241.0,4878.0,16671.0,947747.0,37426.0,6146.0
2020-05-07,44192.0,9509.0,7525.0,5830.0,19986.0,934801.0,44931.0,7505.0
2020-05-08,51959.0,11280.0,8830.0,6969.0,24100.0,918439.0,53870.0,8939.0
2020-05-09,61288.0,13347.0,10322.0,8231.0,28860.0,900682.0,64245.0,10375.0
2020-05-10,71860.0,15569.0,12351.0,9735.0,34884.0,879012.0,76331.0,12086.0
2020-05-11,83862.0,18539.0,14787.0,11348.0,41758.0,854045.0,90678.0,14347.0
2020-05-12,97190.0,21553.0,17480.0,13861.0,49521.0,824719.0,107416.0,16738.0
2020-05-13,111820.0,25080.0,20472.0,16295.0,59096.0,790107.0,126582.0,19166.0
2020-05-14,127617.0,28670.0,23357.0,18995.0,70464.0,755109.0,148337.0,21755.0
2020-05-15,143596.0,32539.0,26922.0,21834.0,83489.0,715185.0,173262.0,24925.0
2020-05-16,159940.0,37148.0,30983.0,25085.0,98736.0,671835.0,201323.0,28061.0
2020-05-17,175963.0,41447.0,35069.0,29085.0,116385.0,627504.0,232345.0,31022.0
2020-05-18,192506.0,45782.0,39028.0,33156.0,135985.0,579545.0,266527.0,34182.0
2020-05-19,206121.0,50210.0,43352.0,36822.0,158591.0,530508.0,303598.0,37071.0
2020-05-20,217849.0,53885.0,47533.0,41170.0,183906.0,482398.0,343111.0,39513.0
2020-05-21,226643.0,56990.0,51897.0,45045.0,211729.0,434206.0,384416.0,41305.0
2020-05-22,232391.0,60434.0,54996.0,48893.0,241839.0,387051.0,427526.0,43110.0
2020-05-23,234928.0,61817.0,57995.0,52554.0,274289.0,343855.0,471448.0,43922.0
2020-05-24,233039.0,63058.0,59766.0,55456.0,309487.0,303890.0,515545.0,44097.0
2020-05-25,228564.0,63197.0,61240.0,57843.0,346028.0,267418.0,559054.0,43509.0
2020-05-26,221490.0,62526.0,61705.0,59373.0,384583.0,235548.0,601421.0,42367.0
2020-05-27,211941.0,60839.0,61428.0,60547.0,424142.0,207089.0,642220.0,40799.0
2020-05-28,200297.0,58792.0,60193.0,60693.0,464007.0,182333.0,681459.0,39239.0
2020-05-29,187739.0,55867.0,58834.0,60073.0,503208.0,160931.0,718106.0,36647.0
2020-05-30,173972.0,52439.0,56554.0,59003.0,541464.0,142981.0,752389.0,34283.0
2020-05-31,159679.0,49062.0,53974.0,56990.0,579160.0,127857.0,783989.0,31600.0
2020-06-01,145764.0,45124.0,50240.0,54736.0,615930.0,115173.0,812774.0,28785.0
2020-06-02,132149.0,41549.0,46927.0,51781.0,649989.0,104314.0,839371.0,26597.0
2020-06-03,119722.0,37550.0,43768.0,48343.0,682697.0,95235.0,863001.0,23630.0
2020-06-04,107411.0,34233.0,39698.0,45031.0,713146.0,87794.0,884604.0,21603.0
2020-06-05,95649.0,31222.0,35657.0,41550.0,740104.0,81470.0,903907.0,19303.0
2020-06-06,85349.0,27954.0,32483.0,37870.0,767203.0,75991.0,920995.0,17088.0
2020-06-07,76153.0,24801.0,29149.0,34666.0,791312.0,71431.0,936039.0,15044.0
2020-06-08,67096.0,22039.0,26507.0,31551.0,811619.0,67390.0,949701.0,13662.0
2020-06-09,59194.0,19648.0,23796.0,28307.0,830427.0,64190.0,961714.0,12013.0
2020-06-10,52225.0,17524.0,21293.0,25276.0,847723.0,61401.0,972334.0,10620.0
2020-06-11,46173.0,15367.0,18924.0,22733.0,862416.0,58945.0,981667.0,9333.0
2020-06-12,40496.0,13610.0,16602.0,20309.0,877245.0,56876.0,989756.0,8089.0
2020-06-13,35609.0,12194.0,14709.0,18085.0,889067.0,54944.0,997108.0,7352.0
2020-06-14,31178.0,10762.0,13146.0,15853.0,901749.0,53773.0,1003577.0,6469.0
2020-06-15,27338.0,9292.0,11708.0,14227.0,911814.0,52143.0,1009145.0,5568.0
2020-06-16,23992.0,8126.0,10263.0,12691.0,921457.0,51022.0,1014025.0,4880.0
2020-06-17,21008.0,7238.0,8964.0,11192.0,928342.0,50088.0,1018347.0,4322.0
2020-06-18,18489.0,6359.0,7926.0,9728.0,935439.0,49107.0,1022150.0,3803.0
2020-06-19,16136.0,5527.0,6944.0,8618.0,941710.0,48693.0,1025391.0,3241.0
2020-06-20,14142.0,4907.0,6057.0,7494.0,947194.0,48214.0,1028297.0,2906.0
2020-06-21,12455.0,4237.0,5354.0,6599.0,951601.0,47548.0,1030781.0,2484.0
2020-06-22,10891.0,3931.0,4697.0,5775.0,955405.0,47064.0,1033086.0,2305.0
2020-06-23,9610.0,3261.0,4171.0,5219.0,958432.0,46936.0,1034973.0,1887.0
2020-06-24,8412.0,2808.0,3613.0,4554.0,962204.0,46979.0,1036666.0,1693.0
2020-06-25,7205.0,2464.0,3138.0,3935.0,965337.0,46377.0,1038142.0,1476.0
2020-06-26,6306.0,2136.0,2750.0,3404.0,967795.0,46095.0,1039427.0,1285.0
2020-06-27,5442.0,1940.0,2329.0,2958.0,969778.0,45844.0,1040608.0,1181.0
2020-06-28,4741.0,1663.0,2144.0,2639.0,972119.0,45405.0,1041580.0,972.0
2020-06-29,4140.0,1387.0,1828.0,2275.0,974340.0,45236.0,1042415.0,835.0
2020-06-30,3643.0,1173.0,1562.0,1961.0,975239.0,44998.0,1043116.0,701.0
2020-07-01,3214.0,1034.0,1370.0,1745.0,976187.0,45115.0,1043777.0,661.0
2020-07-02,2802.0,968.0,1205.0,1537.0,975327.0,45058.0,1044348.0,571.0
2020-07-03,2411.0,864.0,1051.0,1395.0,977372.0,44781.0,1044912.0,564.0
2020-07-04,2103.0,716.0,936.0,1214.0,979441.0,44579.0,1045327.0,415.0
2020-07-05,1839.0,622.0,781.0,1031.0,979465.0,44882.0,1045703.0,376.0
2020-07-06,1590.0,546.0,686.0,829.0,978652.0,44841.0,1046023.0,320.0
