time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969950.0,0.0,0.0
2020-03-07,1.0,0.0,2.0,0.0,0.0,971822.0,0.0,0.0
2020-03-08,4.0,0.0,2.0,0.0,0.0,977917.0,0.0,0.0
2020-03-09,3.0,1.0,0.0,2.0,0.0,984859.0,1.0,1.0
2020-03-10,5.0,0.0,0.0,1.0,1.0,990427.0,1.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,995750.0,2.0,1.0
2020-03-12,2.0,0.0,1.0,0.0,1.0,999684.0,3.0,1.0
2020-03-13,3.0,0.0,0.0,1.0,0.0,1002195.0,3.0,0.0
2020-03-14,2.0,0.0,0.0,1.0,1.0,1005068.0,3.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,2.0,1005466.0,3.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1007839.0,3.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1008919.0,3.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,3.0,1010614.0,3.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,3.0,1009876.0,3.0,0.0
2020-03-20,0.0,1.0,0.0,1.0,3.0,1010706.0,4.0,1.0
2020-03-21,1.0,1.0,0.0,1.0,2.0,1010596.0,4.0,0.0
2020-03-22,3.0,1.0,0.0,1.0,2.0,1010854.0,4.0,0.0
2020-03-23,4.0,1.0,1.0,0.0,3.0,1010688.0,4.0,0.0
2020-03-24,2.0,1.0,0.0,1.0,4.0,1010725.0,4.0,0.0
2020-03-25,4.0,0.0,0.0,1.0,3.0,1012991.0,4.0,0.0
2020-03-26,3.0,0.0,0.0,0.0,4.0,1013340.0,4.0,0.0
2020-03-27,3.0,0.0,0.0,0.0,2.0,1012760.0,4.0,0.0
2020-03-28,4.0,0.0,0.0,0.0,2.0,1013588.0,4.0,0.0
2020-03-29,4.0,1.0,0.0,0.0,1.0,1013704.0,5.0,1.0
2020-03-30,5.0,0.0,0.0,0.0,5.0,1013697.0,5.0,0.0
2020-03-31,6.0,2.0,0.0,0.0,6.0,1013555.0,7.0,2.0
2020-04-01,7.0,2.0,1.0,0.0,5.0,1013355.0,8.0,1.0
2020-04-02,11.0,2.0,4.0,0.0,8.0,1013884.0,9.0,1.0
2020-04-03,18.0,2.0,6.0,3.0,7.0,1015339.0,11.0,2.0
2020-04-04,24.0,7.0,2.0,4.0,13.0,1015507.0,16.0,5.0
2020-04-05,31.0,8.0,2.0,5.0,12.0,1016532.0,22.0,6.0
2020-04-06,30.0,9.0,8.0,3.0,14.0,1017308.0,33.0,11.0
2020-04-07,45.0,9.0,10.0,4.0,15.0,1016877.0,38.0,5.0
2020-04-08,52.0,10.0,6.0,11.0,23.0,1017863.0,43.0,5.0
2020-04-09,72.0,15.0,7.0,10.0,29.0,1017804.0,54.0,11.0
2020-04-10,85.0,10.0,9.0,10.0,36.0,1017039.0,60.0,6.0
