time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970102.0,0.0,0.0
2020-03-07,3.0,1.0,2.0,0.0,0.0,970629.0,0.0,0.0
2020-03-08,4.0,1.0,2.0,1.0,0.0,978841.0,1.0,1.0
2020-03-09,3.0,1.0,0.0,2.0,1.0,985415.0,2.0,1.0
2020-03-10,2.0,0.0,0.0,0.0,2.0,990940.0,2.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,995303.0,2.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,0.0,999048.0,3.0,1.0
2020-03-13,1.0,0.0,1.0,0.0,1.0,1002746.0,3.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1005515.0,3.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,2.0,1007981.0,3.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1008479.0,3.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1008831.0,3.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,0.0,1010674.0,3.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,0.0,1011956.0,3.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1012535.0,3.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,2.0,1012171.0,3.0,0.0
2020-03-22,0.0,1.0,1.0,0.0,2.0,1012796.0,4.0,1.0
2020-03-23,2.0,3.0,1.0,0.0,2.0,1013399.0,6.0,2.0
2020-03-24,2.0,1.0,0.0,1.0,0.0,1013660.0,6.0,0.0
2020-03-25,3.0,0.0,1.0,0.0,6.0,1014699.0,6.0,0.0
2020-03-26,8.0,0.0,0.0,1.0,4.0,1014973.0,6.0,0.0
2020-03-27,11.0,1.0,0.0,0.0,4.0,1014660.0,6.0,0.0
2020-03-28,6.0,3.0,2.0,1.0,8.0,1014586.0,8.0,2.0
2020-03-29,11.0,3.0,0.0,3.0,9.0,1015966.0,9.0,1.0
2020-03-30,11.0,2.0,3.0,2.0,10.0,1017516.0,13.0,4.0
2020-03-31,15.0,5.0,5.0,2.0,9.0,1015572.0,15.0,2.0
2020-04-01,23.0,7.0,1.0,3.0,11.0,1016359.0,17.0,2.0
2020-04-02,28.0,6.0,6.0,3.0,13.0,1015887.0,23.0,6.0
2020-04-03,31.0,7.0,3.0,6.0,18.0,1017765.0,29.0,6.0
2020-04-04,35.0,10.0,5.0,9.0,14.0,1016569.0,36.0,7.0
2020-04-05,47.0,10.0,11.0,5.0,20.0,1016173.0,43.0,7.0
2020-04-06,56.0,9.0,11.0,4.0,21.0,1017829.0,51.0,8.0
2020-04-07,78.0,7.0,13.0,12.0,29.0,1017598.0,58.0,7.0
2020-04-08,80.0,15.0,9.0,17.0,38.0,1016920.0,71.0,13.0
2020-04-09,100.0,21.0,7.0,18.0,55.0,1015281.0,89.0,18.0
2020-04-10,130.0,27.0,12.0,13.0,68.0,1017290.0,108.0,19.0
2020-04-11,152.0,31.0,19.0,13.0,82.0,1016858.0,128.0,20.0
2020-04-12,185.0,31.0,23.0,23.0,97.0,1019066.0,153.0,25.0
2020-04-13,216.0,49.0,25.0,21.0,107.0,1018659.0,188.0,35.0
2020-04-14,255.0,65.0,28.0,25.0,119.0,1019411.0,238.0,50.0
2020-04-15,309.0,68.0,61.0,40.0,139.0,1018867.0,294.0,56.0
2020-04-16,384.0,81.0,61.0,55.0,159.0,1020438.0,359.0,65.0
2020-04-17,468.0,89.0,70.0,74.0,194.0,1019525.0,421.0,62.0
2020-04-18,523.0,108.0,81.0,65.0,243.0,1019760.0,508.0,87.0
2020-04-19,608.0,154.0,110.0,80.0,289.0,1020259.0,625.0,117.0
2020-04-20,796.0,183.0,150.0,93.0,332.0,1019957.0,767.0,142.0
2020-04-21,1021.0,212.0,163.0,143.0,430.0,1019248.0,937.0,170.0
2020-04-22,1156.0,246.0,179.0,158.0,511.0,1018506.0,1128.0,191.0
2020-04-23,1368.0,276.0,233.0,184.0,614.0,1018030.0,1369.0,241.0
2020-04-24,1708.0,349.0,284.0,224.0,760.0,1016389.0,1641.0,272.0
2020-04-25,2051.0,436.0,338.0,287.0,924.0,1015390.0,1990.0,349.0
2020-04-26,2441.0,557.0,406.0,308.0,1111.0,1014081.0,2427.0,437.0
2020-04-27,3108.0,659.0,508.0,377.0,1352.0,1013995.0,2917.0,490.0
2020-04-28,3775.0,820.0,550.0,519.0,1625.0,1012594.0,3524.0,607.0
2020-04-29,4434.0,946.0,717.0,536.0,1930.0,1013167.0,4267.0,743.0
2020-04-30,5410.0,1153.0,886.0,701.0,2317.0,1012053.0,5177.0,910.0
2020-05-01,6512.0,1373.0,1069.0,826.0,2816.0,1010046.0,6257.0,1080.0
2020-05-02,7934.0,1637.0,1276.0,1022.0,3426.0,1006380.0,7544.0,1287.0
2020-05-03,9520.0,2042.0,1548.0,1178.0,4121.0,1002917.0,9203.0,1659.0
2020-05-04,11437.0,2363.0,1880.0,1456.0,5007.0,999141.0,11060.0,1857.0
2020-05-05,13580.0,2929.0,2247.0,1724.0,5972.0,994898.0,13409.0,2349.0
2020-05-06,16322.0,3514.0,2759.0,2146.0,7166.0,989787.0,16175.0,2766.0
2020-05-07,19668.0,4255.0,3254.0,2615.0,8656.0,984026.0,19495.0,3320.0
2020-05-08,23571.0,4892.0,4059.0,3049.0,10326.0,976742.0,23445.0,3950.0
2020-05-09,28119.0,6004.0,4641.0,3663.0,12448.0,969006.0,28132.0,4687.0
2020-05-10,33688.0,7233.0,5585.0,4341.0,14987.0,957734.0,33736.0,5604.0
2020-05-11,40041.0,8686.0,6679.0,5235.0,18037.0,944661.0,40484.0,6748.0
2020-05-12,47434.0,10128.0,7995.0,6208.0,21566.0,931037.0,48460.0,7976.0
2020-05-13,55532.0,11922.0,9425.0,7420.0,25993.0,915188.0,57766.0,9306.0
2020-05-14,65270.0,14224.0,11107.0,8807.0,31132.0,895262.0,68850.0,11084.0
2020-05-15,76276.0,16822.0,13196.0,10580.0,37391.0,870677.0,81953.0,13103.0
2020-05-16,89208.0,19625.0,15659.0,12419.0,44471.0,844175.0,97095.0,15142.0
2020-05-17,102656.0,22775.0,18380.0,14406.0,53044.0,813579.0,114771.0,17676.0
2020-05-18,117539.0,26280.0,21238.0,17164.0,63045.0,780402.0,134958.0,20187.0
2020-05-19,133947.0,30279.0,24815.0,19836.0,74840.0,742271.0,158220.0,23262.0
2020-05-20,149822.0,34430.0,28546.0,23191.0,88845.0,701252.0,184594.0,26374.0
