time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,1.0,1.0,0.0,0.0,970231.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,2.0,0.0,971512.0,0.0,0.0
2020-03-08,0.0,1.0,0.0,2.0,0.0,979914.0,1.0,1.0
2020-03-09,0.0,0.0,2.0,0.0,2.0,987119.0,1.0,0.0
2020-03-10,2.0,1.0,1.0,1.0,2.0,994053.0,2.0,1.0
2020-03-11,0.0,0.0,1.0,0.0,1.0,999992.0,2.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,2.0,1002482.0,2.0,0.0
2020-03-13,2.0,0.0,1.0,0.0,2.0,1005173.0,2.0,0.0
2020-03-14,5.0,1.0,1.0,0.0,1.0,1006292.0,2.0,0.0
2020-03-15,6.0,1.0,1.0,0.0,1.0,1007598.0,3.0,1.0
2020-03-16,6.0,1.0,1.0,0.0,2.0,1009388.0,4.0,1.0
2020-03-17,8.0,0.0,1.0,0.0,3.0,1009936.0,4.0,0.0
2020-03-18,8.0,1.0,1.0,0.0,2.0,1010267.0,5.0,1.0
2020-03-19,6.0,4.0,1.0,1.0,2.0,1010525.0,9.0,4.0
2020-03-20,4.0,2.0,4.0,2.0,3.0,1011678.0,12.0,3.0
2020-03-21,10.0,1.0,3.0,2.0,5.0,1011850.0,14.0,2.0
2020-03-22,10.0,0.0,2.0,1.0,9.0,1011686.0,14.0,0.0
2020-03-23,9.0,1.0,1.0,0.0,8.0,1011631.0,15.0,1.0
2020-03-24,8.0,5.0,2.0,0.0,4.0,1014018.0,18.0,3.0
2020-03-25,15.0,3.0,2.0,1.0,5.0,1014965.0,18.0,0.0
2020-03-26,15.0,3.0,1.0,0.0,7.0,1015679.0,20.0,2.0
2020-03-27,18.0,3.0,3.0,1.0,8.0,1015872.0,22.0,2.0
2020-03-28,23.0,3.0,3.0,2.0,11.0,1016178.0,23.0,1.0
2020-03-29,29.0,3.0,6.0,6.0,10.0,1015255.0,27.0,4.0
2020-03-30,29.0,2.0,4.0,7.0,16.0,1015793.0,31.0,4.0
2020-03-31,34.0,3.0,8.0,2.0,21.0,1017141.0,35.0,4.0
2020-04-01,44.0,8.0,7.0,5.0,25.0,1016990.0,43.0,8.0
2020-04-02,68.0,13.0,13.0,3.0,24.0,1017117.0,52.0,9.0
2020-04-03,81.0,15.0,12.0,5.0,36.0,1017001.0,64.0,12.0
2020-04-04,80.0,22.0,14.0,12.0,35.0,1018255.0,78.0,14.0
2020-04-05,100.0,28.0,19.0,15.0,42.0,1017717.0,95.0,17.0
2020-04-06,140.0,23.0,23.0,25.0,52.0,1015845.0,116.0,21.0
2020-04-07,146.0,41.0,20.0,24.0,69.0,1016025.0,152.0,36.0
2020-04-08,185.0,38.0,26.0,23.0,86.0,1018053.0,174.0,22.0
2020-04-09,216.0,35.0,33.0,17.0,97.0,1017145.0,201.0,27.0
2020-04-10,240.0,51.0,31.0,24.0,121.0,1017084.0,241.0,40.0
2020-04-11,305.0,73.0,46.0,40.0,124.0,1017467.0,300.0,59.0
2020-04-12,389.0,92.0,76.0,42.0,153.0,1017307.0,376.0,76.0
2020-04-13,480.0,115.0,85.0,64.0,195.0,1018331.0,464.0,88.0
2020-04-14,576.0,117.0,104.0,79.0,257.0,1019100.0,554.0,90.0
2020-04-15,678.0,126.0,134.0,90.0,330.0,1017200.0,657.0,103.0
2020-04-16,833.0,192.0,126.0,112.0,384.0,1017991.0,800.0,143.0
2020-04-17,981.0,217.0,182.0,125.0,461.0,1018586.0,984.0,184.0
2020-04-18,1217.0,264.0,219.0,161.0,551.0,1019032.0,1197.0,213.0
2020-04-19,1470.0,309.0,243.0,206.0,667.0,1016162.0,1449.0,252.0
2020-04-20,1772.0,403.0,287.0,233.0,781.0,1016839.0,1763.0,314.0
2020-04-21,2109.0,435.0,345.0,269.0,906.0,1016127.0,2103.0,340.0
2020-04-22,2519.0,553.0,398.0,322.0,1119.0,1014864.0,2523.0,420.0
2020-04-23,3101.0,677.0,492.0,373.0,1340.0,1014977.0,3057.0,534.0
2020-04-24,3782.0,787.0,648.0,419.0,1655.0,1013567.0,3675.0,618.0
2020-04-25,4444.0,954.0,754.0,555.0,1930.0,1012146.0,4466.0,791.0
2020-04-26,5454.0,1148.0,853.0,723.0,2299.0,1010885.0,5308.0,842.0
2020-04-27,6523.0,1461.0,1058.0,872.0,2768.0,1007815.0,6461.0,1153.0
2020-04-28,7972.0,1686.0,1339.0,1007.0,3456.0,1005833.0,7713.0,1252.0
2020-04-29,9534.0,2076.0,1616.0,1221.0,4047.0,1003912.0,9363.0,1650.0
2020-04-30,11434.0,2400.0,1972.0,1466.0,4931.0,999735.0,11287.0,1924.0
2020-05-01,14056.0,2867.0,2365.0,1843.0,6004.0,995243.0,13517.0,2230.0
2020-05-02,16705.0,3552.0,2774.0,2134.0,7319.0,989976.0,16329.0,2812.0
2020-05-03,19940.0,4171.0,3262.0,2508.0,8801.0,983692.0,19619.0,3290.0
2020-05-04,23858.0,5038.0,3910.0,3036.0,10503.0,976819.0,23545.0,3926.0
2020-05-05,28406.0,5945.0,4719.0,3586.0,12523.0,968085.0,28246.0,4701.0
2020-05-06,33548.0,7296.0,5633.0,4375.0,15013.0,956773.0,33996.0,5750.0
2020-05-07,39935.0,8751.0,6701.0,5281.0,18228.0,943517.0,40814.0,6818.0
2020-05-08,47305.0,10378.0,8128.0,6168.0,21844.0,930373.0,48971.0,8157.0
2020-05-09,56079.0,12038.0,9606.0,7334.0,26352.0,912354.0,58310.0,9339.0
2020-05-10,65863.0,14124.0,11207.0,8837.0,31323.0,891358.0,69419.0,11109.0
2020-05-11,76755.0,16672.0,13146.0,10553.0,37468.0,868490.0,82303.0,12884.0
2020-05-12,88984.0,19445.0,15798.0,12260.0,44432.0,842260.0,97567.0,15264.0
2020-05-13,102748.0,22954.0,18418.0,14592.0,53075.0,811274.0,115488.0,17921.0
2020-05-14,117680.0,26285.0,21479.0,17328.0,63492.0,778060.0,135756.0,20268.0
2020-05-15,133567.0,30396.0,24848.0,19873.0,75777.0,740833.0,158759.0,23003.0
2020-05-16,150064.0,34440.0,28552.0,22969.0,89474.0,700170.0,184946.0,26187.0
2020-05-17,166666.0,38766.0,31699.0,26433.0,105317.0,656595.0,214103.0,29157.0
2020-05-18,182644.0,43028.0,36437.0,30060.0,123416.0,609831.0,246279.0,32176.0
2020-05-19,197546.0,47297.0,40496.0,34620.0,144046.0,561871.0,281539.0,35260.0
2020-05-20,210491.0,51545.0,44713.0,38038.0,167228.0,513041.0,319568.0,38029.0
2020-05-21,221450.0,55064.0,49054.0,42554.0,192949.0,464736.0,359911.0,40343.0
2020-05-22,229274.0,58410.0,52845.0,46616.0,221317.0,418034.0,402234.0,42323.0
2020-05-23,234151.0,60664.0,55867.0,50020.0,252596.0,373979.0,445602.0,43368.0
2020-05-24,234667.0,62609.0,58366.0,53326.0,285882.0,331493.0,489704.0,44102.0
2020-05-25,232557.0,63172.0,60532.0,56159.0,321073.0,293171.0,533646.0,43942.0
