time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970797.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,972561.0,1.0,1.0
2020-03-08,1.0,1.0,1.0,0.0,0.0,980224.0,2.0,1.0
2020-03-09,3.0,1.0,1.0,0.0,0.0,987776.0,3.0,1.0
2020-03-10,2.0,0.0,1.0,0.0,0.0,993766.0,3.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,998147.0,3.0,0.0
2020-03-12,3.0,1.0,0.0,0.0,1.0,1000206.0,4.0,1.0
2020-03-13,2.0,0.0,1.0,0.0,1.0,1003628.0,5.0,1.0
2020-03-14,3.0,0.0,1.0,0.0,1.0,1006924.0,5.0,0.0
2020-03-15,4.0,0.0,1.0,0.0,1.0,1008210.0,5.0,0.0
2020-03-16,6.0,0.0,0.0,1.0,0.0,1007838.0,5.0,0.0
2020-03-17,4.0,1.0,0.0,1.0,3.0,1007917.0,6.0,1.0
2020-03-18,6.0,1.0,2.0,0.0,2.0,1008709.0,8.0,2.0
2020-03-19,5.0,0.0,1.0,1.0,3.0,1009891.0,8.0,0.0
2020-03-20,7.0,2.0,1.0,1.0,2.0,1010794.0,11.0,3.0
2020-03-21,10.0,3.0,0.0,1.0,2.0,1011886.0,12.0,1.0
2020-03-22,9.0,1.0,3.0,1.0,2.0,1012059.0,14.0,2.0
2020-03-23,10.0,0.0,3.0,2.0,4.0,1011414.0,14.0,0.0
2020-03-24,11.0,1.0,2.0,1.0,7.0,1012186.0,15.0,1.0
2020-03-25,18.0,1.0,1.0,1.0,6.0,1013133.0,15.0,0.0
2020-03-26,27.0,4.0,3.0,1.0,9.0,1014798.0,18.0,3.0
2020-03-27,24.0,4.0,6.0,1.0,10.0,1014331.0,24.0,6.0
2020-03-28,34.0,9.0,9.0,4.0,10.0,1015886.0,31.0,7.0
2020-03-29,42.0,13.0,8.0,6.0,15.0,1015038.0,37.0,6.0
2020-03-30,64.0,16.0,12.0,5.0,20.0,1016595.0,46.0,9.0
2020-03-31,80.0,17.0,16.0,12.0,28.0,1015727.0,62.0,16.0
2020-04-01,84.0,15.0,20.0,12.0,38.0,1015457.0,79.0,17.0
2020-04-02,107.0,19.0,17.0,16.0,39.0,1015494.0,95.0,16.0
2020-04-03,123.0,21.0,18.0,15.0,43.0,1016511.0,114.0,19.0
2020-04-04,148.0,31.0,26.0,18.0,51.0,1015414.0,136.0,22.0
2020-04-05,167.0,37.0,29.0,19.0,63.0,1017077.0,163.0,27.0
2020-04-06,203.0,46.0,28.0,32.0,83.0,1017478.0,192.0,29.0
