time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,971489.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,973447.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,0.0,979655.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986740.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992145.0,0.0,0.0
2020-03-11,0.0,1.0,0.0,0.0,0.0,997772.0,1.0,1.0
2020-03-12,1.0,0.0,1.0,1.0,0.0,1002108.0,1.0,0.0
2020-03-13,3.0,1.0,1.0,1.0,0.0,1004387.0,2.0,1.0
2020-03-14,3.0,0.0,0.0,0.0,1.0,1006452.0,2.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,1.0,1007281.0,2.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,1.0,1008872.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1009706.0,2.0,0.0
2020-03-18,3.0,0.0,0.0,1.0,1.0,1011358.0,2.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,1.0,1011753.0,2.0,0.0
2020-03-20,2.0,0.0,0.0,0.0,1.0,1012152.0,2.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,2.0,1012545.0,3.0,1.0
2020-03-22,4.0,1.0,1.0,1.0,2.0,1012762.0,3.0,0.0
2020-03-23,4.0,1.0,0.0,2.0,4.0,1013386.0,3.0,0.0
2020-03-24,7.0,0.0,1.0,1.0,4.0,1013301.0,3.0,0.0
2020-03-25,5.0,1.0,0.0,1.0,5.0,1013872.0,4.0,1.0
2020-03-26,9.0,1.0,0.0,1.0,5.0,1014780.0,4.0,0.0
2020-03-27,15.0,2.0,3.0,0.0,7.0,1015133.0,5.0,1.0
2020-03-28,17.0,2.0,3.0,0.0,5.0,1013856.0,7.0,2.0
2020-03-29,13.0,5.0,3.0,0.0,3.0,1014043.0,12.0,5.0
2020-03-30,19.0,1.0,6.0,0.0,3.0,1014199.0,14.0,2.0
2020-03-31,28.0,5.0,3.0,3.0,7.0,1014855.0,18.0,4.0
2020-04-01,33.0,6.0,6.0,2.0,8.0,1015830.0,22.0,4.0
2020-04-02,34.0,10.0,5.0,4.0,8.0,1015507.0,32.0,10.0
2020-04-03,40.0,9.0,1.0,10.0,12.0,1018209.0,36.0,4.0
2020-04-04,49.0,12.0,8.0,1.0,21.0,1018063.0,42.0,6.0
2020-04-05,63.0,11.0,3.0,7.0,24.0,1017667.0,45.0,3.0
2020-04-06,64.0,11.0,5.0,8.0,33.0,1015946.0,52.0,7.0
2020-04-07,63.0,15.0,14.0,12.0,36.0,1016497.0,69.0,17.0
2020-04-08,80.0,22.0,18.0,15.0,39.0,1017377.0,83.0,14.0
2020-04-09,122.0,23.0,22.0,19.0,43.0,1017891.0,99.0,16.0
2020-04-10,142.0,33.0,22.0,18.0,56.0,1018707.0,127.0,28.0
2020-04-11,183.0,46.0,29.0,19.0,81.0,1018998.0,160.0,33.0
2020-04-12,218.0,46.0,32.0,32.0,100.0,1017461.0,185.0,25.0
2020-04-13,272.0,54.0,38.0,31.0,124.0,1019103.0,233.0,48.0
2020-04-14,309.0,82.0,43.0,35.0,139.0,1019101.0,285.0,52.0
2020-04-15,406.0,100.0,57.0,47.0,157.0,1018502.0,348.0,63.0
2020-04-16,502.0,112.0,86.0,55.0,197.0,1016664.0,433.0,85.0
2020-04-17,593.0,136.0,106.0,79.0,221.0,1018331.0,545.0,112.0
2020-04-18,733.0,161.0,123.0,83.0,290.0,1017891.0,662.0,117.0
2020-04-19,895.0,188.0,157.0,110.0,342.0,1018292.0,825.0,163.0
2020-04-20,1100.0,228.0,169.0,123.0,455.0,1018173.0,1008.0,183.0
2020-04-21,1270.0,275.0,197.0,164.0,534.0,1018474.0,1228.0,220.0
2020-04-22,1541.0,285.0,261.0,167.0,634.0,1016513.0,1445.0,217.0
2020-04-23,1810.0,396.0,305.0,224.0,747.0,1015743.0,1771.0,326.0
2020-04-24,2224.0,462.0,327.0,277.0,924.0,1017143.0,2119.0,348.0
2020-04-25,2601.0,564.0,401.0,312.0,1138.0,1015820.0,2554.0,435.0
2020-04-26,3085.0,684.0,492.0,408.0,1296.0,1015752.0,3082.0,528.0
2020-04-27,3737.0,815.0,597.0,468.0,1639.0,1015077.0,3762.0,680.0
2020-04-28,4546.0,928.0,733.0,540.0,1966.0,1013114.0,4478.0,716.0
2020-04-29,5359.0,1179.0,880.0,681.0,2292.0,1010448.0,5412.0,934.0
2020-04-30,6528.0,1374.0,1075.0,876.0,2804.0,1008892.0,6510.0,1098.0
2020-05-01,7841.0,1650.0,1281.0,1019.0,3397.0,1006911.0,7826.0,1316.0
2020-05-02,9467.0,1966.0,1548.0,1204.0,4080.0,1003716.0,9369.0,1543.0
2020-05-03,11303.0,2378.0,1950.0,1440.0,4862.0,1000930.0,11305.0,1936.0
2020-05-04,13706.0,2920.0,2231.0,1723.0,5948.0,996394.0,13617.0,2312.0
2020-05-05,16601.0,3601.0,2661.0,2159.0,7236.0,990962.0,16364.0,2747.0
2020-05-06,19962.0,4150.0,3269.0,2520.0,8683.0,984170.0,19671.0,3307.0
2020-05-07,23963.0,5046.0,3912.0,2985.0,10349.0,977959.0,23710.0,4039.0
2020-05-08,28359.0,6052.0,4654.0,3625.0,12495.0,969075.0,28426.0,4716.0
2020-05-09,33696.0,7284.0,5715.0,4329.0,15096.0,956491.0,34163.0,5737.0
2020-05-10,40132.0,8732.0,6702.0,5314.0,18112.0,943173.0,40925.0,6762.0
2020-05-11,47318.0,10475.0,7943.0,6217.0,22032.0,929084.0,49033.0,8108.0
2020-05-12,56138.0,12165.0,9473.0,7558.0,26398.0,912618.0,58441.0,9408.0
2020-05-13,65537.0,14317.0,11132.0,8816.0,31360.0,891659.0,69577.0,11136.0
2020-05-14,76343.0,16851.0,13238.0,10417.0,37366.0,868266.0,82678.0,13101.0
2020-05-15,88858.0,19514.0,15569.0,12343.0,44421.0,841634.0,97831.0,15153.0
2020-05-16,102288.0,22940.0,18305.0,14476.0,53092.0,811800.0,115636.0,17805.0
2020-05-17,117158.0,26445.0,21417.0,16844.0,63565.0,778010.0,135937.0,20301.0
2020-05-18,133210.0,30102.0,24626.0,19952.0,75284.0,740801.0,158845.0,22908.0
2020-05-19,149649.0,34338.0,28210.0,23072.0,89130.0,699888.0,185074.0,26229.0
2020-05-20,165818.0,38569.0,32090.0,26575.0,104947.0,655140.0,214016.0,28942.0
2020-05-21,181701.0,43113.0,36290.0,30224.0,122961.0,609103.0,246417.0,32401.0
2020-05-22,196655.0,47353.0,40813.0,33674.0,143428.0,560280.0,281422.0,35005.0
2020-05-23,209575.0,51290.0,44918.0,38320.0,167073.0,512891.0,319172.0,37750.0
2020-05-24,221139.0,55082.0,49006.0,42649.0,193280.0,464794.0,359478.0,40306.0
2020-05-25,228973.0,58292.0,52660.0,46435.0,221898.0,416875.0,401321.0,41843.0
2020-05-26,233599.0,60576.0,55919.0,50278.0,252821.0,371930.0,444466.0,43145.0
2020-05-27,233739.0,62632.0,58337.0,53716.0,285525.0,329755.0,488459.0,43993.0
2020-05-28,231791.0,63338.0,60624.0,56306.0,320705.0,291657.0,532389.0,43930.0
2020-05-29,226666.0,62685.0,61498.0,58525.0,357768.0,257671.0,575273.0,42884.0
2020-05-30,218645.0,61521.0,62127.0,60162.0,395838.0,227970.0,617247.0,41974.0
2020-05-31,208357.0,59766.0,61508.0,60953.0,435860.0,200902.0,657378.0,40131.0
2020-06-01,195350.0,57417.0,60225.0,60578.0,474784.0,177633.0,695622.0,38244.0
2020-06-02,182446.0,54775.0,57955.0,60100.0,513226.0,158131.0,731508.0,35886.0
2020-06-03,169453.0,51043.0,55122.0,58036.0,551533.0,141042.0,764417.0,32909.0
2020-06-04,155166.0,47931.0,52273.0,55816.0,587370.0,126577.0,795252.0,30835.0
2020-06-05,141459.0,44558.0,48877.0,53758.0,620881.0,114481.0,823555.0,28303.0
2020-06-06,129507.0,40731.0,46130.0,50367.0,655510.0,104204.0,849116.0,25561.0
2020-06-07,116414.0,37245.0,42638.0,47114.0,688279.0,95503.0,872693.0,23577.0
2020-06-08,104809.0,33536.0,39188.0,44594.0,717335.0,88440.0,893513.0,20820.0
2020-06-09,93880.0,30776.0,35638.0,40871.0,743481.0,82812.0,912500.0,18987.0
2020-06-10,83808.0,27758.0,32407.0,37771.0,768620.0,77268.0,929481.0,16981.0
2020-06-11,74638.0,24899.0,29353.0,34355.0,791503.0,72815.0,944629.0,15148.0
2020-06-12,66689.0,22342.0,26431.0,31094.0,812197.0,68865.0,958205.0,13576.0
2020-06-13,59268.0,19820.0,23818.0,28269.0,830747.0,65873.0,970181.0,11976.0
2020-06-14,52378.0,17628.0,21147.0,25524.0,847361.0,63132.0,980980.0,10799.0
2020-06-15,46354.0,15540.0,18576.0,22967.0,863872.0,60690.0,990279.0,9299.0
2020-06-16,41343.0,13839.0,16652.0,20106.0,877041.0,58761.0,998557.0,8278.0
2020-06-17,36288.0,12328.0,14899.0,18322.0,889555.0,56906.0,1006095.0,7538.0
2020-06-18,32152.0,11005.0,13286.0,16458.0,900134.0,55381.0,1012592.0,6497.0
2020-06-19,28249.0,9688.0,11940.0,14420.0,909359.0,53978.0,1018312.0,5720.0
2020-06-20,24917.0,8371.0,10521.0,12934.0,917163.0,52550.0,1023319.0,5007.0
