time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970716.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,971929.0,0.0,0.0
2020-03-08,5.0,0.0,0.0,0.0,1.0,979385.0,0.0,0.0
2020-03-09,5.0,0.0,0.0,0.0,0.0,986080.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,991649.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,0.0,996409.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999295.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1003485.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1004847.0,0.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,0.0,1006525.0,0.0,0.0
2020-03-16,3.0,1.0,0.0,0.0,0.0,1008097.0,1.0,1.0
2020-03-17,3.0,0.0,2.0,0.0,1.0,1009048.0,2.0,1.0
2020-03-18,4.0,1.0,1.0,1.0,1.0,1010303.0,3.0,1.0
2020-03-19,1.0,0.0,0.0,1.0,1.0,1010410.0,3.0,0.0
2020-03-20,2.0,0.0,1.0,0.0,2.0,1011535.0,3.0,0.0
2020-03-21,5.0,1.0,1.0,0.0,2.0,1012191.0,4.0,1.0
2020-03-22,8.0,0.0,2.0,1.0,1.0,1012910.0,4.0,0.0
2020-03-23,9.0,1.0,3.0,0.0,2.0,1013505.0,5.0,1.0
2020-03-24,12.0,4.0,1.0,1.0,2.0,1014524.0,9.0,4.0
2020-03-25,13.0,4.0,3.0,1.0,1.0,1015812.0,11.0,2.0
2020-03-26,15.0,7.0,5.0,1.0,4.0,1014635.0,15.0,4.0
2020-03-27,19.0,8.0,5.0,1.0,7.0,1013806.0,21.0,6.0
2020-03-28,22.0,5.0,5.0,4.0,9.0,1013969.0,25.0,4.0
2020-03-29,25.0,4.0,8.0,4.0,13.0,1014716.0,30.0,5.0
2020-03-30,35.0,10.0,4.0,9.0,17.0,1015486.0,37.0,7.0
2020-03-31,32.0,11.0,3.0,11.0,23.0,1015746.0,48.0,11.0
2020-04-01,41.0,10.0,5.0,7.0,21.0,1015966.0,50.0,2.0
2020-04-02,42.0,14.0,9.0,6.0,27.0,1016086.0,60.0,10.0
2020-04-03,55.0,13.0,13.0,9.0,27.0,1016470.0,65.0,5.0
2020-04-04,90.0,12.0,16.0,11.0,30.0,1017562.0,74.0,9.0
2020-04-05,93.0,21.0,17.0,11.0,43.0,1017223.0,95.0,21.0
2020-04-06,98.0,32.0,27.0,15.0,47.0,1018566.0,125.0,30.0
2020-04-07,140.0,31.0,27.0,30.0,57.0,1019436.0,144.0,19.0
2020-04-08,176.0,37.0,27.0,26.0,77.0,1018522.0,167.0,23.0
2020-04-09,190.0,45.0,23.0,27.0,89.0,1017697.0,200.0,33.0
2020-04-10,241.0,61.0,38.0,25.0,121.0,1018696.0,240.0,40.0
2020-04-11,266.0,72.0,44.0,25.0,147.0,1017335.0,292.0,52.0
2020-04-12,322.0,77.0,49.0,49.0,155.0,1018042.0,356.0,64.0
2020-04-13,390.0,91.0,76.0,43.0,175.0,1017297.0,428.0,72.0
2020-04-14,518.0,119.0,87.0,53.0,203.0,1016681.0,514.0,86.0
2020-04-15,632.0,128.0,100.0,75.0,237.0,1016754.0,604.0,90.0
2020-04-16,712.0,164.0,119.0,81.0,297.0,1016803.0,729.0,125.0
2020-04-17,810.0,147.0,145.0,108.0,324.0,1017565.0,857.0,128.0
2020-04-18,951.0,197.0,170.0,125.0,404.0,1017903.0,1023.0,166.0
2020-04-19,1163.0,209.0,201.0,146.0,503.0,1017967.0,1196.0,173.0
2020-04-20,1413.0,283.0,235.0,181.0,608.0,1016378.0,1416.0,220.0
2020-04-21,1704.0,365.0,265.0,208.0,743.0,1016384.0,1706.0,290.0
2020-04-22,2074.0,392.0,363.0,239.0,908.0,1016357.0,2044.0,338.0
2020-04-23,2410.0,506.0,393.0,319.0,1102.0,1016082.0,2461.0,417.0
2020-04-24,2898.0,597.0,449.0,365.0,1330.0,1014322.0,2920.0,459.0
2020-04-25,3496.0,734.0,568.0,451.0,1570.0,1014345.0,3507.0,587.0
2020-04-26,4282.0,874.0,723.0,526.0,1851.0,1012678.0,4191.0,684.0
2020-04-27,5262.0,1132.0,853.0,666.0,2218.0,1011184.0,5087.0,896.0
2020-04-28,6423.0,1340.0,1088.0,783.0,2640.0,1009859.0,6188.0,1101.0
2020-04-29,7794.0,1673.0,1270.0,998.0,3175.0,1007832.0,7528.0,1340.0
2020-04-30,9351.0,1964.0,1511.0,1173.0,3866.0,1005194.0,9116.0,1588.0
2020-05-01,11204.0,2379.0,1748.0,1399.0,4735.0,1001914.0,11010.0,1894.0
2020-05-02,13457.0,2822.0,2096.0,1636.0,5812.0,997142.0,13194.0,2184.0
2020-05-03,16001.0,3444.0,2655.0,2042.0,7004.0,992111.0,15928.0,2734.0
2020-05-04,19085.0,4038.0,3157.0,2468.0,8338.0,985453.0,19040.0,3112.0
2020-05-05,22946.0,4886.0,3732.0,3022.0,10085.0,977858.0,22883.0,3843.0
2020-05-06,27605.0,5759.0,4488.0,3576.0,12188.0,969206.0,27331.0,4448.0
2020-05-07,32575.0,7105.0,5402.0,4091.0,14494.0,959451.0,32940.0,5609.0
2020-05-08,38784.0,8429.0,6501.0,4901.0,17371.0,947531.0,39457.0,6517.0
2020-05-09,45902.0,9760.0,7755.0,6037.0,20752.0,932268.0,47163.0,7706.0
2020-05-10,53949.0,11773.0,9196.0,7240.0,24874.0,915918.0,56429.0,9266.0
2020-05-11,63894.0,13604.0,10974.0,8540.0,30020.0,895900.0,67105.0,10676.0
2020-05-12,74738.0,16190.0,12880.0,10033.0,36076.0,873478.0,79719.0,12614.0
2020-05-13,86478.0,19241.0,15263.0,12032.0,43043.0,846523.0,94644.0,14925.0
2020-05-14,100474.0,22396.0,17817.0,14260.0,51784.0,817105.0,111855.0,17211.0
2020-05-15,114810.0,25897.0,20660.0,16604.0,61483.0,783810.0,131771.0,19916.0
2020-05-16,130964.0,29529.0,23958.0,19421.0,73198.0,746631.0,154276.0,22505.0
2020-05-17,146807.0,33608.0,27524.0,22515.0,86588.0,706852.0,179843.0,25567.0
2020-05-18,163646.0,38225.0,31502.0,25828.0,102454.0,663690.0,208679.0,28836.0
2020-05-19,179678.0,42629.0,35457.0,29751.0,120229.0,617897.0,240469.0,31790.0
2020-05-20,195080.0,46632.0,40235.0,33510.0,140711.0,569595.0,275271.0,34802.0
2020-05-21,208774.0,50907.0,44180.0,38055.0,162906.0,521356.0,312808.0,37537.0
2020-05-22,220036.0,54595.0,48391.0,41831.0,188714.0,472033.0,352618.0,39810.0
2020-05-23,228159.0,57452.0,52035.0,46217.0,216735.0,424717.0,394316.0,41698.0
2020-05-24,232463.0,60325.0,55223.0,49750.0,248075.0,380309.0,437788.0,43472.0
2020-05-25,234560.0,61842.0,58273.0,53267.0,281859.0,337883.0,481467.0,43679.0
2020-05-26,232574.0,62817.0,59743.0,55780.0,317269.0,298671.0,525323.0,43856.0
2020-05-27,227459.0,62766.0,61298.0,58160.0,353370.0,262745.0,568610.0,43287.0
2020-05-28,219208.0,62013.0,61567.0,59455.0,391850.0,231136.0,610971.0,42361.0
2020-05-29,209108.0,60273.0,61430.0,60283.0,429780.0,203382.0,651436.0,40465.0
2020-05-30,197810.0,57784.0,60429.0,60245.0,468151.0,180339.0,689791.0,38355.0
2020-05-31,184928.0,54806.0,58032.0,59951.0,506694.0,159532.0,725799.0,36008.0
2020-06-01,170819.0,52034.0,55948.0,58206.0,545715.0,142115.0,759693.0,33894.0
2020-06-02,156769.0,48157.0,53113.0,56225.0,583644.0,127165.0,790735.0,31042.0
2020-06-03,142956.0,44673.0,49736.0,53919.0,619270.0,115736.0,819163.0,28428.0
2020-06-04,130200.0,41171.0,46249.0,51104.0,652802.0,104897.0,845119.0,25956.0
2020-06-05,117501.0,37415.0,43258.0,47890.0,684109.0,96142.0,868642.0,23523.0
2020-06-06,105334.0,34160.0,39372.0,44500.0,713552.0,88410.0,889885.0,21243.0
2020-06-07,94537.0,30943.0,36060.0,41230.0,740161.0,81835.0,909043.0,19158.0
2020-06-08,84396.0,27845.0,32546.0,38031.0,764634.0,76492.0,926138.0,17095.0
2020-06-09,75153.0,24798.0,29713.0,34076.0,788155.0,71942.0,941339.0,15201.0
2020-06-10,67070.0,22129.0,26370.0,31241.0,809846.0,67836.0,954856.0,13517.0
2020-06-11,59834.0,19570.0,23713.0,28184.0,828144.0,64904.0,966824.0,11968.0
2020-06-12,52834.0,17422.0,21266.0,25437.0,845708.0,62184.0,977674.0,10850.0
2020-06-13,46061.0,15726.0,18688.0,22820.0,862401.0,59954.0,987235.0,9561.0
2020-06-14,41054.0,13908.0,16821.0,20424.0,875745.0,57715.0,995451.0,8216.0
2020-06-15,36234.0,12245.0,15092.0,18445.0,887867.0,55981.0,1002847.0,7396.0
2020-06-16,31904.0,10771.0,13294.0,16337.0,899623.0,54566.0,1009372.0,6525.0
2020-06-17,27968.0,9357.0,11886.0,14361.0,909451.0,53231.0,1015175.0,5803.0
2020-06-18,24607.0,8313.0,10527.0,12786.0,917490.0,52409.0,1020234.0,5059.0
2020-06-19,21670.0,7325.0,9299.0,11296.0,925722.0,51217.0,1024703.0,4469.0
