time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,0.0,0.0,0.0,970128.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,1.0,0.0,972359.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,1.0,979210.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,986644.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,992639.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,996222.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1000338.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1002395.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,1.0,1005080.0,1.0,1.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,1006060.0,1.0,0.0
2020-03-16,1.0,1.0,2.0,0.0,0.0,1007959.0,2.0,1.0
2020-03-17,5.0,0.0,3.0,1.0,0.0,1009589.0,3.0,1.0
2020-03-18,5.0,1.0,1.0,0.0,3.0,1010507.0,4.0,1.0
2020-03-19,8.0,1.0,2.0,0.0,2.0,1010737.0,4.0,0.0
2020-03-20,11.0,0.0,2.0,0.0,1.0,1012247.0,4.0,0.0
2020-03-21,10.0,0.0,1.0,0.0,1.0,1012910.0,4.0,0.0
2020-03-22,9.0,0.0,1.0,1.0,2.0,1013764.0,4.0,0.0
2020-03-23,7.0,1.0,0.0,0.0,2.0,1013820.0,6.0,2.0
2020-03-24,6.0,1.0,2.0,0.0,4.0,1013917.0,7.0,1.0
2020-03-25,6.0,4.0,2.0,2.0,2.0,1013924.0,12.0,5.0
2020-03-26,13.0,2.0,4.0,1.0,7.0,1014415.0,13.0,1.0
2020-03-27,18.0,2.0,5.0,1.0,4.0,1014723.0,14.0,1.0
2020-03-28,18.0,3.0,4.0,2.0,8.0,1015312.0,18.0,4.0
2020-03-29,25.0,5.0,7.0,7.0,8.0,1015400.0,25.0,7.0
2020-03-30,37.0,6.0,6.0,6.0,10.0,1015786.0,32.0,7.0
2020-03-31,35.0,11.0,10.0,4.0,10.0,1014925.0,39.0,7.0
2020-04-01,55.0,10.0,8.0,7.0,12.0,1015315.0,43.0,4.0
2020-04-02,57.0,12.0,11.0,9.0,16.0,1016851.0,59.0,16.0
2020-04-03,88.0,14.0,11.0,8.0,24.0,1016219.0,66.0,7.0
2020-04-04,110.0,19.0,17.0,4.0,26.0,1017853.0,83.0,17.0
2020-04-05,106.0,22.0,15.0,8.0,35.0,1017083.0,102.0,19.0
2020-04-06,122.0,30.0,23.0,10.0,44.0,1015926.0,123.0,21.0
2020-04-07,150.0,33.0,24.0,15.0,54.0,1016859.0,141.0,18.0
2020-04-08,166.0,45.0,20.0,21.0,59.0,1017759.0,177.0,36.0
2020-04-09,194.0,51.0,33.0,28.0,76.0,1017948.0,215.0,38.0
2020-04-10,234.0,67.0,39.0,31.0,97.0,1016736.0,266.0,51.0
2020-04-11,283.0,60.0,63.0,47.0,116.0,1017766.0,311.0,45.0
2020-04-12,400.0,58.0,70.0,53.0,151.0,1017724.0,358.0,47.0
2020-04-13,474.0,99.0,71.0,63.0,193.0,1018208.0,446.0,88.0
2020-04-14,551.0,123.0,88.0,73.0,218.0,1019134.0,544.0,98.0
2020-04-15,635.0,140.0,117.0,79.0,260.0,1018163.0,644.0,100.0
2020-04-16,807.0,159.0,139.0,94.0,330.0,1017668.0,761.0,117.0
2020-04-17,897.0,189.0,154.0,119.0,387.0,1017828.0,935.0,174.0
2020-04-18,1125.0,248.0,179.0,125.0,512.0,1018280.0,1132.0,197.0
2020-04-19,1387.0,307.0,222.0,183.0,577.0,1018890.0,1384.0,252.0
2020-04-20,1666.0,370.0,272.0,222.0,687.0,1018180.0,1655.0,271.0
2020-04-21,2079.0,418.0,319.0,256.0,784.0,1017400.0,1981.0,326.0
2020-04-22,2498.0,544.0,400.0,326.0,959.0,1016311.0,2407.0,426.0
2020-04-23,2997.0,618.0,495.0,387.0,1192.0,1016598.0,2892.0,485.0
2020-04-24,3611.0,771.0,608.0,436.0,1454.0,1014821.0,3514.0,622.0
2020-04-25,4291.0,928.0,711.0,538.0,1708.0,1013798.0,4212.0,698.0
2020-04-26,5079.0,1151.0,879.0,632.0,2109.0,1013364.0,5121.0,909.0
2020-04-27,6125.0,1307.0,1034.0,795.0,2581.0,1011333.0,6159.0,1038.0
2020-04-28,7439.0,1589.0,1260.0,923.0,3110.0,1009024.0,7426.0,1267.0
2020-04-29,9022.0,1868.0,1469.0,1140.0,3753.0,1006055.0,8910.0,1484.0
2020-04-30,10561.0,2250.0,1713.0,1348.0,4536.0,1001433.0,10680.0,1770.0
