time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970030.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,972134.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,979045.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986537.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993178.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,997494.0,0.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,1000768.0,0.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,0.0,1002343.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005592.0,0.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,1006708.0,0.0,0.0
2020-03-16,2.0,1.0,0.0,0.0,0.0,1008833.0,1.0,1.0
2020-03-17,4.0,1.0,0.0,0.0,0.0,1009854.0,1.0,0.0
2020-03-18,5.0,0.0,0.0,1.0,3.0,1011426.0,2.0,1.0
2020-03-19,5.0,0.0,0.0,0.0,3.0,1012073.0,2.0,0.0
2020-03-20,5.0,0.0,0.0,0.0,2.0,1011764.0,2.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,1.0,1012917.0,2.0,0.0
2020-03-22,1.0,1.0,0.0,0.0,3.0,1013016.0,4.0,2.0
2020-03-23,1.0,0.0,0.0,1.0,4.0,1013035.0,4.0,0.0
2020-03-24,3.0,0.0,0.0,0.0,5.0,1014214.0,4.0,0.0
2020-03-25,4.0,0.0,0.0,0.0,1.0,1015576.0,4.0,0.0
2020-03-26,5.0,1.0,0.0,0.0,3.0,1014881.0,5.0,1.0
2020-03-27,6.0,1.0,0.0,0.0,5.0,1015889.0,5.0,0.0
2020-03-28,10.0,1.0,0.0,1.0,8.0,1016147.0,5.0,0.0
2020-03-29,8.0,2.0,1.0,0.0,7.0,1017328.0,7.0,2.0
2020-03-30,11.0,2.0,1.0,0.0,5.0,1016961.0,10.0,3.0
2020-03-31,16.0,1.0,4.0,0.0,5.0,1016038.0,11.0,1.0
2020-04-01,18.0,2.0,5.0,2.0,4.0,1016697.0,14.0,3.0
2020-04-02,25.0,3.0,3.0,3.0,8.0,1016617.0,17.0,3.0
2020-04-03,27.0,5.0,5.0,2.0,10.0,1017565.0,22.0,5.0
2020-04-04,41.0,7.0,4.0,3.0,11.0,1018170.0,25.0,3.0
2020-04-05,39.0,11.0,5.0,4.0,15.0,1018550.0,34.0,9.0
2020-04-06,46.0,12.0,8.0,7.0,20.0,1018586.0,43.0,9.0
2020-04-07,64.0,10.0,14.0,3.0,26.0,1019044.0,50.0,7.0
2020-04-08,76.0,8.0,14.0,9.0,29.0,1017727.0,56.0,6.0
2020-04-09,97.0,25.0,15.0,13.0,32.0,1018020.0,76.0,20.0
2020-04-10,120.0,24.0,14.0,21.0,44.0,1017290.0,99.0,23.0
2020-04-11,164.0,34.0,18.0,19.0,61.0,1017357.0,120.0,21.0
2020-04-12,190.0,44.0,32.0,19.0,78.0,1017688.0,157.0,37.0
2020-04-13,222.0,51.0,31.0,31.0,83.0,1018062.0,194.0,37.0
2020-04-14,281.0,55.0,41.0,30.0,104.0,1017656.0,241.0,47.0
2020-04-15,357.0,67.0,43.0,48.0,124.0,1018662.0,295.0,54.0
2020-04-16,406.0,92.0,57.0,48.0,175.0,1019183.0,360.0,65.0
2020-04-17,479.0,97.0,92.0,50.0,203.0,1020046.0,437.0,77.0
2020-04-18,545.0,123.0,100.0,82.0,229.0,1020096.0,545.0,108.0
2020-04-19,669.0,122.0,120.0,100.0,280.0,1019966.0,649.0,104.0
2020-04-20,853.0,166.0,134.0,107.0,328.0,1018689.0,764.0,115.0
2020-04-21,1032.0,227.0,163.0,125.0,383.0,1020256.0,940.0,176.0
2020-04-22,1206.0,258.0,190.0,151.0,501.0,1019621.0,1142.0,202.0
2020-04-23,1500.0,310.0,225.0,175.0,609.0,1018905.0,1350.0,208.0
2020-04-24,1755.0,412.0,272.0,216.0,749.0,1018919.0,1677.0,327.0
2020-04-25,2141.0,459.0,363.0,256.0,879.0,1018436.0,2031.0,354.0
2020-04-26,2566.0,542.0,444.0,305.0,1047.0,1017225.0,2481.0,450.0
2020-04-27,3098.0,640.0,466.0,404.0,1302.0,1016492.0,2968.0,487.0
2020-04-28,3716.0,758.0,618.0,461.0,1521.0,1014695.0,3579.0,611.0
2020-04-29,4453.0,895.0,726.0,564.0,1899.0,1013358.0,4289.0,710.0
2020-04-30,5492.0,1090.0,825.0,653.0,2274.0,1012264.0,5165.0,876.0
2020-05-01,6518.0,1303.0,1067.0,840.0,2748.0,1009917.0,6231.0,1066.0
2020-05-02,7949.0,1701.0,1222.0,1036.0,3394.0,1006997.0,7600.0,1369.0
2020-05-03,9562.0,1997.0,1414.0,1198.0,4025.0,1003507.0,9115.0,1515.0
2020-05-04,11195.0,2424.0,1735.0,1345.0,4901.0,1001157.0,11002.0,1887.0
2020-05-05,13402.0,2910.0,2218.0,1649.0,5806.0,996272.0,13290.0,2288.0
2020-05-06,16227.0,3478.0,2742.0,2019.0,7084.0,991687.0,15989.0,2699.0
2020-05-07,19489.0,4146.0,3228.0,2458.0,8558.0,986769.0,19274.0,3285.0
2020-05-08,23347.0,4874.0,3831.0,3029.0,10242.0,978550.0,23110.0,3836.0
2020-05-09,27726.0,5692.0,4641.0,3445.0,12245.0,969041.0,27664.0,4554.0
2020-05-10,33146.0,7027.0,5477.0,4255.0,14493.0,957851.0,33350.0,5686.0
2020-05-11,39445.0,8418.0,6570.0,5131.0,17479.0,945169.0,39927.0,6577.0
2020-05-12,46711.0,10012.0,7788.0,6064.0,21135.0,930652.0,47798.0,7871.0
2020-05-13,55143.0,11744.0,9367.0,7269.0,25364.0,914930.0,57117.0,9319.0
2020-05-14,64407.0,13990.0,11051.0,8654.0,30360.0,895178.0,68113.0,10996.0
2020-05-15,75716.0,16775.0,13156.0,10155.0,36498.0,872026.0,81115.0,13002.0
2020-05-16,88180.0,19467.0,15518.0,12397.0,43721.0,845528.0,96172.0,15057.0
2020-05-17,101865.0,22518.0,18005.0,14410.0,52347.0,815359.0,113479.0,17307.0
2020-05-18,116124.0,26035.0,21198.0,16724.0,62080.0,782322.0,133629.0,20150.0
2020-05-19,131613.0,29896.0,24328.0,19573.0,73763.0,745942.0,156611.0,22982.0
2020-05-20,147858.0,33866.0,27863.0,22542.0,87475.0,705405.0,182251.0,25640.0
2020-05-21,164056.0,38441.0,31824.0,26010.0,103504.0,661050.0,211346.0,29095.0
2020-05-22,180653.0,42553.0,35833.0,29769.0,121024.0,615007.0,243144.0,31798.0
2020-05-23,195786.0,46612.0,40011.0,33805.0,141541.0,567810.0,277883.0,34739.0
2020-05-24,208788.0,50797.0,44160.0,37897.0,163823.0,519400.0,315445.0,37562.0
2020-05-25,220267.0,54791.0,48454.0,41866.0,189479.0,471062.0,355726.0,40281.0
2020-05-26,227967.0,57912.0,52021.0,46074.0,217279.0,423343.0,397246.0,41520.0
2020-05-27,233127.0,60494.0,55350.0,49656.0,248730.0,378531.0,440538.0,43292.0
2020-05-28,234293.0,61997.0,58123.0,52892.0,281365.0,336325.0,484455.0,43917.0
2020-05-29,232266.0,63026.0,59952.0,56167.0,316040.0,297181.0,528156.0,43701.0
2020-05-30,226675.0,62590.0,61724.0,58182.0,352825.0,262283.0,571156.0,43000.0
2020-05-31,219435.0,61705.0,62039.0,59995.0,390973.0,230654.0,613146.0,41990.0
2020-06-01,208981.0,59710.0,61368.0,60807.0,430667.0,203490.0,653473.0,40327.0
2020-06-02,197356.0,57605.0,60123.0,60252.0,470179.0,180464.0,691759.0,38286.0
2020-06-03,184785.0,54945.0,58225.0,59611.0,507974.0,160340.0,728037.0,36278.0
2020-06-04,170676.0,51880.0,55475.0,58013.0,545933.0,143095.0,761641.0,33604.0
2020-06-05,157186.0,48694.0,52991.0,55907.0,582120.0,128668.0,792622.0,30981.0
2020-06-06,143530.0,44703.0,49789.0,53761.0,616541.0,116391.0,821036.0,28414.0
2020-06-07,130347.0,41220.0,46251.0,51143.0,650303.0,106160.0,847201.0,26165.0
2020-06-08,117753.0,37245.0,42883.0,47929.0,682323.0,97140.0,870549.0,23348.0
2020-06-09,105979.0,33953.0,39214.0,44352.0,712863.0,89793.0,891760.0,21211.0
2020-06-10,95365.0,30939.0,35943.0,40813.0,740651.0,83364.0,910769.0,19009.0
2020-06-11,85017.0,27905.0,32780.0,37623.0,766061.0,78188.0,928097.0,17328.0
2020-06-12,75667.0,24998.0,29681.0,34314.0,787922.0,73415.0,943293.0,15196.0
2020-06-13,67932.0,22343.0,26562.0,31464.0,808210.0,69415.0,956886.0,13593.0
2020-06-14,59874.0,19797.0,24169.0,28168.0,828075.0,65968.0,969320.0,12434.0
