time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969999.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,1.0,0.0,971729.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,0.0,1.0,978709.0,0.0,0.0
2020-03-09,3.0,1.0,1.0,0.0,1.0,985532.0,1.0,1.0
2020-03-10,4.0,1.0,3.0,0.0,1.0,993051.0,3.0,2.0
2020-03-11,6.0,1.0,1.0,3.0,1.0,996632.0,4.0,1.0
2020-03-12,12.0,2.0,1.0,4.0,1.0,999873.0,6.0,2.0
2020-03-13,8.0,2.0,2.0,1.0,3.0,1003395.0,10.0,4.0
2020-03-14,6.0,2.0,1.0,0.0,4.0,1006184.0,10.0,0.0
2020-03-15,5.0,2.0,0.0,2.0,5.0,1007992.0,12.0,2.0
2020-03-16,12.0,0.0,2.0,1.0,5.0,1008733.0,12.0,0.0
2020-03-17,11.0,1.0,2.0,1.0,2.0,1009869.0,14.0,2.0
2020-03-18,9.0,2.0,3.0,3.0,2.0,1010467.0,17.0,3.0
2020-03-19,8.0,2.0,0.0,2.0,8.0,1011143.0,18.0,1.0
2020-03-20,12.0,0.0,0.0,2.0,5.0,1012869.0,18.0,0.0
2020-03-21,9.0,1.0,1.0,1.0,6.0,1013292.0,19.0,1.0
2020-03-22,5.0,0.0,1.0,2.0,10.0,1013459.0,20.0,1.0
2020-03-23,8.0,1.0,2.0,2.0,9.0,1012490.0,21.0,1.0
2020-03-24,16.0,3.0,4.0,1.0,5.0,1013940.0,24.0,3.0
2020-03-25,19.0,1.0,6.0,1.0,5.0,1015423.0,26.0,2.0
2020-03-26,27.0,4.0,4.0,5.0,13.0,1015139.0,29.0,3.0
2020-03-27,39.0,11.0,6.0,3.0,15.0,1014295.0,40.0,11.0
2020-03-28,41.0,10.0,6.0,6.0,13.0,1014504.0,47.0,7.0
2020-03-29,51.0,7.0,7.0,8.0,16.0,1014623.0,52.0,5.0
2020-03-30,60.0,12.0,5.0,7.0,17.0,1016604.0,63.0,11.0
2020-03-31,59.0,19.0,12.0,5.0,23.0,1017832.0,79.0,16.0
2020-04-01,70.0,16.0,13.0,8.0,28.0,1017288.0,92.0,13.0
2020-04-02,91.0,18.0,18.0,13.0,34.0,1018136.0,106.0,14.0
2020-04-03,119.0,19.0,26.0,13.0,46.0,1018419.0,127.0,21.0
2020-04-04,155.0,35.0,18.0,21.0,56.0,1019876.0,151.0,24.0
2020-04-05,180.0,45.0,32.0,20.0,69.0,1017808.0,189.0,38.0
2020-04-06,219.0,43.0,36.0,22.0,79.0,1017473.0,222.0,33.0
2020-04-07,288.0,56.0,43.0,18.0,106.0,1017274.0,263.0,41.0
2020-04-08,327.0,65.0,49.0,37.0,120.0,1017681.0,315.0,52.0
2020-04-09,378.0,81.0,56.0,42.0,153.0,1018189.0,380.0,65.0
2020-04-10,420.0,88.0,77.0,54.0,197.0,1017957.0,442.0,62.0
2020-04-11,519.0,110.0,97.0,75.0,241.0,1017125.0,535.0,93.0
2020-04-12,625.0,142.0,98.0,99.0,286.0,1018354.0,646.0,111.0
2020-04-13,801.0,164.0,123.0,101.0,338.0,1017660.0,775.0,129.0
2020-04-14,966.0,217.0,147.0,122.0,432.0,1016351.0,966.0,191.0
2020-04-15,1187.0,202.0,184.0,129.0,536.0,1017761.0,1118.0,152.0
2020-04-16,1362.0,263.0,199.0,175.0,618.0,1016298.0,1333.0,215.0
2020-04-17,1636.0,330.0,239.0,220.0,730.0,1016096.0,1607.0,274.0
2020-04-18,1972.0,398.0,325.0,248.0,897.0,1016120.0,1932.0,325.0
2020-04-19,2334.0,528.0,398.0,303.0,1025.0,1016021.0,2370.0,438.0
2020-04-20,2935.0,591.0,477.0,382.0,1210.0,1014286.0,2815.0,445.0
2020-04-21,3438.0,749.0,564.0,450.0,1497.0,1012599.0,3423.0,608.0
2020-04-22,4126.0,927.0,675.0,533.0,1847.0,1013000.0,4143.0,720.0
2020-04-23,5059.0,1009.0,860.0,652.0,2294.0,1010587.0,4950.0,807.0
2020-04-24,6266.0,1304.0,986.0,754.0,2673.0,1009153.0,5954.0,1004.0
2020-04-25,7470.0,1641.0,1176.0,929.0,3246.0,1006378.0,7228.0,1274.0
2020-04-26,8939.0,1876.0,1473.0,1130.0,3976.0,1004043.0,8703.0,1475.0
2020-04-27,10697.0,2271.0,1840.0,1321.0,4711.0,1000607.0,10525.0,1822.0
2020-04-28,12954.0,2734.0,2213.0,1713.0,5626.0,996183.0,12706.0,2181.0
2020-04-29,15690.0,3355.0,2589.0,2047.0,6729.0,991031.0,15288.0,2582.0
2020-04-30,18777.0,3969.0,3099.0,2435.0,8265.0,984284.0,18500.0,3212.0
2020-05-01,22448.0,4900.0,3693.0,2840.0,9828.0,976459.0,22405.0,3905.0
2020-05-02,26768.0,5656.0,4423.0,3405.0,11818.0,970064.0,26795.0,4390.0
2020-05-03,31736.0,6792.0,5376.0,4139.0,14115.0,960323.0,32164.0,5369.0
2020-05-04,37967.0,8134.0,6259.0,5121.0,16967.0,949524.0,38594.0,6430.0
2020-05-05,45304.0,9751.0,7663.0,5914.0,20650.0,934334.0,46293.0,7699.0
2020-05-06,53537.0,11482.0,9183.0,7133.0,24923.0,917940.0,55413.0,9120.0
