time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,0.0,0.0,0.0,970790.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,973775.0,1.0,1.0
2020-03-08,2.0,1.0,0.0,0.0,0.0,981068.0,1.0,0.0
2020-03-09,2.0,1.0,0.0,0.0,0.0,988076.0,1.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,993553.0,1.0,0.0
2020-03-11,2.0,0.0,2.0,0.0,0.0,997828.0,2.0,1.0
2020-03-12,1.0,1.0,1.0,0.0,0.0,1001332.0,3.0,1.0
2020-03-13,0.0,1.0,0.0,0.0,2.0,1003977.0,3.0,0.0
2020-03-14,1.0,0.0,2.0,0.0,2.0,1006776.0,3.0,0.0
2020-03-15,4.0,1.0,0.0,0.0,4.0,1008250.0,4.0,1.0
2020-03-16,5.0,1.0,0.0,1.0,4.0,1009908.0,5.0,1.0
2020-03-17,5.0,0.0,0.0,0.0,4.0,1009155.0,5.0,0.0
2020-03-18,3.0,0.0,2.0,0.0,3.0,1010812.0,6.0,1.0
2020-03-19,2.0,1.0,4.0,0.0,3.0,1010637.0,6.0,0.0
2020-03-20,1.0,2.0,3.0,2.0,3.0,1010735.0,8.0,2.0
2020-03-21,10.0,1.0,2.0,3.0,2.0,1013175.0,8.0,0.0
2020-03-22,13.0,3.0,2.0,4.0,4.0,1013148.0,10.0,2.0
2020-03-23,15.0,3.0,3.0,4.0,1.0,1014107.0,12.0,2.0
2020-03-24,18.0,4.0,4.0,0.0,8.0,1014105.0,16.0,4.0
2020-03-25,23.0,6.0,2.0,4.0,9.0,1013893.0,20.0,4.0
2020-03-26,27.0,4.0,7.0,5.0,14.0,1014583.0,26.0,6.0
2020-03-27,30.0,9.0,4.0,7.0,26.0,1015465.0,34.0,8.0
2020-03-28,36.0,10.0,8.0,6.0,24.0,1015496.0,38.0,4.0
2020-03-29,48.0,13.0,12.0,8.0,30.0,1014279.0,46.0,8.0
2020-03-30,67.0,16.0,9.0,10.0,29.0,1015092.0,56.0,10.0
2020-03-31,87.0,20.0,18.0,7.0,34.0,1015662.0,70.0,14.0
2020-04-01,99.0,21.0,19.0,10.0,36.0,1015622.0,83.0,13.0
2020-04-02,118.0,29.0,22.0,13.0,38.0,1015596.0,106.0,23.0
2020-04-03,131.0,38.0,28.0,17.0,39.0,1016855.0,131.0,25.0
2020-04-04,176.0,30.0,30.0,17.0,54.0,1016584.0,149.0,18.0
2020-04-05,202.0,33.0,34.0,17.0,63.0,1016317.0,174.0,25.0
