time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970186.0,0.0,0.0
2020-03-07,1.0,0.0,2.0,0.0,0.0,973070.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,979471.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,986642.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,991697.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996482.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,1.0,1002296.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,2.0,1004761.0,1.0,1.0
2020-03-14,3.0,0.0,1.0,0.0,2.0,1006703.0,1.0,0.0
2020-03-15,2.0,2.0,1.0,0.0,2.0,1006769.0,3.0,2.0
2020-03-16,6.0,0.0,1.0,1.0,1.0,1007159.0,3.0,0.0
2020-03-17,6.0,0.0,0.0,4.0,0.0,1008539.0,3.0,0.0
2020-03-18,6.0,1.0,0.0,0.0,3.0,1010448.0,3.0,0.0
2020-03-19,5.0,2.0,0.0,0.0,3.0,1012597.0,4.0,1.0
2020-03-20,7.0,2.0,0.0,0.0,2.0,1011608.0,4.0,0.0
2020-03-21,7.0,2.0,0.0,0.0,1.0,1012159.0,4.0,0.0
2020-03-22,10.0,1.0,1.0,0.0,1.0,1011719.0,5.0,1.0
2020-03-23,11.0,4.0,2.0,0.0,3.0,1013324.0,8.0,3.0
2020-03-24,10.0,3.0,0.0,2.0,3.0,1014202.0,9.0,1.0
2020-03-25,6.0,2.0,3.0,1.0,5.0,1012595.0,11.0,2.0
2020-03-26,11.0,5.0,4.0,1.0,6.0,1013678.0,15.0,4.0
2020-03-27,16.0,4.0,1.0,4.0,11.0,1013946.0,18.0,3.0
2020-03-28,22.0,5.0,5.0,3.0,10.0,1014244.0,21.0,3.0
2020-03-29,29.0,11.0,7.0,2.0,14.0,1015399.0,28.0,7.0
2020-03-30,39.0,10.0,8.0,5.0,18.0,1016278.0,34.0,6.0
2020-03-31,44.0,14.0,11.0,3.0,23.0,1016713.0,46.0,12.0
2020-04-01,59.0,13.0,14.0,7.0,26.0,1017008.0,55.0,9.0
