time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970242.0,0.0,0.0
2020-03-07,3.0,2.0,1.0,0.0,0.0,973637.0,0.0,0.0
2020-03-08,0.0,2.0,3.0,0.0,0.0,980466.0,3.0,3.0
2020-03-09,3.0,1.0,0.0,3.0,0.0,986455.0,3.0,0.0
2020-03-10,3.0,1.0,0.0,0.0,2.0,991879.0,4.0,1.0
2020-03-11,2.0,0.0,0.0,1.0,2.0,996343.0,4.0,0.0
2020-03-12,4.0,0.0,0.0,1.0,3.0,1000471.0,4.0,0.0
2020-03-13,3.0,2.0,0.0,0.0,2.0,1001935.0,5.0,1.0
2020-03-14,6.0,0.0,2.0,0.0,1.0,1004276.0,5.0,0.0
2020-03-15,5.0,1.0,1.0,1.0,0.0,1007572.0,6.0,1.0
2020-03-16,2.0,1.0,0.0,1.0,3.0,1008775.0,8.0,2.0
2020-03-17,4.0,2.0,0.0,3.0,2.0,1009733.0,8.0,0.0
2020-03-18,9.0,0.0,2.0,1.0,4.0,1010893.0,8.0,0.0
2020-03-19,7.0,2.0,5.0,0.0,5.0,1010330.0,12.0,4.0
2020-03-20,15.0,3.0,3.0,3.0,6.0,1012392.0,14.0,2.0
2020-03-21,16.0,2.0,0.0,3.0,10.0,1013432.0,16.0,2.0
2020-03-22,16.0,5.0,2.0,1.0,9.0,1014023.0,21.0,5.0
2020-03-23,23.0,6.0,2.0,0.0,8.0,1013812.0,24.0,3.0
2020-03-24,34.0,4.0,5.0,4.0,8.0,1015094.0,26.0,2.0
2020-03-25,34.0,6.0,5.0,2.0,12.0,1013859.0,34.0,8.0
2020-03-26,48.0,9.0,7.0,7.0,12.0,1014296.0,39.0,5.0
2020-03-27,47.0,14.0,8.0,7.0,16.0,1016244.0,49.0,10.0
2020-03-28,43.0,15.0,4.0,11.0,17.0,1015494.0,64.0,15.0
2020-03-29,63.0,16.0,11.0,7.0,27.0,1014273.0,73.0,9.0
2020-03-30,70.0,14.0,12.0,7.0,27.0,1014587.0,84.0,11.0
2020-03-31,98.0,28.0,15.0,15.0,34.0,1015415.0,106.0,22.0
2020-04-01,116.0,18.0,20.0,16.0,43.0,1016777.0,122.0,16.0
2020-04-02,149.0,29.0,27.0,16.0,60.0,1016157.0,155.0,33.0
2020-04-03,160.0,38.0,26.0,15.0,74.0,1016171.0,185.0,30.0
2020-04-04,182.0,32.0,39.0,20.0,72.0,1015516.0,214.0,29.0
2020-04-05,219.0,37.0,37.0,15.0,84.0,1015991.0,234.0,20.0
2020-04-06,246.0,40.0,48.0,28.0,103.0,1018292.0,273.0,39.0
2020-04-07,296.0,58.0,43.0,42.0,123.0,1017253.0,316.0,43.0
2020-04-08,388.0,63.0,57.0,46.0,146.0,1016070.0,363.0,47.0
2020-04-09,459.0,106.0,62.0,57.0,182.0,1015920.0,447.0,84.0
2020-04-10,549.0,127.0,83.0,63.0,220.0,1017514.0,538.0,91.0
2020-04-11,695.0,149.0,99.0,89.0,269.0,1017166.0,642.0,104.0
2020-04-12,805.0,167.0,127.0,90.0,318.0,1018689.0,784.0,142.0
2020-04-13,930.0,202.0,150.0,123.0,406.0,1019219.0,938.0,154.0
2020-04-14,1168.0,216.0,184.0,169.0,493.0,1019028.0,1122.0,184.0
2020-04-15,1437.0,290.0,192.0,170.0,618.0,1017531.0,1342.0,220.0
2020-04-16,1691.0,346.0,259.0,210.0,701.0,1016756.0,1611.0,269.0
2020-04-17,1978.0,414.0,326.0,235.0,834.0,1014992.0,1962.0,351.0
2020-04-18,2388.0,478.0,391.0,282.0,1049.0,1014565.0,2349.0,387.0
2020-04-19,2879.0,613.0,485.0,394.0,1248.0,1015469.0,2874.0,525.0
2020-04-20,3492.0,741.0,586.0,442.0,1524.0,1014868.0,3465.0,591.0
2020-04-21,4267.0,900.0,660.0,534.0,1855.0,1013016.0,4152.0,687.0
2020-04-22,5146.0,1118.0,810.0,683.0,2141.0,1010750.0,5057.0,905.0
2020-04-23,6217.0,1290.0,985.0,807.0,2647.0,1008679.0,6061.0,1004.0
2020-04-24,7499.0,1559.0,1187.0,938.0,3204.0,1007093.0,7306.0,1245.0
2020-04-25,8905.0,1815.0,1512.0,1099.0,3773.0,1004746.0,8801.0,1495.0
2020-04-26,10736.0,2284.0,1788.0,1360.0,4686.0,1001318.0,10641.0,1840.0
2020-04-27,12941.0,2701.0,2164.0,1592.0,5645.0,996401.0,12783.0,2142.0
2020-04-28,15618.0,3281.0,2578.0,1973.0,6653.0,992444.0,15388.0,2605.0
2020-04-29,18629.0,3891.0,3103.0,2406.0,8102.0,985311.0,18446.0,3058.0
2020-04-30,22174.0,4745.0,3653.0,2836.0,9843.0,977445.0,22105.0,3659.0
2020-05-01,26521.0,5705.0,4396.0,3365.0,11787.0,969474.0,26546.0,4441.0
2020-05-02,31593.0,6590.0,5179.0,4109.0,14129.0,959781.0,31739.0,5193.0
2020-05-03,37689.0,8006.0,6146.0,4927.0,17102.0,948356.0,38006.0,6267.0
2020-05-04,44832.0,9637.0,7547.0,5903.0,20414.0,933729.0,45468.0,7462.0
2020-05-05,52968.0,11401.0,8931.0,7044.0,24342.0,917720.0,54441.0,8973.0
2020-05-06,62250.0,13373.0,10677.0,8291.0,29321.0,898992.0,64944.0,10503.0
2020-05-07,72778.0,16108.0,12604.0,9906.0,35148.0,876540.0,77577.0,12633.0
2020-05-08,84464.0,18691.0,14926.0,11821.0,42003.0,851149.0,92085.0,14508.0
2020-05-09,98254.0,21700.0,17388.0,13816.0,50030.0,821715.0,108744.0,16659.0
2020-05-10,112673.0,25123.0,20427.0,16316.0,59666.0,789793.0,128120.0,19376.0
2020-05-11,128220.0,29006.0,23616.0,18777.0,70885.0,752059.0,150377.0,22257.0
2020-05-12,144841.0,33219.0,27104.0,21917.0,83873.0,711947.0,175547.0,25170.0
2020-05-13,161307.0,37254.0,30829.0,25502.0,99175.0,669139.0,203639.0,28092.0
2020-05-14,176878.0,41546.0,35050.0,28980.0,117068.0,623976.0,235178.0,31539.0
2020-05-15,191946.0,45643.0,39201.0,33093.0,137033.0,577126.0,269301.0,34123.0
2020-05-16,205672.0,49988.0,43298.0,36705.0,159477.0,528525.0,306212.0,36911.0
2020-05-17,216999.0,53988.0,47195.0,40684.0,184878.0,479904.0,345689.0,39477.0
2020-05-18,225245.0,57087.0,51143.0,44811.0,212495.0,432026.0,386894.0,41205.0
2020-05-19,230774.0,60063.0,54613.0,48595.0,241983.0,386366.0,429779.0,42885.0
2020-05-20,233507.0,61595.0,57556.0,52238.0,274601.0,344208.0,473021.0,43242.0
2020-05-21,232189.0,62588.0,59833.0,55255.0,309476.0,305781.0,516900.0,43879.0
2020-05-22,227388.0,62817.0,61045.0,57344.0,345800.0,270101.0,560426.0,43526.0
2020-05-23,220675.0,62034.0,61399.0,59385.0,382621.0,237564.0,602455.0,42029.0
2020-05-24,210639.0,60834.0,61374.0,60330.0,421625.0,209620.0,643271.0,40816.0
2020-05-25,199748.0,58671.0,60002.0,60538.0,460456.0,184707.0,682171.0,38900.0
2020-05-26,187370.0,55485.0,58606.0,60012.0,499385.0,164221.0,718581.0,36410.0
2020-05-27,174275.0,52414.0,55864.0,58333.0,538022.0,146267.0,753115.0,34534.0
2020-05-28,160083.0,49112.0,53048.0,56519.0,575793.0,131367.0,784935.0,31820.0
2020-05-29,146200.0,45546.0,49944.0,54151.0,611367.0,118711.0,814019.0,29084.0
2020-05-30,132649.0,41597.0,46977.0,51132.0,645254.0,107859.0,840560.0,26541.0
2020-05-31,120420.0,38244.0,43280.0,48327.0,676788.0,98513.0,864641.0,24081.0
2020-06-01,108671.0,34853.0,40174.0,44872.0,706906.0,90852.0,886276.0,21635.0
2020-06-02,97113.0,31785.0,36403.0,41770.0,734933.0,84294.0,906003.0,19727.0
2020-06-03,86866.0,28424.0,33320.0,38215.0,760216.0,79081.0,923255.0,17252.0
2020-06-04,77532.0,25557.0,30301.0,35057.0,784114.0,74467.0,939060.0,15805.0
2020-06-05,69116.0,23011.0,27127.0,32230.0,804441.0,70767.0,953119.0,14059.0
