time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970207.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,1.0,0.0,972644.0,1.0,1.0
2020-03-08,2.0,1.0,0.0,3.0,0.0,980372.0,1.0,0.0
2020-03-09,1.0,1.0,0.0,2.0,2.0,987936.0,2.0,1.0
2020-03-10,3.0,1.0,1.0,0.0,2.0,993542.0,3.0,1.0
2020-03-11,3.0,0.0,1.0,0.0,2.0,997382.0,3.0,0.0
2020-03-12,2.0,0.0,0.0,1.0,2.0,1000771.0,4.0,1.0
2020-03-13,3.0,1.0,1.0,0.0,3.0,1003383.0,6.0,2.0
2020-03-14,4.0,1.0,0.0,2.0,4.0,1006167.0,7.0,1.0
2020-03-15,3.0,1.0,1.0,0.0,2.0,1008492.0,8.0,1.0
2020-03-16,1.0,1.0,1.0,1.0,0.0,1009133.0,9.0,1.0
2020-03-17,4.0,0.0,0.0,3.0,0.0,1008847.0,9.0,0.0
2020-03-18,3.0,2.0,0.0,2.0,2.0,1010954.0,11.0,2.0
2020-03-19,6.0,2.0,1.0,1.0,2.0,1011568.0,13.0,2.0
2020-03-20,10.0,3.0,2.0,1.0,2.0,1011746.0,15.0,2.0
2020-03-21,7.0,3.0,2.0,4.0,1.0,1012755.0,19.0,4.0
2020-03-22,16.0,3.0,2.0,1.0,3.0,1013861.0,21.0,2.0
2020-03-23,13.0,2.0,0.0,1.0,0.0,1013709.0,24.0,3.0
2020-03-24,9.0,4.0,1.0,1.0,0.0,1012945.0,26.0,2.0
2020-03-25,13.0,2.0,1.0,2.0,3.0,1013489.0,27.0,1.0
2020-03-26,14.0,2.0,2.0,1.0,8.0,1014363.0,28.0,1.0
2020-03-27,13.0,4.0,2.0,1.0,10.0,1015796.0,30.0,2.0
2020-03-28,19.0,3.0,3.0,2.0,13.0,1016585.0,34.0,4.0
2020-03-29,32.0,3.0,2.0,3.0,12.0,1017249.0,36.0,2.0
