time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969566.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,971864.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,978934.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985621.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992139.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996308.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,999566.0,1.0,0.0
2020-03-13,0.0,0.0,2.0,0.0,1.0,1002685.0,1.0,0.0
2020-03-14,0.0,0.0,1.0,0.0,1.0,1004921.0,1.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,1.0,1005080.0,2.0,1.0
2020-03-16,0.0,1.0,0.0,0.0,1.0,1007237.0,2.0,0.0
2020-03-17,2.0,0.0,1.0,1.0,1.0,1009738.0,2.0,0.0
2020-03-18,3.0,0.0,0.0,1.0,2.0,1010804.0,2.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,1.0,1011624.0,4.0,2.0
2020-03-20,3.0,1.0,0.0,0.0,1.0,1011442.0,4.0,0.0
2020-03-21,2.0,3.0,0.0,0.0,1.0,1013201.0,6.0,2.0
2020-03-22,5.0,1.0,1.0,0.0,0.0,1014253.0,6.0,0.0
2020-03-23,7.0,1.0,2.0,0.0,1.0,1014365.0,6.0,0.0
2020-03-24,12.0,3.0,4.0,0.0,2.0,1014113.0,8.0,2.0
2020-03-25,17.0,5.0,3.0,2.0,3.0,1013857.0,13.0,5.0
2020-03-26,13.0,2.0,2.0,1.0,4.0,1014900.0,15.0,2.0
2020-03-27,14.0,1.0,2.0,0.0,6.0,1014471.0,17.0,2.0
2020-03-28,18.0,3.0,2.0,1.0,6.0,1014440.0,19.0,2.0
2020-03-29,15.0,6.0,2.0,2.0,9.0,1014841.0,22.0,3.0
2020-03-30,18.0,2.0,5.0,0.0,10.0,1016862.0,22.0,0.0
2020-03-31,19.0,3.0,2.0,2.0,13.0,1016964.0,24.0,2.0
2020-04-01,21.0,5.0,1.0,4.0,12.0,1016600.0,27.0,3.0
2020-04-02,25.0,5.0,4.0,3.0,11.0,1017226.0,32.0,5.0
