time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970655.0,0.0,0.0
2020-03-07,1.0,2.0,0.0,0.0,0.0,973416.0,1.0,1.0
2020-03-08,1.0,1.0,0.0,1.0,0.0,979938.0,2.0,1.0
2020-03-09,3.0,1.0,1.0,1.0,0.0,987435.0,2.0,0.0
2020-03-10,4.0,0.0,0.0,2.0,0.0,992905.0,2.0,0.0
2020-03-11,1.0,1.0,0.0,1.0,1.0,997838.0,3.0,1.0
2020-03-12,3.0,0.0,0.0,0.0,1.0,1002026.0,3.0,0.0
2020-03-13,2.0,2.0,0.0,0.0,1.0,1004630.0,5.0,2.0
2020-03-14,4.0,0.0,1.0,0.0,1.0,1007271.0,5.0,0.0
2020-03-15,5.0,1.0,1.0,1.0,1.0,1008860.0,6.0,1.0
2020-03-16,5.0,2.0,2.0,1.0,1.0,1009501.0,8.0,2.0
2020-03-17,7.0,1.0,1.0,2.0,0.0,1009978.0,8.0,0.0
2020-03-18,10.0,1.0,1.0,1.0,3.0,1009894.0,9.0,1.0
2020-03-19,13.0,2.0,2.0,3.0,5.0,1010032.0,10.0,1.0
2020-03-20,9.0,3.0,2.0,2.0,5.0,1010626.0,14.0,4.0
2020-03-21,14.0,6.0,3.0,2.0,6.0,1011625.0,17.0,3.0
2020-03-22,20.0,4.0,4.0,2.0,7.0,1012137.0,19.0,2.0
2020-03-23,31.0,9.0,4.0,2.0,8.0,1012964.0,25.0,6.0
2020-03-24,35.0,9.0,2.0,1.0,10.0,1012127.0,31.0,6.0
2020-03-25,24.0,7.0,3.0,2.0,9.0,1013240.0,34.0,3.0
2020-03-26,30.0,5.0,11.0,3.0,8.0,1013290.0,39.0,5.0
2020-03-27,38.0,11.0,11.0,7.0,9.0,1012771.0,46.0,7.0
2020-03-28,51.0,12.0,10.0,10.0,14.0,1014826.0,56.0,10.0
2020-03-29,77.0,13.0,11.0,10.0,21.0,1014726.0,66.0,10.0
2020-03-30,80.0,15.0,8.0,18.0,20.0,1014490.0,78.0,12.0
2020-03-31,83.0,27.0,10.0,17.0,29.0,1014759.0,97.0,19.0
2020-04-01,107.0,23.0,25.0,15.0,29.0,1015756.0,114.0,17.0
2020-04-02,126.0,30.0,31.0,23.0,45.0,1016546.0,139.0,25.0
2020-04-03,147.0,32.0,26.0,20.0,56.0,1016714.0,163.0,24.0
2020-04-04,164.0,33.0,30.0,16.0,69.0,1017353.0,186.0,23.0
