time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970221.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,1.0,0.0,972315.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979622.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,0.0,0.0,987552.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,1.0,0.0,993937.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,997123.0,0.0,0.0
2020-03-12,0.0,1.0,0.0,0.0,0.0,1000483.0,1.0,1.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1004063.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1005244.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,0.0,1007458.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1009068.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1011200.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,0.0,1010680.0,1.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,0.0,1011416.0,1.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,1.0,1011857.0,1.0,0.0
2020-03-21,3.0,1.0,0.0,0.0,0.0,1012572.0,1.0,0.0
2020-03-22,2.0,3.0,1.0,0.0,0.0,1012629.0,3.0,2.0
2020-03-23,6.0,3.0,2.0,1.0,1.0,1012779.0,5.0,2.0
2020-03-24,5.0,3.0,1.0,2.0,2.0,1013132.0,6.0,1.0
2020-03-25,9.0,2.0,1.0,2.0,4.0,1011949.0,6.0,0.0
2020-03-26,9.0,5.0,0.0,1.0,3.0,1012710.0,9.0,3.0
2020-03-27,10.0,2.0,3.0,1.0,4.0,1013908.0,9.0,0.0
2020-03-28,9.0,1.0,3.0,2.0,5.0,1014491.0,10.0,1.0
2020-03-29,14.0,2.0,1.0,2.0,5.0,1015084.0,11.0,1.0
2020-03-30,11.0,6.0,1.0,3.0,5.0,1015837.0,17.0,6.0
2020-03-31,15.0,8.0,1.0,4.0,6.0,1015518.0,21.0,4.0
2020-04-01,23.0,4.0,3.0,3.0,10.0,1014468.0,24.0,3.0
2020-04-02,29.0,8.0,8.0,5.0,11.0,1015788.0,29.0,5.0
2020-04-03,36.0,8.0,11.0,6.0,16.0,1015942.0,36.0,7.0
2020-04-04,48.0,5.0,3.0,6.0,14.0,1015722.0,39.0,3.0
2020-04-05,43.0,6.0,4.0,4.0,20.0,1017086.0,46.0,7.0
2020-04-06,35.0,14.0,10.0,8.0,24.0,1018557.0,59.0,13.0
2020-04-07,51.0,12.0,12.0,12.0,25.0,1018305.0,69.0,10.0
2020-04-08,78.0,10.0,9.0,9.0,29.0,1018091.0,76.0,7.0
2020-04-09,101.0,25.0,12.0,14.0,41.0,1017880.0,94.0,18.0
2020-04-10,132.0,22.0,14.0,14.0,49.0,1018029.0,109.0,15.0
2020-04-11,146.0,37.0,20.0,14.0,71.0,1018395.0,145.0,36.0
2020-04-12,164.0,44.0,30.0,18.0,88.0,1017732.0,180.0,35.0
2020-04-13,209.0,45.0,39.0,29.0,108.0,1017881.0,218.0,38.0
2020-04-14,266.0,66.0,38.0,44.0,122.0,1018533.0,270.0,52.0
