time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970410.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,1.0,0.0,971357.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,1.0,978036.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,2.0,984612.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,2.0,991749.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,996871.0,0.0,0.0
2020-03-12,2.0,1.0,0.0,0.0,1.0,999618.0,1.0,1.0
2020-03-13,2.0,1.0,0.0,1.0,0.0,1001616.0,1.0,0.0
2020-03-14,3.0,0.0,1.0,0.0,0.0,1003856.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,0.0,1006782.0,1.0,0.0
2020-03-16,1.0,1.0,1.0,0.0,0.0,1008055.0,3.0,2.0
2020-03-17,4.0,0.0,1.0,1.0,0.0,1007837.0,3.0,0.0
2020-03-18,6.0,1.0,0.0,0.0,1.0,1008652.0,4.0,1.0
2020-03-19,5.0,2.0,1.0,0.0,1.0,1009881.0,6.0,2.0
2020-03-20,7.0,2.0,3.0,0.0,1.0,1010387.0,8.0,2.0
2020-03-21,7.0,1.0,1.0,1.0,0.0,1011267.0,8.0,0.0
2020-03-22,7.0,0.0,1.0,2.0,2.0,1011268.0,8.0,0.0
2020-03-23,5.0,0.0,1.0,2.0,3.0,1013136.0,9.0,1.0
2020-03-24,8.0,3.0,2.0,0.0,6.0,1013799.0,13.0,4.0
2020-03-25,10.0,2.0,4.0,1.0,8.0,1013369.0,13.0,0.0
2020-03-26,23.0,5.0,3.0,2.0,7.0,1012941.0,18.0,5.0
2020-03-27,20.0,11.0,6.0,1.0,8.0,1014180.0,27.0,9.0
2020-03-28,19.0,8.0,9.0,2.0,6.0,1014192.0,30.0,3.0
2020-03-29,31.0,4.0,7.0,3.0,11.0,1014598.0,33.0,3.0
2020-03-30,33.0,7.0,5.0,5.0,12.0,1014123.0,40.0,7.0
2020-03-31,44.0,9.0,3.0,7.0,19.0,1014673.0,46.0,6.0
2020-04-01,53.0,10.0,8.0,4.0,20.0,1015020.0,54.0,8.0
2020-04-02,60.0,15.0,17.0,6.0,25.0,1016450.0,61.0,7.0
2020-04-03,76.0,14.0,13.0,13.0,35.0,1017340.0,75.0,14.0
2020-04-04,93.0,24.0,10.0,12.0,42.0,1016738.0,90.0,15.0
2020-04-05,97.0,30.0,14.0,16.0,51.0,1016819.0,110.0,20.0
2020-04-06,134.0,30.0,20.0,11.0,63.0,1016117.0,130.0,20.0
2020-04-07,165.0,37.0,22.0,22.0,69.0,1016392.0,158.0,28.0
2020-04-08,221.0,36.0,23.0,25.0,73.0,1015743.0,191.0,33.0
2020-04-09,232.0,50.0,30.0,28.0,92.0,1017057.0,237.0,46.0
2020-04-10,282.0,60.0,66.0,32.0,105.0,1015251.0,292.0,55.0
2020-04-11,368.0,61.0,75.0,52.0,121.0,1014850.0,338.0,46.0
2020-04-12,442.0,86.0,73.0,65.0,168.0,1016694.0,415.0,77.0
2020-04-13,555.0,89.0,87.0,68.0,206.0,1017441.0,487.0,72.0
2020-04-14,658.0,127.0,91.0,86.0,255.0,1017157.0,596.0,109.0
2020-04-15,772.0,173.0,115.0,79.0,333.0,1017262.0,732.0,136.0
2020-04-16,938.0,168.0,119.0,119.0,370.0,1018960.0,867.0,135.0
2020-04-17,1093.0,231.0,180.0,133.0,471.0,1017641.0,1064.0,197.0
2020-04-18,1346.0,320.0,230.0,153.0,583.0,1017046.0,1314.0,250.0
2020-04-19,1627.0,352.0,250.0,223.0,702.0,1016654.0,1576.0,262.0
2020-04-20,1973.0,395.0,325.0,215.0,849.0,1016144.0,1892.0,316.0
2020-04-21,2285.0,518.0,412.0,284.0,1031.0,1016539.0,2318.0,426.0
2020-04-22,2802.0,628.0,460.0,348.0,1255.0,1015728.0,2811.0,493.0
2020-04-23,3499.0,740.0,583.0,430.0,1504.0,1013520.0,3371.0,560.0
2020-04-24,4184.0,912.0,702.0,592.0,1787.0,1012077.0,4083.0,712.0
2020-04-25,5138.0,1037.0,819.0,699.0,2159.0,1011084.0,4876.0,793.0
2020-04-26,6136.0,1360.0,989.0,809.0,2664.0,1010026.0,5956.0,1080.0
2020-04-27,7489.0,1588.0,1196.0,937.0,3244.0,1008504.0,7221.0,1265.0
2020-04-28,9030.0,1953.0,1508.0,1092.0,3852.0,1003810.0,8797.0,1576.0
2020-04-29,10978.0,2345.0,1885.0,1389.0,4663.0,1000385.0,10621.0,1824.0
2020-04-30,13288.0,2818.0,2138.0,1751.0,5677.0,997592.0,12794.0,2173.0
2020-05-01,15997.0,3369.0,2584.0,2048.0,6877.0,992082.0,15397.0,2603.0
2020-05-02,19285.0,4088.0,3130.0,2396.0,8392.0,985400.0,18667.0,3270.0
2020-05-03,22890.0,4775.0,3772.0,2942.0,10042.0,978178.0,22470.0,3803.0
2020-05-04,27230.0,5900.0,4496.0,3524.0,12138.0,969394.0,27140.0,4670.0
2020-05-05,32448.0,7000.0,5392.0,4227.0,14519.0,961023.0,32626.0,5486.0
2020-05-06,38870.0,8331.0,6580.0,5070.0,17522.0,948543.0,39040.0,6414.0
2020-05-07,45971.0,9970.0,7686.0,6092.0,20921.0,933248.0,46958.0,7918.0
2020-05-08,54345.0,11829.0,9184.0,7147.0,25304.0,916897.0,56181.0,9223.0
2020-05-09,63932.0,13698.0,11077.0,8523.0,30294.0,896740.0,66817.0,10636.0
2020-05-10,74890.0,16213.0,12930.0,10098.0,36184.0,872767.0,79371.0,12554.0
