time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970102.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,1.0,0.0,973213.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,0.0,1.0,979250.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,2.0,984925.0,1.0,1.0
2020-03-10,2.0,1.0,0.0,0.0,1.0,991496.0,1.0,0.0
2020-03-11,2.0,0.0,1.0,0.0,0.0,995995.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,998099.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1001714.0,1.0,0.0
2020-03-14,0.0,0.0,1.0,0.0,1.0,1004485.0,2.0,1.0
2020-03-15,1.0,0.0,0.0,1.0,1.0,1006776.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1009396.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,2.0,1009936.0,2.0,0.0
2020-03-18,2.0,1.0,1.0,0.0,1.0,1011442.0,3.0,1.0
2020-03-19,4.0,0.0,0.0,2.0,0.0,1011916.0,3.0,0.0
2020-03-20,6.0,0.0,0.0,0.0,4.0,1011363.0,3.0,0.0
2020-03-21,7.0,1.0,0.0,0.0,3.0,1013826.0,4.0,1.0
2020-03-22,6.0,1.0,0.0,0.0,3.0,1014106.0,5.0,1.0
2020-03-23,6.0,2.0,1.0,0.0,3.0,1014135.0,7.0,2.0
2020-03-24,6.0,1.0,1.0,1.0,2.0,1014177.0,9.0,2.0
2020-03-25,5.0,1.0,0.0,1.0,2.0,1015183.0,10.0,1.0
2020-03-26,7.0,2.0,0.0,2.0,1.0,1014958.0,11.0,1.0
2020-03-27,17.0,0.0,2.0,3.0,3.0,1013669.0,13.0,2.0
2020-03-28,8.0,4.0,1.0,0.0,6.0,1014009.0,17.0,4.0
2020-03-29,15.0,4.0,3.0,1.0,7.0,1014845.0,21.0,4.0
2020-03-30,26.0,3.0,1.0,3.0,8.0,1015964.0,23.0,2.0
2020-03-31,33.0,4.0,3.0,4.0,7.0,1015863.0,27.0,4.0
2020-04-01,36.0,4.0,3.0,2.0,7.0,1015137.0,31.0,4.0
2020-04-02,26.0,9.0,1.0,5.0,7.0,1015739.0,40.0,9.0
2020-04-03,37.0,6.0,5.0,7.0,9.0,1016281.0,48.0,8.0
2020-04-04,50.0,13.0,5.0,10.0,15.0,1015302.0,57.0,9.0
2020-04-05,67.0,12.0,12.0,8.0,27.0,1017325.0,67.0,10.0
2020-04-06,77.0,18.0,13.0,7.0,34.0,1017586.0,83.0,16.0
2020-04-07,91.0,16.0,16.0,8.0,39.0,1018403.0,94.0,11.0
2020-04-08,97.0,27.0,15.0,22.0,41.0,1017729.0,120.0,26.0
2020-04-09,133.0,20.0,31.0,14.0,59.0,1017823.0,141.0,21.0
2020-04-10,153.0,33.0,28.0,22.0,59.0,1018481.0,170.0,29.0
2020-04-11,179.0,38.0,31.0,19.0,69.0,1018689.0,196.0,26.0
2020-04-12,214.0,43.0,31.0,29.0,85.0,1018998.0,232.0,36.0
2020-04-13,238.0,64.0,27.0,36.0,99.0,1020241.0,281.0,49.0
2020-04-14,284.0,64.0,48.0,29.0,136.0,1020511.0,337.0,56.0
2020-04-15,352.0,83.0,53.0,43.0,144.0,1019833.0,395.0,58.0
2020-04-16,418.0,85.0,75.0,58.0,180.0,1019677.0,453.0,58.0
2020-04-17,515.0,109.0,81.0,74.0,196.0,1021155.0,544.0,91.0
2020-04-18,605.0,135.0,83.0,66.0,261.0,1019569.0,638.0,94.0
2020-04-19,684.0,132.0,120.0,76.0,303.0,1019228.0,735.0,97.0
2020-04-20,841.0,162.0,127.0,112.0,358.0,1019465.0,864.0,129.0
2020-04-21,1060.0,223.0,153.0,130.0,421.0,1019282.0,1035.0,171.0
2020-04-22,1266.0,288.0,200.0,159.0,525.0,1018302.0,1274.0,239.0
2020-04-23,1482.0,282.0,272.0,190.0,663.0,1018129.0,1506.0,232.0
2020-04-24,1718.0,334.0,271.0,241.0,800.0,1018357.0,1783.0,277.0
2020-04-25,2114.0,447.0,328.0,276.0,932.0,1018286.0,2157.0,374.0
2020-04-26,2503.0,553.0,391.0,351.0,1130.0,1017446.0,2567.0,410.0
2020-04-27,3140.0,685.0,555.0,406.0,1351.0,1015408.0,3087.0,520.0
2020-04-28,3842.0,801.0,654.0,473.0,1635.0,1014687.0,3723.0,636.0
2020-04-29,4604.0,965.0,724.0,598.0,1983.0,1012979.0,4488.0,765.0
2020-04-30,5651.0,1159.0,885.0,679.0,2421.0,1011044.0,5387.0,899.0
2020-05-01,6805.0,1434.0,1126.0,855.0,2877.0,1009420.0,6582.0,1195.0
2020-05-02,8071.0,1652.0,1314.0,1034.0,3389.0,1007164.0,7915.0,1333.0
2020-05-03,9740.0,1974.0,1643.0,1187.0,4064.0,1004901.0,9493.0,1578.0
2020-05-04,11627.0,2417.0,1916.0,1467.0,4960.0,1001545.0,11453.0,1960.0
2020-05-05,13846.0,2832.0,2268.0,1827.0,5864.0,997626.0,13712.0,2259.0
2020-05-06,16657.0,3508.0,2738.0,2036.0,7171.0,990886.0,16472.0,2760.0
2020-05-07,19835.0,4272.0,3275.0,2524.0,8775.0,984149.0,19905.0,3433.0
2020-05-08,23624.0,5087.0,3906.0,3034.0,10511.0,976553.0,23866.0,3961.0
2020-05-09,28157.0,6019.0,4765.0,3617.0,12517.0,966951.0,28582.0,4716.0
2020-05-10,33639.0,7168.0,5585.0,4311.0,15110.0,956557.0,34137.0,5555.0
2020-05-11,39936.0,8714.0,6688.0,5120.0,18245.0,944048.0,40991.0,6854.0
2020-05-12,47463.0,10266.0,8069.0,6217.0,21779.0,929797.0,48964.0,7973.0
2020-05-13,56061.0,12312.0,9406.0,7445.0,26110.0,912562.0,58440.0,9476.0
2020-05-14,65552.0,14395.0,11342.0,8999.0,31321.0,892518.0,69668.0,11228.0
2020-05-15,76370.0,16785.0,13495.0,10492.0,37385.0,868166.0,82780.0,13112.0
2020-05-16,89162.0,19671.0,15623.0,12507.0,44770.0,841613.0,97960.0,15180.0
2020-05-17,103067.0,22992.0,18570.0,14692.0,53398.0,811453.0,115872.0,17912.0
