time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970498.0,0.0,0.0
2020-03-07,4.0,0.0,0.0,1.0,0.0,972071.0,0.0,0.0
2020-03-08,4.0,0.0,0.0,1.0,0.0,979489.0,0.0,0.0
2020-03-09,2.0,1.0,0.0,0.0,1.0,986344.0,1.0,1.0
2020-03-10,3.0,1.0,0.0,0.0,0.0,990852.0,1.0,0.0
2020-03-11,2.0,0.0,1.0,0.0,0.0,995952.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,1.0,0.0,999535.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002852.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005769.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,0.0,1007957.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,1.0,1.0,1009213.0,1.0,0.0
2020-03-17,2.0,1.0,0.0,0.0,1.0,1010334.0,1.0,0.0
2020-03-18,3.0,1.0,0.0,0.0,1.0,1011071.0,1.0,0.0
2020-03-19,4.0,0.0,1.0,0.0,0.0,1011538.0,2.0,1.0
2020-03-20,3.0,0.0,1.0,0.0,0.0,1012118.0,3.0,1.0
2020-03-21,3.0,0.0,1.0,1.0,0.0,1012919.0,3.0,0.0
2020-03-22,7.0,0.0,0.0,1.0,1.0,1013830.0,3.0,0.0
2020-03-23,7.0,0.0,0.0,2.0,2.0,1013208.0,4.0,1.0
2020-03-24,3.0,1.0,0.0,0.0,4.0,1013468.0,5.0,1.0
2020-03-25,4.0,0.0,1.0,0.0,3.0,1014342.0,6.0,1.0
2020-03-26,2.0,1.0,3.0,0.0,4.0,1013619.0,8.0,2.0
2020-03-27,2.0,1.0,1.0,1.0,4.0,1015302.0,9.0,1.0
2020-03-28,10.0,1.0,1.0,1.0,6.0,1015086.0,9.0,0.0
2020-03-29,12.0,1.0,3.0,0.0,7.0,1015412.0,11.0,2.0
2020-03-30,15.0,2.0,1.0,1.0,5.0,1016921.0,13.0,2.0
2020-03-31,9.0,5.0,2.0,2.0,9.0,1016530.0,16.0,3.0
2020-04-01,17.0,5.0,4.0,1.0,11.0,1017055.0,18.0,2.0
2020-04-02,16.0,3.0,2.0,4.0,14.0,1016803.0,22.0,4.0
2020-04-03,17.0,4.0,1.0,3.0,14.0,1017339.0,24.0,2.0
2020-04-04,24.0,8.0,4.0,2.0,16.0,1016780.0,30.0,6.0
2020-04-05,35.0,9.0,7.0,3.0,18.0,1018230.0,37.0,7.0
2020-04-06,43.0,13.0,8.0,2.0,21.0,1018056.0,48.0,11.0
2020-04-07,54.0,11.0,6.0,6.0,22.0,1018947.0,52.0,4.0
2020-04-08,61.0,14.0,6.0,6.0,29.0,1018842.0,64.0,12.0
2020-04-09,72.0,18.0,14.0,13.0,32.0,1019596.0,79.0,15.0
2020-04-10,87.0,18.0,15.0,18.0,36.0,1019306.0,91.0,12.0
2020-04-11,118.0,19.0,18.0,19.0,52.0,1018361.0,110.0,19.0
2020-04-12,144.0,21.0,20.0,23.0,63.0,1019798.0,132.0,22.0
2020-04-13,154.0,32.0,26.0,26.0,82.0,1020079.0,156.0,24.0
2020-04-14,209.0,51.0,29.0,28.0,85.0,1020627.0,201.0,45.0
2020-04-15,258.0,66.0,39.0,37.0,110.0,1021360.0,259.0,58.0
2020-04-16,316.0,73.0,47.0,41.0,131.0,1021879.0,312.0,53.0
2020-04-17,354.0,78.0,45.0,38.0,150.0,1021956.0,365.0,53.0
2020-04-18,398.0,83.0,76.0,49.0,163.0,1020624.0,434.0,69.0
2020-04-19,446.0,98.0,83.0,54.0,198.0,1020726.0,517.0,83.0
2020-04-20,566.0,123.0,95.0,59.0,231.0,1019738.0,611.0,94.0
2020-04-21,672.0,142.0,123.0,82.0,263.0,1018850.0,726.0,115.0
2020-04-22,843.0,172.0,130.0,109.0,341.0,1018581.0,851.0,125.0
2020-04-23,1037.0,214.0,142.0,147.0,429.0,1018467.0,1013.0,162.0
2020-04-24,1232.0,251.0,193.0,151.0,527.0,1018847.0,1230.0,217.0
2020-04-25,1493.0,336.0,235.0,179.0,628.0,1017650.0,1488.0,258.0
2020-04-26,1812.0,388.0,310.0,228.0,759.0,1017584.0,1792.0,304.0
2020-04-27,2178.0,428.0,381.0,270.0,899.0,1017124.0,2151.0,359.0
2020-04-28,2627.0,579.0,398.0,336.0,1103.0,1016969.0,2570.0,419.0
2020-04-29,3284.0,698.0,478.0,401.0,1298.0,1016646.0,3092.0,522.0
2020-04-30,3964.0,795.0,634.0,482.0,1562.0,1015182.0,3698.0,606.0
2020-05-01,4937.0,966.0,751.0,578.0,1952.0,1013230.0,4464.0,766.0
2020-05-02,5755.0,1203.0,953.0,755.0,2394.0,1013205.0,5481.0,1017.0
2020-05-03,6884.0,1467.0,1130.0,877.0,2945.0,1012273.0,6627.0,1146.0
2020-05-04,8254.0,1717.0,1306.0,1030.0,3633.0,1008819.0,7989.0,1362.0
2020-05-05,9892.0,2109.0,1586.0,1268.0,4288.0,1006252.0,9655.0,1666.0
2020-05-06,11752.0,2539.0,1969.0,1423.0,5171.0,1001738.0,11667.0,2012.0
2020-05-07,14264.0,3039.0,2358.0,1792.0,6249.0,996411.0,14058.0,2391.0
2020-05-08,17188.0,3708.0,2867.0,2177.0,7480.0,991080.0,16956.0,2898.0
2020-05-09,20521.0,4418.0,3321.0,2606.0,8981.0,983906.0,20413.0,3457.0
2020-05-10,24279.0,5131.0,4030.0,3178.0,10672.0,976690.0,24476.0,4063.0
2020-05-11,28969.0,6267.0,4755.0,3748.0,13087.0,967793.0,29422.0,4946.0
2020-05-12,34839.0,7365.0,5886.0,4480.0,15754.0,956189.0,35266.0,5844.0
2020-05-13,41552.0,8830.0,6998.0,5384.0,18830.0,942076.0,42202.0,6936.0
2020-05-14,48704.0,10608.0,8303.0,6436.0,22676.0,927413.0,50418.0,8216.0
2020-05-15,57636.0,12583.0,9884.0,7717.0,27195.0,908759.0,60139.0,9721.0
2020-05-16,68008.0,14638.0,11833.0,9198.0,32533.0,888712.0,71578.0,11439.0
2020-05-17,79640.0,17227.0,13662.0,11065.0,38952.0,864599.0,85008.0,13430.0
2020-05-18,92491.0,20734.0,15852.0,13013.0,46608.0,837797.0,101025.0,16017.0
2020-05-19,106118.0,23719.0,19179.0,15006.0,55165.0,805919.0,119332.0,18307.0
2020-05-20,121731.0,27344.0,22093.0,17867.0,65655.0,769782.0,140337.0,21005.0
2020-05-21,137304.0,31166.0,25634.0,20615.0,78077.0,730748.0,164256.0,23919.0
2020-05-22,153601.0,35700.0,29276.0,23869.0,92414.0,688698.0,191202.0,26946.0
2020-05-23,169938.0,40037.0,33486.0,27420.0,108942.0,643567.0,221320.0,30118.0
2020-05-24,186244.0,44334.0,37520.0,31576.0,127690.0,596316.0,254148.0,32828.0
2020-05-25,201093.0,48493.0,41761.0,35516.0,149105.0,547524.0,290297.0,36149.0
2020-05-26,213759.0,52671.0,45725.0,39524.0,173376.0,499382.0,328939.0,38642.0
2020-05-27,223484.0,56558.0,49561.0,43550.0,200337.0,450644.0,369759.0,40820.0
2020-05-28,230825.0,59298.0,53347.0,47410.0,230059.0,404672.0,412199.0,42440.0
2020-05-29,233996.0,61313.0,57027.0,50953.0,261802.0,360914.0,455624.0,43425.0
2020-05-30,234740.0,62958.0,59167.0,54476.0,295329.0,319627.0,499846.0,44222.0
2020-05-31,232202.0,63312.0,61010.0,57271.0,331452.0,282388.0,543470.0,43624.0
2020-06-01,225724.0,62397.0,61960.0,59533.0,368684.0,248589.0,586317.0,42847.0
2020-06-02,216988.0,61467.0,61926.0,60510.0,408017.0,218512.0,628038.0,41721.0
2020-06-03,206082.0,59588.0,61121.0,60468.0,446537.0,193005.0,667796.0,39758.0
2020-06-04,192884.0,57091.0,59699.0,60326.0,485494.0,171718.0,705655.0,37859.0
2020-06-05,179593.0,53914.0,57569.0,59222.0,523498.0,152811.0,740871.0,35216.0
2020-06-06,165823.0,50605.0,54582.0,57714.0,560579.0,136049.0,773471.0,32600.0
2020-06-07,151809.0,47016.0,51493.0,55394.0,597195.0,122587.0,803577.0,30106.0
2020-06-08,138333.0,43127.0,48480.0,52492.0,632646.0,110910.0,830865.0,27288.0
