time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969899.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,971445.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979098.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987146.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,991204.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,996558.0,0.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,1000306.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,1002316.0,0.0,0.0
2020-03-14,3.0,0.0,0.0,1.0,0.0,1006193.0,0.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1007935.0,1.0,1.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1009231.0,1.0,0.0
2020-03-17,3.0,0.0,1.0,1.0,1.0,1009775.0,2.0,1.0
2020-03-18,2.0,0.0,2.0,1.0,1.0,1011177.0,3.0,1.0
2020-03-19,5.0,0.0,0.0,2.0,2.0,1010929.0,3.0,0.0
2020-03-20,8.0,2.0,1.0,2.0,5.0,1012456.0,5.0,2.0
2020-03-21,10.0,2.0,1.0,2.0,6.0,1013019.0,6.0,1.0
2020-03-22,9.0,0.0,2.0,1.0,8.0,1011992.0,6.0,0.0
2020-03-23,8.0,1.0,2.0,0.0,7.0,1013192.0,8.0,2.0
2020-03-24,3.0,4.0,1.0,1.0,10.0,1014288.0,14.0,6.0
2020-03-25,9.0,4.0,2.0,1.0,8.0,1014496.0,15.0,1.0
2020-03-26,8.0,4.0,1.0,1.0,9.0,1013242.0,16.0,1.0
2020-03-27,14.0,3.0,2.0,0.0,8.0,1014285.0,17.0,1.0
2020-03-28,21.0,3.0,4.0,1.0,10.0,1014852.0,20.0,3.0
2020-03-29,22.0,2.0,3.0,1.0,11.0,1016041.0,22.0,2.0
2020-03-30,21.0,4.0,2.0,4.0,15.0,1015892.0,26.0,4.0
2020-03-31,35.0,6.0,3.0,1.0,18.0,1016923.0,30.0,4.0
2020-04-01,50.0,11.0,7.0,3.0,19.0,1017202.0,37.0,7.0
2020-04-02,62.0,8.0,10.0,7.0,18.0,1015641.0,44.0,7.0
2020-04-03,67.0,9.0,10.0,4.0,27.0,1016002.0,51.0,7.0
2020-04-04,62.0,14.0,9.0,9.0,36.0,1016530.0,65.0,14.0
2020-04-05,89.0,20.0,13.0,6.0,37.0,1016002.0,78.0,13.0
2020-04-06,92.0,17.0,11.0,10.0,47.0,1017153.0,94.0,16.0
2020-04-07,112.0,26.0,20.0,9.0,55.0,1017166.0,115.0,21.0
2020-04-08,123.0,38.0,16.0,19.0,61.0,1016671.0,145.0,30.0
2020-04-09,148.0,37.0,22.0,28.0,66.0,1015930.0,175.0,30.0
2020-04-10,176.0,42.0,29.0,31.0,85.0,1016208.0,202.0,27.0
2020-04-11,259.0,54.0,45.0,33.0,95.0,1016171.0,242.0,40.0
2020-04-12,284.0,62.0,50.0,29.0,138.0,1016623.0,295.0,53.0
2020-04-13,372.0,83.0,62.0,35.0,169.0,1018156.0,353.0,58.0
2020-04-14,413.0,84.0,75.0,53.0,181.0,1017131.0,433.0,80.0
