time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,3.0,3.0,0.0,0.0,0.0,970355.0,0.0,0.0
2020-03-07,4.0,2.0,0.0,0.0,0.0,972315.0,0.0,0.0
2020-03-08,3.0,2.0,1.0,0.0,0.0,980554.0,2.0,2.0
2020-03-09,2.0,0.0,2.0,0.0,0.0,987325.0,3.0,1.0
2020-03-10,3.0,1.0,0.0,0.0,2.0,992833.0,4.0,1.0
2020-03-11,3.0,1.0,2.0,0.0,1.0,997171.0,5.0,1.0
2020-03-12,4.0,0.0,2.0,0.0,1.0,999671.0,5.0,0.0
2020-03-13,5.0,0.0,1.0,0.0,1.0,1002105.0,5.0,0.0
2020-03-14,7.0,2.0,1.0,0.0,1.0,1004249.0,7.0,2.0
2020-03-15,6.0,1.0,0.0,1.0,0.0,1006131.0,7.0,0.0
2020-03-16,6.0,3.0,1.0,2.0,2.0,1007872.0,9.0,2.0
2020-03-17,10.0,3.0,4.0,0.0,5.0,1008755.0,10.0,1.0
2020-03-18,14.0,2.0,4.0,1.0,6.0,1009702.0,11.0,1.0
2020-03-19,13.0,1.0,3.0,1.0,9.0,1009113.0,14.0,3.0
2020-03-20,20.0,3.0,4.0,1.0,6.0,1011028.0,19.0,5.0
2020-03-21,22.0,2.0,4.0,3.0,8.0,1011746.0,21.0,2.0
2020-03-22,22.0,6.0,2.0,1.0,8.0,1011496.0,27.0,6.0
2020-03-23,18.0,3.0,7.0,1.0,10.0,1012370.0,30.0,3.0
2020-03-24,23.0,2.0,7.0,2.0,6.0,1012344.0,32.0,2.0
2020-03-25,30.0,6.0,11.0,3.0,11.0,1012939.0,40.0,8.0
2020-03-26,39.0,8.0,8.0,6.0,16.0,1012422.0,47.0,7.0
2020-03-27,57.0,11.0,12.0,4.0,16.0,1013492.0,58.0,11.0
2020-03-28,60.0,17.0,10.0,10.0,25.0,1013687.0,70.0,12.0
2020-03-29,75.0,13.0,19.0,11.0,37.0,1015729.0,79.0,9.0
2020-03-30,88.0,12.0,23.0,13.0,45.0,1014596.0,92.0,13.0
2020-03-31,102.0,18.0,15.0,11.0,49.0,1015922.0,105.0,13.0
2020-04-01,127.0,18.0,18.0,22.0,54.0,1016064.0,122.0,17.0
2020-04-02,152.0,29.0,13.0,20.0,69.0,1016429.0,146.0,24.0
2020-04-03,167.0,40.0,12.0,18.0,84.0,1016059.0,173.0,27.0
2020-04-04,193.0,46.0,33.0,20.0,101.0,1015616.0,211.0,38.0
