time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970256.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,0.0,0.0,972785.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979210.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986743.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992044.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,996941.0,0.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,1.0,999855.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,1.0,1003696.0,1.0,1.0
2020-03-14,3.0,0.0,0.0,0.0,1.0,1006277.0,1.0,0.0
2020-03-15,4.0,0.0,0.0,0.0,1.0,1008024.0,1.0,0.0
2020-03-16,5.0,1.0,1.0,0.0,1.0,1008465.0,1.0,0.0
2020-03-17,8.0,0.0,2.0,0.0,1.0,1009885.0,1.0,0.0
2020-03-18,7.0,1.0,1.0,1.0,3.0,1010344.0,3.0,2.0
2020-03-19,7.0,1.0,0.0,2.0,4.0,1010803.0,4.0,1.0
2020-03-20,6.0,2.0,2.0,2.0,3.0,1011863.0,5.0,1.0
2020-03-21,9.0,1.0,2.0,2.0,2.0,1012807.0,5.0,0.0
2020-03-22,10.0,1.0,3.0,2.0,3.0,1013832.0,6.0,1.0
2020-03-23,17.0,3.0,2.0,3.0,6.0,1014724.0,7.0,1.0
2020-03-24,15.0,8.0,3.0,2.0,2.0,1014215.0,13.0,6.0
2020-03-25,16.0,6.0,5.0,4.0,5.0,1013547.0,20.0,7.0
2020-03-26,28.0,6.0,8.0,4.0,13.0,1013897.0,25.0,5.0
2020-03-27,34.0,10.0,4.0,3.0,17.0,1015019.0,29.0,4.0
2020-03-28,50.0,7.0,9.0,5.0,19.0,1013711.0,34.0,5.0
2020-03-29,61.0,6.0,9.0,9.0,24.0,1013907.0,39.0,5.0
2020-03-30,63.0,15.0,4.0,8.0,28.0,1012912.0,51.0,12.0
2020-03-31,77.0,16.0,12.0,7.0,28.0,1014394.0,65.0,14.0
2020-04-01,86.0,16.0,8.0,14.0,36.0,1015045.0,80.0,15.0
2020-04-02,94.0,16.0,16.0,9.0,42.0,1015432.0,95.0,15.0
2020-04-03,105.0,19.0,15.0,10.0,46.0,1016325.0,119.0,24.0
2020-04-04,121.0,27.0,21.0,13.0,57.0,1015562.0,142.0,23.0
2020-04-05,140.0,34.0,21.0,19.0,76.0,1017053.0,169.0,27.0
2020-04-06,192.0,39.0,28.0,21.0,90.0,1016904.0,199.0,30.0
2020-04-07,203.0,48.0,35.0,29.0,105.0,1018137.0,234.0,35.0
2020-04-08,251.0,56.0,50.0,32.0,126.0,1016392.0,277.0,43.0
2020-04-09,312.0,77.0,59.0,50.0,150.0,1017445.0,344.0,67.0
2020-04-10,399.0,80.0,69.0,46.0,196.0,1015259.0,421.0,77.0
2020-04-11,497.0,89.0,89.0,62.0,215.0,1016198.0,506.0,85.0
2020-04-12,589.0,126.0,100.0,77.0,259.0,1017584.0,619.0,113.0
2020-04-13,691.0,157.0,122.0,85.0,298.0,1016908.0,748.0,129.0
2020-04-14,842.0,204.0,148.0,107.0,340.0,1017255.0,905.0,157.0
2020-04-15,1004.0,225.0,169.0,123.0,413.0,1018410.0,1087.0,182.0
2020-04-16,1229.0,235.0,219.0,160.0,521.0,1017920.0,1279.0,192.0
2020-04-17,1527.0,314.0,249.0,200.0,648.0,1016215.0,1525.0,246.0
2020-04-18,1798.0,395.0,279.0,232.0,786.0,1015882.0,1841.0,316.0
2020-04-19,2178.0,456.0,336.0,260.0,955.0,1017222.0,2173.0,332.0
2020-04-20,2675.0,549.0,405.0,334.0,1106.0,1016375.0,2579.0,406.0
2020-04-21,3272.0,668.0,531.0,368.0,1339.0,1015144.0,3091.0,512.0
2020-04-22,3969.0,823.0,623.0,490.0,1676.0,1013593.0,3738.0,647.0
2020-04-23,4768.0,992.0,774.0,554.0,2024.0,1011504.0,4514.0,776.0
2020-04-24,5661.0,1187.0,911.0,693.0,2455.0,1009298.0,5474.0,960.0
2020-04-25,6849.0,1404.0,1136.0,847.0,2877.0,1008300.0,6588.0,1114.0
